#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-16 15:30:08.994
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1001
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB)
100.0000000000001,-105.2765152824574
100.6931668851805,-101.118585094498
101.391138573668,-106.2943731780171
102.0939483707681,-100.7047789471013
102.8016298126474,-109.4498582842999
103.5142166679345,-104.6206583075711
104.2317429393305,-97.12159337078056
104.9542428652323,-100.8573200394922
105.681750921366,-119.5592925175018
106.4143018224318,-99.85518603044346
107.1519305237607,-92.56438477287702
107.894672222983,-101.3877082636362
108.6425623617067,-112.8089672112185
109.3956366272095,-96.90251122818407
110.1539309541416,-96.99379554237204
110.9174815262402,-107.8807359664817
111.6863247780562,-94.07151789492211
112.4604973966928,-100.6111977914713
113.2400363235558,-95.88361345517016
114.024978756117,-114.3634538251701
114.8153621496884,-96.17592542293691
115.6112242192101,-96.07240077291671
116.4126029410492,-92.71041570546531
117.2195365548131,-99.34867396298016
118.0320635651731,-100.8105063836457
118.850222743702,-94.02428029291548
119.6740531307244,-110.458386443281
120.5035940371799,-116.1263641183305
121.3388850464979,-105.412259079112
122.1799660164873,-111.8283130425399
123.0268770812382,-96.27685626662367
123.879658653037,-101.6528940936294
124.7383514242945,-95.94311517945081
125.6029963694877,-102.927841284258
126.4736347471152,-99.6957569330317
127.3503081016663,-104.797630497157
128.2330582656023,-100.6357777836526
129.1219273613536,-119.2560514640177
130.0169578033291,-88.14826259376639
130.9181922999408,-100.1855483920964
131.8256738556409,-104.9949699592789
132.7394457729741,-96.30284767946438
133.6595516546443,-93.03701447116816
134.586035405595,-104.2035903083831
135.5189412351038,-108.0410755860295
136.4583136588927,-90.40821630726455
137.4041975012516,-91.75643654122622
