#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35F97
#Date Time: 2019-11-16 15:25:53.719
#Start: 100 Hz
#Stop: 100000 Hz
#Steps: 1001
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.43833 V
#Offset: -5.25147e-05 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB)
100.0000000000001,-70.04760056375574
100.6931668851805,-64.43251564333521
101.391138573668,-65.10395632098667
102.0939483707681,-64.02716584820705
102.8016298126474,-67.86667386747857
103.5142166679345,-58.05817877201331
104.2317429393305,-64.02835218659362
104.9542428652323,-62.87596753701557
105.681750921366,-61.1013248463085
106.4143018224318,-62.81578843176072
107.1519305237607,-65.36273904730086
107.894672222983,-64.351062304493
108.6425623617067,-61.40430765647076
109.3956366272095,-71.30297237830968
110.1539309541416,-65.67201821025962
110.9174815262402,-64.24168738174646
111.6863247780562,-60.28125409244075
112.4604973966928,-65.01926916008006
113.2400363235558,-63.48564869619864
114.024978756117,-67.75632850665838
114.8153621496884,-61.97781766178556
115.6112242192101,-64.88876415974315
116.4126029410492,-61.15395897826362
117.2195365548131,-72.00409588154425
118.0320635651731,-64.38933634002922
118.850222743702,-68.16713110497763
119.6740531307244,-59.93805469484005
120.5035940371799,-70.56874196139232
121.3388850464979,-60.18278701410025
122.1799660164873,-59.82277742814273
123.0268770812382,-60.7241981295105
123.879658653037,-64.08241270313073
124.7383514242945,-59.80721250979925
125.6029963694877,-63.47455793639231
126.4736347471152,-65.69247001776435
127.3503081016663,-59.47532023530243
128.2330582656023,-71.66832898427502
129.1219273613536,-62.59614232505616
130.0169578033291,-59.53950636836527
130.9181922999408,-62.80891283924689
131.8256738556409,-65.73964367551874
132.7394457729741,-65.44838239252962
133.6595516546443,-60.61439459959377
134.586035405595,-61.44809038493726
135.5189412351038,-60.74533002780577
136.4583136588927,-60.29121757688699
137.4041975012516,-58.22860181017408
138.3566378971782,-59.2588407942488
139.3156802945305,-58.30529948635056
140.281370456196,-61.64981771836328
141.2537544622755,-55.15427573019476
142.2328787122821,-54.75819189768086
143.2187899273545,-56.88563227951732
144.2115351524871,-59.35491898054883
145.2111617587744,-56.57667711683166
146.217717445672,-58.72995925568084
147.2312502432721,-63.70682935769053
148.2518085145956,-60.86069731277185
149.2794409578997,-57.37801582785128
150.3141966090022,-56.89449560894656
151.356124843621,-60.64215348269897
152.4052753797292,-61.3708035543053
153.4616982799296,-64.45328508672654
154.5254439538414,-62.29207963822537
155.5965631605077,-56.70810377169844
156.675107010815,-58.4935843396027
157.761126969935,-58.62177316511559
158.8546748597779,-60.4279480355151
159.9558028614671,-61.10566861987226
161.0645635178271,-56.26991984683202
162.1810097358932,-56.83480187129008
163.3051947894335,-60.45033669597404
164.4371723214932,-58.38537534936222
165.5769963469529,-56.30296496163587
166.7247212551064,-59.80595419918981
167.8804018122561,-80.79365203756886
169.0440931643265,-58.25373937071721
170.2158508394952,-59.21400774851654
171.3957307508427,-60.85930704486783
172.5837891990204,-65.27928820005785
173.7800828749376,-62.30361059922967
174.9846688624658,-59.12555767115825
176.1976046411631,-84.26431236052899
177.4189480890166,-66.52803169116977
178.6487574852052,-68.14061384367395
179.8870915128789,-62.10772605124387
181.1340092619604,-71.2117708901113
182.3895702319639,-60.66740072354325
183.6538343348347,-58.96771918187383
184.926861897808,-63.98860005128572
186.2087136662869,-63.08504292822354
187.4994508067419,-55.80471147563911
188.7991349096295,-61.10528040622423
190.1078279923302,-61.82540924384032
191.4255925021088,-59.57404645919623
192.7524913190937,-58.43409016667341
194.0885877592779,-59.77222724257035
195.4339455775396,-67.47023101200254
196.7886289706847,-61.32710503914335
198.1527025805099,-66.8463955190448
199.5262314968881,-58.54293583349376
200.909281260873,-57.26441835808329
202.3019178678274,-54.82461660456384
203.7042077705719,-60.76072675186687
205.1162178825567,-59.06876505065022
206.5380155810531,-56.53600450189292
207.9696687103698,-59.6700244834595
209.4112455850893,-61.87845344414158
210.8628149933291,-67.00060096798708
212.3244462000221,-68.49097912078305
213.7962089502235,-57.27282147902795
215.2781734724374,-59.69187385858179
216.7704104819696,-61.89160157513
218.2729911843003,-59.05306925930772
219.7859872784827,-57.37180689352139
221.3094709605639,-62.79729170847987
222.8435149270305,-68.14784483470103
224.3881923782768,-68.29050827521033
225.9435770220981,-63.29438593171913
227.5097430772071,-60.11045302839788
229.0867652767774,-62.44932044129776
230.6747188720071,-58.95261077824047
232.273679635711,-63.74164476887315
233.8837238659356,-62.96506811228863
235.5049283896011,-60.28311796859836
237.1373705661657,-64.38061112091542
238.7811282913181,-58.97429360401347
240.4362800006934,-71.52578106331299
242.102904673618,-60.912612236546
243.7810818368755,-55.98991751346497
245.4708915685034,-57.98563823672957
247.1724145016132,-58.39467678842691
248.8857318282393,-63.85113475300902
250.6109253032116,-60.83738341373796
252.3480772480578,-65.6780240788508
254.0972705549306,-54.32098572609013
255.8585886905648,-57.78874416917724
257.6321157002578,-72.46610197364438
259.4179362118818,-60.67437104807895
261.2161354399208,-63.23830414064415
263.0267991895385,-60.85202689812571
264.8500138606703,-62.93402691193292
266.6858664521483,-60.85324595373248
268.5344445658509,-60.94494420351384
270.3958364108846,-59.45516238962583
272.2701308077915,-61.17800928803504
274.1574171927887,-66.24960361595748
276.0577856220347,-56.72119808546989
277.9713267759291,-57.45134919144882
279.8981319634366,-70.13610534933396
281.8382931264458,-61.42288808088413
283.7919028441558,-64.0012439607426
285.7590543374949,-57.20851049749378
287.7398414735673,-56.76364212735842
289.7343587701328,-56.75778784900976
291.7427014001169,-64.94950902531488
293.7649651961534,-61.48673666488791
295.801246655155,-60.87262113742339
297.8516429429194,-71.9392481179227
299.9162518987653,-54.79329792427134
301.9951720402019,-64.42459812033792
304.0885025676283,-59.52111846332882
306.1963433690682,-56.10378288193928
308.3187950249356,-61.77111301599855
310.4559588128359,-58.00790560983572
312.6079367123959,-60.80134854357644
314.774831410132,-58.12760437807303
316.9567463043493,-60.86739304686348
319.1537855100765,-69.55420567548776
321.3660538640322,-64.64842699164652
323.5936569296288,-58.34552311922771
325.836701002009,-56.60557647881028
328.0952931131191,-55.4012836693239
330.3695410368152,-62.3142586011661
332.6595532940047,-58.41889240173855
334.9654391578279,-57.26806040781989
337.2873086588689,-62.66392708066909
339.6252725904089,-63.59878394246078
341.979442513709,-54.07100470894811
344.3499307633388,-78.84234775518904
346.7368504525317,-66.34858916612923
349.1403154785866,-65.93776692310931
351.5604405282983,-63.17474497946939
353.997341083435,-64.82441570124527
356.4511334262443,-62.78308536199938
358.9219346450057,-60.41897296926063
361.4098626396135,-66.32751229798393
363.9150361272075,-58.87578140999938
366.4375746478333,-63.22449126905883
368.9775985701509,-58.34269472520575
371.5352290971728,-63.49980459889771
374.1105882720537,-71.58564351671758
376.7037989839089,-63.02413065457492
379.3149849736825,-59.20274888396424
381.9442708400468,-65.68113481184713
384.5917820453539,-69.44278805654362
387.2576449216173,-61.0606977489432
389.941986676544,-63.27504738970735
392.6449353996001,-58.49442868632417
395.3666200681283,-59.19971701295506
398.1071705534973,-61.67915131433742
400.8667176273034,-60.1983558463826
403.6453929676053,-52.71265885857454
406.4433291652131,-58.9106327698583
409.260659730011,-59.08579090680306
412.0975190973304,-58.35898658341342
414.9540426343632,-61.42505500959284
417.8303666466222,-56.49526034840238
420.7266283844442,-73.85385414947545
423.6429660495414,-76.0990394420363
426.5795188015931,-59.82829670775654
429.5364267648877,-54.62872947627419
432.5138310350089,-65.70517146458191
435.5118736855688,-55.74492828539081
438.530697774986,-62.56760911893616
441.5704473533129,-57.14604617747358
444.6312674691089,-66.49179448438473
447.7133041763628,-62.75226822019943
450.8167045414605,-63.67652698549057
453.9416166502037,-56.4857713107392
457.0881896148752,-57.29023480147234
460.2565735813563,-56.52981984894743
463.4469197362884,-63.94974822558793
466.6593803142892,-59.47800447180243
469.8941086052156,-60.4195336513373
473.1512589614808,-62.3934211030808
476.4309868054161,-53.97653529822269
479.7334486366897,-81.73726244672871
483.0588020397728,-67.85221888196524
486.4072056914619,-59.89091544220073
489.7788193684466,-59.62342914304291
493.1738039549364,-72.11437326755875
496.5923214503363,-65.63407671257701
500.0345349769788,-67.76282733091945
503.5006087879053,-71.49934754222818
506.990708274705,-63.79812263732354
510.5049999754065,-64.6242373964119
514.0436515824264,-68.21094880914886
517.6068319505681,-56.58706257341719
521.1947111050811,-62.29512459416065
524.8074602497728,-66.802453048267
528.4452517751807,-56.4841812162299
532.1082592667947,-64.2482045798594
535.7966575133422,-56.12611213333498
539.5106225151279,-66.05127616638826
543.2503314924336,-62.52867841092076
547.0159628939721,-54.39345939714153
550.8076964054042,-61.52210305693628
554.625712957911,-75.92908036532368
558.4701947368312,-58.86274293377053
562.3413251903496,-54.58675701180155
566.2392890382534,-58.26024472635495
570.1642722807478,-63.31171528672212
574.116462207328,-56.00015578119909
578.0960474057187,-51.53372157223445
582.1032177708717,-54.94429728403016
586.1381645140291,-50.88634612764776
590.2010801718448,-67.83537124274781
594.2921586155733,-61.38543219685957
598.4115950603199,-68.1276952011345
602.5595860743581,-56.1293774649608
606.7363295885059,-65.74044700406282
610.9420249055727,-55.28018457501169
615.1768727098683,-68.90940815675509
619.4410750767818,-52.14494765209226
623.7348354824198,-73.42520470159749
628.0583588133186,-55.26215761310752
632.4118513762197,-59.06954551686479
636.7955209079162,-53.47657090563467
641.2095765851623,-55.44005484797982
645.6542290346563,-61.39129930114842
650.1296903430909,-65.02594030441506
654.6361740672754,-61.52361324143531
659.1738952443219,-55.30220131112097
663.7430704019097,-66.79902004178138
668.3439175686149,-59.16125054460706
672.9766562843182,-54.23659695564929
677.6415076106757,-49.80800219792906
682.3386941416704,-54.09781225732914
687.0684400142325,-56.66394882254095
691.8309709189369,-54.52904714850908
696.6265141107694,-60.79340527488987
701.4552984199721,-50.3789333933959
706.3175542629623,-56.86452447206263
711.2135136533295,-52.80573134890825
716.143410212902,-53.0845895790205
721.1074791829004,-50.30663888972248
726.1059574351551,-50.18700308878118
731.1390834834181,-54.1226102934122
736.2070974947361,-49.22862306219577
741.3102413009185,-53.70128270617705
746.4487584100668,-53.66590066052574
751.622894018206,-57.64874349795201
756.8328950209743,-60.20096963006681
762.079010025413,-51.68359277275247
767.3614893618194,-62.00292703360616
772.6805850957029,-55.72330136021844
778.0365510398041,-56.04306182132008
783.4296427662129,-56.8219108485002
788.8601176185549,-53.1491156714003
794.3282347242821,-50.17261186768062
799.8342550070284,-50.281267241083
805.3784411990678,-55.29704269349106
810.9610578538413,-49.71508707248744
816.582371358593,-45.90324787365659
822.2426499470713,-51.34014575564592
827.9421637123353,-47.5931022189494
833.6811846196349,-52.87183843648452
839.4599865193982,-55.99890732537355
845.2788451602901,-61.90581971395444
851.1380382023776,-47.57102163429646
857.0378452303702,-52.03595386504151
862.978547766971,-49.85921841597887
868.9604292863019,-45.47751235051141
874.9837752274373,-47.64509561370843
