Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,0.02207334,-70.48706868,-24.56125424
100.6931669,0.023294647,-71.89993062,-24.10412464
101.3911386,0.024016039,-70.84950753,-13.05784578
102.0939484,0.023040248,-69.71524298,-4.974210952
102.8016298,0.021917499,-68.08975379,-16.57500246
103.5142167,0.023245672,-71.68030224,-6.676188324
104.2317429,0.02097812,-70.73369666,1.966942974
104.9542429,0.0237573,-70.84594381,-7.628675658
105.6817509,0.02404596,-67.65500502,9.16659406
106.4143018,0.022348863,-69.81219671,-1.6428965
107.1519305,0.020671133,-67.30876497,-18.92866838
107.8946722,0.023775599,-68.52837523,-0.690699151
108.6425624,0.022661127,-67.53313677,-9.859381388
109.3956366,0.023660723,-68.10505217,8.576673713
110.153931,0.023048928,-67.22654586,-24.92468235
110.9174815,0.023489265,-72.01060439,-14.70161837
111.6863248,0.022551575,-69.15406589,7.70879636
112.4604974,0.022322306,-72.26707239,-0.615054845
113.2400363,0.023929641,-68.22997143,-2.143416534
114.0249788,0.021020688,-66.65586016,11.04335349
114.8153621,0.022006911,-75.36564893,-18.52442896
115.6112242,0.0218165,-70.24313383,6.311217023
116.4126029,0.02286577,-68.88808929,-15.5166725
117.2195366,0.022244632,-66.45016669,-14.25007809
118.0320636,0.021683587,-67.76669618,-18.32985523
118.8502227,0.021588677,-66.98566635,-18.33025487
119.6740531,0.022559052,-66.59303942,-15.90687271
120.503594,0.024059914,-70.22912616,9.043862761
121.338885,0.020783305,-70.03029089,17.58235225
122.179966,0.024128103,-70.02373647,2.849076951
123.0268771,0.0234517,-67.85898468,-7.618773615
123.8796587,0.022830595,-73.26483666,14.95839748
124.7383514,0.021794494,-68.75429415,0.141593406
125.6029964,0.02156474,-69.92339279,-23.56582848
126.4736347,0.023354061,-73.57551052,11.06877818
127.3503081,0.021810704,-69.46394165,-21.86570796
128.2330583,0.022459183,-68.08243228,-1.574261514
129.1219274,0.022698616,-65.03511364,2.089747351
130.0169578,0.023649076,-72.45171991,0.788993872
130.9181923,0.020276075,-72.89183129,-6.530968791
131.8256739,0.02416533,-68.74006822,9.971970472
132.7394458,0.021245506,-68.07351943,-43.91557082
133.6595517,0.021853466,-71.92297171,56.87915391
134.5860354,0.023043967,-67.88352173,2.541194693
135.5189412,0.022981391,-69.52984296,21.04873742
136.4583137,0.021570776,-69.00804864,-1.224247982
137.4041975,0.023040378,-71.56678099,11.3830904
138.3566379,0.020935218,-67.91088757,3.888794476
139.3156803,0.02234447,-71.43133839,15.22080206
140.2813705,0.020956859,-66.64210055,3.74173306
141.2537545,0.022999958,-66.28726412,15.79187127
142.2328787,0.023524254,-69.19633077,12.8950467
143.2187899,0.022071893,-70.24883283,12.96772152
144.2115352,0.018459617,-68.10977979,-0.105034523
145.2111618,0.022526188,-72.82311572,43.97150333
146.2177174,0.023348464,-65.65559246,5.428049781
147.2312502,0.021412963,-71.31904253,3.748536844
148.2518085,0.023369948,-66.55548006,-21.48246102
149.279441,0.023379599,-67.79582515,4.14026161
150.3141966,0.024954218,-66.80843378,18.37654532
151.3561248,0.021929338,-66.51136175,2.112059927
152.4052754,0.024330797,-72.21150709,-46.3823023
153.4616983,0.020189023,-70.70504761,-2.714628758
154.525444,0.023089016,-66.90316001,2.584530235
155.5965632,0.024085503,-73.2691308,-0.13446856
156.675107,0.020254392,-71.67518117,21.16061992
157.761127,0.02161915,-73.90692882,8.078861913
158.8546749,0.021559982,-68.76649039,1.182083726
159.9558029,0.02287331,-66.14695869,9.012638598
161.0645635,0.020987002,-68.41396615,6.382287912
162.1810097,0.024103143,-73.56762838,28.19332957
163.3051948,0.020551815,-77.32293489,-50.95883431
164.4371723,0.022799236,-68.21299707,-5.9395842
165.5769963,0.023218008,-67.95583599,25.52727293
166.7247213,0.023809562,-67.43935545,-16.18979609
167.8804018,0.022853022,-67.30647645,-15.99024546
169.0440932,0.022679334,-70.55232666,-12.01481553
170.2158508,0.022032696,-69.29334333,16.52883212
171.3957308,0.020123247,-71.79336137,-29.26334826
172.5837892,0.023714562,-70.71738082,-11.60209243
173.7800829,0.020586307,-69.41981402,-48.43554821
174.9846689,0.020549611,-67.96857836,-13.33496682
176.1976046,0.02162187,-66.39872796,32.07991664
177.4189481,0.023164437,-71.73040422,2.967842852
178.6487575,0.020589855,-71.28433802,-7.162287086
179.8870915,0.022589139,-66.39402947,-11.53282187
181.1340093,0.020611319,-72.06131193,2.25541504
182.3895702,0.024050108,-67.46217684,-25.8599192
183.6538343,0.02220447,-71.07521723,2.202403286
184.9268619,0.023049809,-67.85882004,-0.914959639
186.2087137,0.024058397,-70.2754694,-8.072563092
187.4994508,0.02354971,-67.681623,19.34330154
188.7991349,0.023134506,-68.28710112,-11.35443852
190.107828,0.021253401,-68.43291596,-17.21480232
191.4255925,0.023574802,-69.2763921,-0.420697344
192.7524913,0.022632715,-71.35240593,12.70816597
194.0885878,0.021432499,-71.0207291,-15.43776813
195.4339456,0.023919494,-65.86168407,5.964324354
196.788629,0.022043912,-71.20904586,15.06349188
198.1527026,0.022123447,-69.05100066,-3.962649615
199.5262315,0.022587923,-67.86575187,-34.23407044
200.9092813,0.023669073,-67.95801224,30.01684236
202.3019179,0.022199868,-68.87345518,6.540164214
203.7042078,0.021843397,-73.66771313,5.496695511
205.1162179,0.023146304,-68.45905895,-38.59591741
206.5380156,0.021988081,-68.84064171,-9.746853963
207.9696687,0.021995757,-70.2735349,4.350708337
209.4112456,0.023648633,-66.51215471,14.27047238
210.862815,0.02238023,-71.39003797,13.39920471
212.3244462,0.021592024,-66.61465417,-18.90537422
213.796209,0.024979533,-68.96916185,15.35280057
215.2781735,0.02375488,-80.22162728,3.409735845
216.7704105,0.023260623,-65.02576454,-20.57735564
