Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-87.39836035,0.095769772
100.6931669,-95.47805266,-150.0704231
101.3911386,-92.70041244,-80.50872792
102.0939484,-93.82088428,-13.75199268
102.8016298,-86.39420336,-105.0227054
103.5142167,-98.67579383,-2.608935897
104.2317429,-92.23082667,57.42059514
104.9542429,-96.206058,-173.6124671
105.6817509,-92.47404437,99.71080956
106.4143018,-95.86131709,173.9883686
107.1519305,-91.42536227,-27.27927964
107.8946722,-97.2155846,71.07096078
108.6425624,-96.07696777,-106.4515158
109.3956366,-93.69109873,43.2788537
110.153931,-94.24317472,26.14842368
110.9174815,-93.8042364,-52.76126389
111.6863248,-86.48868388,32.21129957
112.4604974,-91.59331084,103.5399169
113.2400363,-98.23251599,-66.02622618
114.0249788,-92.91787444,-167.6965776
114.8153621,-84.62924663,13.65224813
115.6112242,-84.91806988,50.39439241
116.4126029,-95.71721907,68.16569138
117.2195366,-98.8193992,-34.39483071
118.0320636,-105.2187809,-148.9976789
118.8502227,-86.65534679,-49.05478219
119.6740531,-100.0059301,-49.30207496
120.503594,-95.35788858,70.72611773
121.338885,-97.24217272,-60.79770371
122.179966,-89.89621334,101.3539736
123.0268771,-94.98489224,100.9689691
123.8796587,-87.71100616,49.8082721
124.7383514,-86.07989057,-6.283851164
125.6029964,-92.96456103,-13.7901181
126.4736347,-91.71784242,130.0865566
127.3503081,-87.24019305,-2.172196439
128.2330583,-89.67345229,0.612857532
129.1219274,-91.70209286,166.9669658
130.0169578,-88.76722624,-41.06479788
130.9181923,-98.15834062,165.2948936
131.8256739,-95.90603321,23.40998466
132.7394458,-89.94671215,20.70796622
133.6595517,-91.30647764,-88.44338237
134.5860354,-86.60920547,18.17229279
135.5189412,-101.9885517,-52.70976989
136.4583137,-94.87956428,118.0276061
137.4041975,-86.61031482,46.68521461
138.3566379,-87.2369124,-12.3287917
139.3156803,-98.09115435,147.0536404
140.2813705,-98.11439066,126.8940462
141.2537545,-87.62367942,-60.492466
142.2328787,-88.07778092,114.6003803
143.2187899,-91.18820703,-30.54838708
144.2115352,-87.68412383,-61.63977026
145.2111618,-101.6079305,171.0550792
146.2177174,-87.74927057,-163.7582329
147.2312502,-92.17694791,-50.32678856
148.2518085,-95.91808673,13.59071643
149.279441,-97.54420454,-65.80873479
150.3141966,-88.00484309,-37.05568173
151.3561248,-89.76944858,-53.24158831
152.4052754,-90.90855967,55.29447941
153.4616983,-91.46590592,135.2727734
154.525444,-111.9709019,-128.3468853
155.5965632,-90.13788242,-99.87289004
156.675107,-86.35239397,-21.83837886
157.761127,-92.50276843,176.1688528
158.8546749,-98.84119758,20.33585646
159.9558029,-93.85102474,-76.11256462
161.0645635,-85.30710662,-1.502429172
162.1810097,-114.6244344,-38.46231319
163.3051948,-92.25959367,96.13998646
164.4371723,-94.17674509,55.17554125
165.5769963,-93.27072064,62.68083603
166.7247213,-94.95423375,170.4853053
167.8804018,-93.57766474,16.41326511
169.0440932,-90.55302971,145.128926
170.2158508,-113.9039351,115.8530848
171.3957308,-89.5727958,-81.23507371
172.5837892,-105.1856933,-3.337121866
173.7800829,-87.31757931,19.93497418
174.9846689,-89.49349434,-30.85654674
176.1976046,-101.010716,27.31902359
177.4189481,-90.5593201,5.581396215
178.6487575,-96.1363408,-30.71544066
179.8870915,-87.35290924,35.37902215
181.1340093,-89.56351471,90.48462743
182.3895702,-113.5368277,-140.9528727
183.6538343,-94.29671843,28.88799313
184.9268619,-95.03229702,-53.87958969
186.2087137,-90.34945082,26.25253748
187.4994508,-89.4482223,63.06868298
188.7991349,-96.87290943,4.911912036
190.107828,-93.14636804,-60.36307736
191.4255925,-91.46262622,-116.5744644
192.7524913,-90.79624053,-23.4749644
194.0885878,-90.44959892,-74.80160072
195.4339456,-109.092479,-25.56024088
196.788629,-89.73952675,-31.10029675
198.1527026,-99.38675149,-103.6265961
199.5262315,-93.43452988,72.80485725
200.9092813,-94.63861405,138.5232868
202.3019179,-93.49168527,-114.2846548
203.7042078,-101.6645857,60.14391001
205.1162179,-98.00917722,17.48455974
206.5380156,-100.4536499,-109.7431481
207.9696687,-91.65561475,108.4472527
209.4112456,-89.04660599,-112.4933199
210.862815,-94.16881213,-20.36012141
212.3244462,-89.51163162,-1.84135295
213.796209,-100.1804456,14.36099918
215.2781735,-101.3446475,-6.244956958
216.7704105,-87.70450119,-68.29620652
218.2729912,-91.90848311,-63.67892318
219.7859873,-100.9832667,70.09227036
221.309471,-90.27156053,-139.778168
222.8435149,-86.02326305,-72.52550749
224.3881924,-96.50024928,150.6503372
225.943577,-89.86084718,-122.0371178
227.5097431,-90.19833995,72.72253605
229.0867653,-88.93088254,103.001155
230.6747189,-117.745525,101.3181162
232.2736796,-86.29672923,-39.44142808
233.8837239,-89.5261233,55.50579079
235.5049284,-98.70499975,-121.923756
237.1373706,-90.5569408,-60.82606456
238.7811283,-98.21802184,158.961845
240.43628,-93.93096993,-87.42353
242.1029047,-93.95222518,26.78464187
243.7810818,-97.95035013,-114.683336
245.4708916,-95.57999565,-26.52109573
247.1724145,-89.19352228,67.07302832
248.8857318,-92.0816573,-33.68561141
250.6109253,-91.55865033,119.3522991
252.3480772,-88.6384723,164.6790748
254.0972706,-113.6482198,-23.83025325
255.8585887,-93.38872831,-127.6505427
257.6321157,-88.29407984,0.614490695
259.4179362,-95.55589551,48.55258949
261.2161354,-100.6685377,18.5371982
263.0267992,-87.26025938,70.46318147
264.8500139,-102.3619443,144.4404101
266.6858665,-86.04904218,-82.0967081
268.5344446,-94.58027189,101.4311872
270.3958364,-83.49352678,-147.1015999
272.2701308,-90.08596481,105.7277156
274.1574172,-99.41303123,-68.1855855
276.0577856,-94.57945346,-41.86264506
277.9713268,-93.72610015,173.4059123
279.898132,-88.05726655,-77.53570922
281.8382931,-86.84924821,8.365724495
283.7919028,-94.18327302,-22.45745145
285.7590543,-94.28076163,-172.2595671
287.7398415,-91.55915461,72.60119426
289.7343588,-89.13550204,-37.32931381
291.7427014,-90.32465425,121.828396
293.7649652,-101.5932341,-50.92951527
295.8012467,-94.46386779,-18.27515304
297.8516429,-96.07003261,-5.841017217
299.9162519,-87.85054964,80.10577966
301.995172,-90.62955751,109.4332093
304.0885026,-85.43210697,-68.82583759
306.1963434,-86.64836006,19.9879624
308.318795,-97.5352102,-156.5652366
310.4559588,-91.74029594,50.19742731
