Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100,-101.4511199,69.14854878
100.6931669,-103.6596571,73.23555445
101.3911386,-91.53464175,66.83598763
102.0939484,-88.28419035,-46.13185624
102.8016298,-104.7878763,46.85060378
103.5142167,-89.82818938,15.38763401
104.2317429,-90.78675957,-9.42246568
104.9542429,-87.64709729,163.0740179
105.6817509,-94.91474068,58.73300645
106.4143018,-89.26173593,-12.79166572
107.1519305,-88.8512535,-4.078379859
107.8946722,-94.72407135,-112.8193071
108.6425624,-90.47843358,-23.57421125
109.3956366,-94.32105544,-13.55417984
110.153931,-97.8864528,1.310462854
110.9174815,-91.68462425,-154.7055126
111.6863248,-94.03988591,43.30346485
112.4604974,-92.60339276,-21.0026003
113.2400363,-91.25642055,-37.77023268
114.0249788,-98.47337635,-122.8714558
114.8153621,-88.42798571,-37.29832151
115.6112242,-93.85243075,-115.4829284
116.4126029,-89.51770877,-26.85814343
117.2195366,-103.1170345,-33.65070078
118.0320636,-102.7172943,-150.8407179
118.8502227,-101.7643179,48.87838567
119.6740531,-87.95659815,-26.31713694
120.503594,-97.47503205,-25.57587354
121.338885,-89.72131188,-0.290503328
122.179966,-88.084659,-127.5983069
123.0268771,-91.35002359,-97.79300536
123.8796587,-92.30944705,-162.9181757
124.7383514,-94.10554738,-139.4841419
125.6029964,-92.76364822,-91.20226254
126.4736347,-90.63321089,-5.841236022
127.3503081,-88.77057091,-130.8866837
128.2330583,-91.35672301,175.0450556
129.1219274,-95.96467749,174.4837786
130.0169578,-87.9334292,-110.6133971
130.9181923,-87.58508054,-11.17115819
131.8256739,-90.29931387,19.23836915
132.7394458,-86.72387133,-55.32608548
133.6595517,-96.42999777,105.4302072
134.5860354,-80.60830322,-175.4108936
135.5189412,-96.04762788,-8.406602471
136.4583137,-88.50819307,47.56951528
137.4041975,-90.96810484,61.3099608
138.3566379,-91.92425454,17.56917398
139.3156803,-83.27961119,-37.08266727
140.2813705,-83.22656654,-173.5909371
141.2537545,-80.82934174,-72.77347196
142.2328787,-87.43976807,5.99133584
143.2187899,-82.66663764,43.62910363
144.2115352,-80.20713146,23.79954753
145.2111618,-84.37586127,-51.90557116
146.2177174,-81.55252644,-144.6338926
147.2312502,-86.3089362,3.355502372
148.2518085,-94.91728675,-41.69662722
149.279441,-91.69856468,-121.858437
150.3141966,-84.43076059,-99.19758081
151.3561248,-85.7905286,-149.4392075
152.4052754,-89.98498754,-140.9352572
153.4616983,-86.80941122,96.21193008
154.525444,-89.432198,-86.66126861
155.5965632,-79.6895918,36.97363975
156.675107,-103.3200971,120.6953647
157.761127,-87.19142746,-163.9728486
158.8546749,-90.5106425,171.6580225
159.9558029,-89.55080554,42.80935865
161.0645635,-86.67041248,-65.9561016
162.1810097,-93.05772313,-179.4783907
163.3051948,-81.61533895,-47.76986483
164.4371723,-92.73009187,82.96115664
165.5769963,-86.18194993,-64.09347486
166.7247213,-85.31076338,-86.88531458
167.8804018,-95.54289932,-10.35977653
169.0440932,-96.85688327,-75.88641971
170.2158508,-93.89737299,176.1819997
171.3957308,-84.67702683,-52.06133978
172.5837892,-95.25759468,54.88591318
173.7800829,-89.91376674,-85.94501118
174.9846689,-90.37305131,160.1253133
176.1976046,-89.91348768,-54.94065489
177.4189481,-100.7100332,-170.4482774
178.6487575,-99.50855954,149.082694
179.8870915,-97.59432661,36.36381888
181.1340093,-91.95005699,-174.6934918
182.3895702,-92.60058069,-1.947771054
183.6538343,-85.48903203,6.166849833
184.9268619,-89.69663995,-11.782832
186.2087137,-88.80632597,-65.00986821
187.4994508,-86.95334117,29.13400912
188.7991349,-93.74671254,146.7936676
190.107828,-98.21923635,-21.0916936
191.4255925,-99.5581167,-120.6618175
192.7524913,-89.96507877,-91.8446079
194.0885878,-95.23393715,-81.94948843
195.4339456,-91.16954371,-27.27247306
196.788629,-102.6665134,-41.2113397
198.1527026,-84.96626629,-35.01206319
199.5262315,-102.9833314,11.88282763
200.9092813,-88.64381956,-96.72077181
202.3019179,-87.10769033,56.88512799
203.7042078,-86.50740455,-42.53288065
205.1162179,-86.30918564,-51.63103728
206.5380156,-90.28101257,-64.3535457
207.9696687,-91.36097375,-30.41187035
209.4112456,-100.4233498,-168.839245
210.862815,-87.02302113,-66.35333473
212.3244462,-86.52300954,-25.37901256
213.796209,-88.72125113,-106.6564187
215.2781735,-93.36752948,6.665198524
216.7704105,-93.40727845,7.6379191
218.2729912,-92.59765956,111.3525426
219.7859873,-91.56579686,45.8822369
221.309471,-88.25604893,-163.5370191
222.8435149,-89.77312528,35.198469
224.3881924,-94.61490964,-48.12466446
225.943577,-81.81845898,-112.6774687
227.5097431,-91.4179349,-54.25736901
229.0867653,-87.47788343,-90.23786738
230.6747189,-84.85543426,10.09370738
232.2736796,-82.83328791,-79.11091354
233.8837239,-88.21953398,-124.5843887
235.5049284,-89.08267669,-46.15584352
237.1373706,-104.1222008,31.81004291
238.7811283,-88.58665938,158.882221
240.43628,-89.04935276,-93.01598838
242.1029047,-90.03237792,-134.4566398
243.7810818,-85.55468507,-97.15667403
245.4708916,-86.64965447,-67.95981514
247.1724145,-86.15370115,-122.5581468
248.8857318,-80.43851003,-57.77050746
250.6109253,-82.02678301,-64.40918252
252.3480772,-88.79432442,-45.5595587
254.0972706,-86.59705438,-98.85877995
255.8585887,-91.1451438,48.20728258
257.6321157,-85.63756447,-78.26731271
259.4179362,-89.00396129,2.856440883
261.2161354,-86.21689996,-78.08490325
263.0267992,-85.24788408,-39.94737154
264.8500139,-85.69652175,-56.89140903
266.6858665,-96.25967343,-82.67068201
268.5344446,-83.12880499,-63.98186314
270.3958364,-83.53875031,-92.92811596
272.2701308,-88.58746905,-132.0732881
274.1574172,-83.26731189,-116.935316
276.0577856,-87.01909476,-111.5020538
277.9713268,-89.45534907,3.671941786
279.898132,-85.40128659,-36.12595588
281.8382931,-86.97400779,174.1961543
283.7919028,-81.15625801,-88.03280596
285.7590543,-89.41341411,-17.2584572
287.7398415,-86.49449256,-77.39783087
289.7343588,-86.00218894,-95.11711028
291.7427014,-91.25397976,-48.29810575
293.7649652,-85.17899887,-66.79786758
295.8012467,-90.54303214,-144.2887586
297.8516429,-90.33791059,12.53433423
299.9162519,-87.07338987,-73.43219358
301.995172,-86.92726874,-116.4281718
304.0885026,-89.70025544,-101.1018584
306.1963434,-90.92930426,-94.34919603
308.318795,-86.67581298,-77.83016564
310.4559588,-96.61772127,-31.99115938
312.6079367,-93.59406148,-156.2631231
314.7748314,-88.63088897,-169.8503399
316.9567463,-90.51182164,-14.61998633
319.1537855,-83.97214469,-75.335866
321.3660539,-85.05322304,105.160536
323.5936569,-89.36832731,-81.91138265
325.836701,-85.40678247,-119.2140397
328.0952931,-81.12122596,-91.43364406
330.369541,-80.81363487,-76.97167934
332.6595533,-83.83105059,-108.1187663
334.9654392,-86.13336186,-52.29963261
337.2873087,-88.79385384,-37.57521134
339.6252726,-86.80888906,-95.26474559
341.9794425,-84.19994691,-117.7023403
344.3499308,-89.98524854,-57.83246547
346.7368505,-83.85720796,-85.72791713
349.1403155,-79.99251232,-83.90360454
351.5604405,-85.74313221,-100.0283694
353.9973411,-85.36802275,-67.98362029
356.4511334,-87.6621656,-81.21461204
358.9219346,-81.80746469,-59.8965994
361.4098626,-93.42637207,-103.6661838
363.9150361,-85.99063854,-106.0226452
366.4375746,-88.7238174,-126.4506256
368.9775986,-106.2302169,105.7341788
371.5352291,-82.09989926,-83.38047389
374.1105883,-82.88198439,-82.17193376
376.703799,-77.67673242,-83.74380462
379.314985,-84.44717313,-86.84194398
381.9442708,-77.00391385,-44.70039663
384.591782,-80.53320171,-68.58315217
387.2576449,-85.50870463,-107.7281288
389.9419867,-80.76020361,-129.4285255
392.6449354,-80.53769041,-79.78950451
395.3666201,-80.29455202,-50.9948977
398.1071706,-78.15090262,-119.3511206
400.8667176,-79.69514396,-109.4910021
403.645393,-84.0875509,-84.41128629
406.4433292,-78.70992842,-84.2282714
409.2606597,-79.16026336,-112.297112
412.0975191,-83.80340803,-104.0439408
414.9540426,-84.27917963,-79.74132362
417.8303666,-82.66259093,-78.98320872
420.7266284,-77.51226211,-94.48337634
423.642966,-80.73935771,-96.51100231
426.5795188,-79.02723626,-83.34554156
429.5364268,-84.47459175,-108.8713371
432.513831,-75.82873493,-103.7368828
435.5118737,-77.39654337,-91.05894751
438.5306978,-79.76775288,-85.61340024
441.5704474,-82.4222803,-75.24452236
444.6312675,-76.81106259,-112.169949
447.7133042,-77.96534177,-84.7672814
450.8167045,-80.62895091,-80.77235841
453.9416167,-78.9279814,-89.26594511
457.0881896,-79.86794221,-109.3583955
460.2565736,-78.0250922,-132.578603
463.4469197,-74.4000853,-103.1580823
466.6593803,-77.91869696,-98.89597797
469.8941086,-76.33697615,-108.4524768
473.151259,-77.07175538,-91.84136059
476.4309868,-80.98045089,-92.92000813
479.7334486,-74.91735623,-100.5208151
483.058802,-75.0212577,-95.62347759
486.4072057,-77.28732827,-98.73638291
489.7788194,-76.63040081,-115.7448117
493.173804,-75.87460294,-103.2419685
496.5923215,-74.54444667,-126.2704893
500.034535,-76.8448894,-124.3782687
503.5006088,-74.76535888,-97.03205062
506.9907083,-74.7542664,-105.4338087
510.505,-74.70057705,-110.0904917
514.0436516,-73.77318379,-112.2818137
517.606832,-75.88320106,-92.84603399
521.1947111,-71.97462344,-104.5419401
524.8074602,-73.84313221,-104.7909648
528.4452518,-73.69020065,-102.2934633
532.1082593,-73.95034882,-113.4475325
535.7966575,-74.37357801,-104.4832529
539.5106225,-75.58002575,-103.1181469
543.2503315,-72.13901519,-118.6864885
547.0159629,-71.51008821,-108.3717374
550.8076964,-71.56009653,-109.6268297
554.625713,-71.41097497,-96.05362419
558.4701947,-72.44795422,-107.3305285
562.3413252,-69.33820368,-110.1891946
566.239289,-69.94264831,-102.6127022
570.1642723,-71.34283357,-111.078952
574.1164622,-70.27404158,-110.0223127
578.0960474,-69.18086632,-106.7685444
582.1032178,-69.42280677,-110.5365914
586.1381645,-68.73509146,-103.2449921
590.2010802,-68.68025794,-106.8598134
594.2921586,-68.35247531,-100.260156
598.4115951,-68.96791368,-112.7056375
602.5595861,-68.42666533,-104.4879618
606.7363296,-67.59301158,-106.9638801
610.9420249,-66.98827139,-118.9680421
615.1768727,-67.92245732,-119.4395377
619.4410751,-67.22709813,-109.3836244
623.7348355,-65.84125263,-107.7144712
628.0583588,-66.34313674,-108.2910101
632.4118514,-65.10606038,-112.7180077
636.7955209,-65.2711438,-110.8712702
641.2095766,-64.39539367,-115.4990083
645.654229,-64.81518433,-115.7395615
650.1296903,-65.3141631,-119.1118333
654.6361741,-64.00651323,-119.1052113
659.1738952,-64.09062445,-112.2776613
663.7430704,-64.15841136,-112.8968879
668.3439176,-63.32621641,-117.5279733
672.9766563,-63.981757,-118.4385191
677.6415076,-62.26030887,-117.1734038
682.3386941,-62.10321377,-114.7504689
687.06844,-62.55063101,-116.0435792
691.8309709,-61.36905159,-112.6468641
696.6265141,-61.63582609,-116.5122132
701.4552984,-60.91286581,-116.232135
706.3175543,-60.40692223,-117.0013988
711.2135137,-60.89935568,-118.6156769
716.1434102,-61.02579763,-117.5755219
721.1074792,-60.28403007,-116.0026418
726.1059574,-59.49229194,-117.8025758
731.1390835,-58.69800878,-117.2686026
736.2070975,-59.25701463,-120.1750173
741.3102413,-59.39338435,-118.895682
746.4487584,-58.93181711,-120.6646938
751.622894,-58.23678313,-121.7706549
756.832895,-58.21471138,-119.5749228
762.07901,-57.52311499,-121.1808148
767.3614894,-57.17185832,-117.9764263
772.6805851,-57.00207549,-118.897366
778.036551,-56.84024665,-121.3627747
783.4296428,-56.379715,-124.6293203
788.8601176,-55.53314228,-121.2802947
794.3282347,-55.66018607,-121.8174264
799.834255,-55.34015912,-122.1831378
805.3784412,-54.92397547,-122.5953336
810.9610579,-54.77488109,-121.9092441
816.5823714,-54.45995362,-122.3685275
822.2426499,-54.12424501,-123.977507
827.9421637,-53.96488849,-125.5869184
833.6811846,-53.45215072,-125.411928
839.4599865,-52.97016055,-124.0318169
845.2788452,-52.84297325,-125.8004048
851.1380382,-52.37333492,-125.0591976
857.0378452,-52.25299317,-126.9016481
862.9785478,-51.96655476,-126.5046125
868.9604293,-51.50246856,-126.388341
874.9837752,-51.20418941,-126.0545415
881.048873,-51.00071061,-126.7969766
887.156012,-50.61935125,-127.5178252
893.3054837,-49.93549832,-127.7433678
899.4975815,-50.01998336,-128.6809093
905.7326009,-49.43090482,-129.3506654
912.0108394,-49.1449494,-127.8278908
918.3325965,-48.7175936,-129.0868548
924.6981739,-48.36318412,-129.05147
931.1078755,-47.79567162,-131.2449501
937.5620069,-47.63927179,-130.8032173
944.0608763,-47.43308645,-129.6763778
950.6047937,-46.94461551,-131.4930442
957.1940713,-46.69751568,-131.0851626
963.8290236,-46.41608548,-132.7552163
970.5099672,-45.91465567,-131.9802773
977.237221,-45.61654968,-133.5650061
984.0111058,-45.27172137,-132.4981108
990.8319449,-44.80239704,-132.402544
997.7000638,-44.5433089,-134.2630338
1004.61579,-44.26600891,-134.3233869
1011.579454,-43.91114377,-134.6067081
1018.591388,-43.65284919,-135.2794198
