Time (s),Channel 1 (V),Channel 2 (V)
-0.023772638,-1.000883376,0.003339586
-0.023766388,-1.001214514,0.003005707
-0.023760138,-1.001214514,0.003339586
-0.023753888,-1.001214514,0.003673466
-0.023747638,-1.001214514,0.003339586
-0.023741388,-1.001214514,0.003673466
-0.023735138,-1.001545652,0.003339586
-0.023728888,-1.000883376,0.003339586
-0.023722638,-1.001214514,0.003339586
-0.023716388,-1.001545652,0.003673466
-0.023710138,-1.001545652,0.003339586
-0.023703888,-1.000883376,0.003339586
-0.023697638,-1.00187679,0.003673466
-0.023691388,-1.001545652,0.003339586
-0.023685138,-1.001214514,0.003339586
-0.023678888,-1.001214514,0.003339586
-0.023672638,-1.001545652,0.003339586
-0.023666388,-1.001545652,0.003005707
-0.023660138,-1.001214514,0.003339586
-0.023653888,-1.001214514,0.003005707
-0.023647638,-1.001214514,0.003005707
-0.023641388,-1.000883376,0.003005707
-0.023635138,-1.001214514,0.003005707
-0.023628888,-1.001545652,0.003005707
-0.023622638,-1.001545652,0.003005707
-0.023616388,-1.001545652,0.003005707
-0.023610138,-1.001214514,0.003005707
-0.023603888,-1.001545652,0.003005707
-0.023597638,-1.001214514,0.002671827
-0.023591388,-1.000883376,0.002671827
-0.023585138,-1.000883376,0.003005707
-0.023578888,-1.001214514,0.002671827
-0.023572638,-1.001214514,0.002671827
-0.023566388,-1.001214514,0.002337948
-0.023560138,-1.001214514,0.002671827
-0.023553888,-1.000883376,0.002671827
-0.023547638,-1.001214514,0.003005707
-0.023541388,-1.000883376,0.002671827
-0.023535138,-1.001214514,0.002671827
-0.023528888,-1.001545652,0.002671827
-0.023522638,-1.000883376,0.002671827
-0.023516388,-1.000883376,0.002337948
-0.023510138,-1.001545652,0.002337948
-0.023503888,-1.001214514,0.002004069
-0.023497638,-1.000883376,0.002337948
-0.023491388,-1.001214514,0.002004069
-0.023485138,-1.001214514,0.002004069
-0.023478888,-1.001214514,0.002337948
-0.023472638,-1.001214514,0.002004069
-0.023466388,-1.000883376,0.002337948
-0.023460138,-1.001214514,0.001670189
-0.023453888,-1.000883376,0.002004069
-0.023447638,-1.001214514,0.002004069
-0.023441388,-1.001214514,0.002337948
-0.023435138,-1.001214514,0.002337948
-0.023428888,-1.000883376,0.002337948
-0.023422638,-1.001214514,0.002004069
-0.023416388,-1.001214514,0.002004069
-0.023410138,-1.001214514,0.002337948
-0.023403888,-1.000883376,0.002671827
-0.023397638,-1.001214514,0.002337948
-0.023391388,-1.001214514,0.002671827
-0.023385138,-1.000883376,0.002671827
-0.023378888,-1.001214514,0.002337948
-0.023372638,-1.000883376,0.002004069
-0.023366388,-1.000883376,0.002671827
-0.023360138,-1.001545652,0.002671827
-0.023353888,-1.001214514,0.002671827
-0.023347638,-1.001545652,0.002671827
-0.023341388,-1.001214514,0.003005707
-0.023335138,-1.001214514,0.003005707
-0.023328888,-1.000883376,0.003005707
-0.023322638,-1.001545652,0.003005707
-0.023316388,-1.001545652,0.003005707
-0.023310138,-1.001545652,0.002671827
-0.023303888,-1.001545652,0.002671827
-0.023297638,-1.001545652,0.003005707
-0.023291388,-1.001214514,0.002671827
-0.023285138,-1.001214514,0.002671827
-0.023278888,-1.001545652,0.003005707
-0.023272638,-1.001214514,0.003005707
-0.023266388,-1.001214514,0.002671827
-0.023260138,-1.000883376,0.002671827
-0.023253888,-1.001214514,0.002671827
-0.023247638,-1.001214514,0.002671827
-0.023241388,-1.000883376,0.002671827
-0.023235138,-1.001214514,0.002337948
-0.023228888,-1.001214514,0.002337948
-0.023222638,-1.001214514,0.002337948
-0.023216388,-1.000883376,0.002337948
-0.023210138,-1.001214514,0.002671827
-0.023203888,-1.000883376,0.003005707
-0.023197638,-1.000883376,0.003005707
-0.023191388,-1.001214514,0.003339586
-0.023185138,-1.001214514,0.003005707
-0.023178888,-1.001214514,0.003005707
-0.023172638,-1.001545652,0.003005707
-0.023166388,-1.001545652,0.003005707
-0.023160138,-1.001545652,0.003005707
-0.023153888,-1.001545652,0.003339586
-0.023147638,-1.001545652,0.003339586
-0.023141388,-1.001545652,0.003339586
-0.023135138,-1.001214514,0.003339586
-0.023128888,-1.001545652,0.004007345
-0.023122638,-1.001214514,0.003673466
-0.023116388,-1.001545652,0.003673466
-0.023110138,-1.001214514,0.003339586
-0.023103888,-1.000883376,0.003673466
-0.023097638,-1.001214514,0.003339586
-0.023091388,-1.001214514,0.003339586
-0.023085138,-1.001214514,0.003339586
-0.023078888,-1.001214514,0.003005707
-0.023072638,-1.001214514,0.003005707
-0.023066388,-1.001545652,0.002337948
-0.023060138,-1.001214514,0.002671827
-0.023053888,-1.000883376,0.002337948
-0.023047638,-1.001214514,0.002337948
-0.023041388,-1.001214514,0.002337948
-0.023035138,-1.000883376,0.002337948
-0.023028888,-1.001214514,0.002337948
-0.023022638,-1.001214514,0.002337948
-0.023016388,-1.001214514,0.002337948
-0.023010138,-1.000552238,0.002337948
-0.023003888,-1.001214514,0.002337948
-0.022997638,-1.001214514,0.002337948
-0.022991388,-1.001214514,0.002337948
-0.022985138,-1.001214514,0.002337948
-0.022978888,-1.000883376,0.002337948
-0.022972638,-1.001214514,0.002337948
-0.022966388,-1.000883376,0.002671827
-0.022960138,-1.000883376,0.002337948
-0.022953888,-1.001214514,0.002337948
-0.022947638,-1.000883376,0.003005707
-0.022941388,-1.000552238,0.002671827
-0.022935138,-1.001214514,0.002671827
-0.022928888,-1.000883376,0.002671827
-0.022922638,-1.000883376,0.002671827
-0.022916388,-1.000883376,0.002671827
-0.022910138,-1.000552238,0.003005707
-0.022903888,-1.001214514,0.002671827
-0.022897638,-1.001214514,0.002671827
-0.022891388,-1.000883376,0.002671827
-0.022885138,-1.001214514,0.002671827
-0.022878888,-1.000883376,0.003005707
-0.022872638,-1.000883376,0.003339586
-0.022866388,-1.001214514,0.003005707
-0.022860138,-1.001545652,0.003005707
-0.022853888,-1.001214514,0.003339586
-0.022847638,-1.001214514,0.003005707
-0.022841388,-1.001545652,0.003339586
-0.022835138,-1.001545652,0.003005707
-0.022828888,-1.001214514,0.003005707
-0.022822638,-1.001545652,0.003339586
-0.022816388,-1.001545652,0.003005707
-0.022810138,-1.001545652,0.002671827
-0.022803888,-1.001545652,0.003005707
-0.022797638,-1.001545652,0.003005707
-0.022791388,-1.001545652,0.003005707
-0.022785138,-1.001545652,0.003005707
-0.022778888,-1.001214514,0.002671827
-0.022772638,-1.001545652,0.002671827
-0.022766388,-1.00187679,0.003005707
-0.022760138,-1.001214514,0.002671827
-0.022753888,-1.001214514,0.002337948
-0.022747638,-1.001214514,0.002337948
-0.022741388,-1.001214514,0.002004069
-0.022735138,-1.000883376,0.002004069
-0.022728888,-1.001214514,0.002004069
-0.022722638,-1.001214514,0.002337948
-0.022716388,-1.001545652,0.002004069
-0.022710138,-1.001214514,0.001670189
-0.022703888,-1.000552238,0.002337948
-0.022697638,-1.000883376,0.002337948
-0.022691388,-1.001214514,0.002004069
-0.022685138,-1.000883376,0.002004069
-0.022678888,-1.001214514,0.002337948
-0.022672638,-1.001545652,0.002004069
-0.022666388,-1.000883376,0.002004069
-0.022660138,-1.001545652,0.002337948
-0.022653888,-1.001214514,0.002004069
-0.022647638,-1.001214514,0.002337948
-0.022641388,-1.000883376,0.002337948
-0.022635138,-1.001545652,0.002337948
-0.022628888,-1.001545652,0.002671827
-0.022622638,-1.000883376,0.002671827
-0.022616388,-1.000883376,0.002671827
-0.022610138,-1.001214514,0.002671827
-0.022603888,-1.001545652,0.002671827
-0.022597638,-1.001214514,0.003005707
-0.022591388,-1.001214514,0.002671827
-0.022585138,-1.001545652,0.003005707
-0.022578888,-1.001214514,0.003005707
-0.022572638,-1.001545652,0.003339586
-0.022566388,-1.001214514,0.003005707
-0.022560138,-1.00187679,0.003339586
-0.022553888,-1.001214514,0.003005707
-0.022547638,-1.000883376,0.003005707
-0.022541388,-1.001545652,0.003339586
-0.022535138,-1.001545652,0.003339586
-0.022528888,-1.001545652,0.003005707
-0.022522638,-1.001545652,0.003339586
-0.022516388,-1.001545652,0.003339586
-0.022510138,-1.001545652,0.003673466
-0.022503888,-1.000883376,0.003673466
-0.022497638,-1.001214514,0.003339586
-0.022491388,-1.001545652,0.003005707
-0.022485138,-1.001214514,0.003339586
-0.022478888,-1.001214514,0.003005707
-0.022472638,-1.001214514,0.003005707
-0.022466388,-1.001214514,0.003005707
-0.022460138,-1.000883376,0.003005707
-0.022453888,-1.000883376,0.002671827
-0.022447638,-1.001545652,0.002671827
-0.022441388,-1.001214514,0.002671827
-0.022435138,-1.000552238,0.002337948
-0.022428888,-1.000883376,0.002671827
-0.022422638,-1.001214514,0.002671827
-0.022416388,-1.001214514,0.002337948
-0.022410138,-1.000883376,0.002671827
-0.022403888,-1.001214514,0.002337948
-0.022397638,-1.001214514,0.002337948
-0.022391388,-1.001214514,0.002337948
-0.022385138,-1.000883376,0.002337948
-0.022378888,-1.001214514,0.002337948
-0.022372638,-1.000883376,0.002337948
-0.022366388,-1.000552238,0.002337948
-0.022360138,-1.000883376,0.002004069
-0.022353888,-1.000883376,0.002004069
-0.022347638,-1.000883376,0.002337948
-0.022341388,-1.000552238,0.002337948
-0.022335138,-1.001214514,0.002337948
-0.022328888,-1.001214514,0.002337948
-0.022322638,-1.001214514,0.002671827
-0.022316388,-1.000552238,0.002337948
-0.022310138,-1.000883376,0.002004069
