Freq.	V(vin_6)
Step Information: Run=1  (Run: 1/20)
1.00000000000000e+002	(-1.45961195709493e+002dB,1.05121346323983e+002°)
1.02329299228075e+002	(-1.44989001693516e+002dB,1.04643608423280e+002°)
1.04712854805090e+002	(-1.44015579636744e+002dB,1.04169518405532e+002°)
1.07151930523761e+002	(-1.43040963721493e+002dB,1.03699053078887e+002°)
1.09647819614318e+002	(-1.42065187212771e+002dB,1.03232179832034e+002°)
1.12201845430196e+002	(-1.41088282419207e+002dB,1.02768857004068e+002°)
1.14815362149688e+002	(-1.40110280665058e+002dB,1.02309034256376e+002°)
1.17489755493953e+002	(-1.39131212259104e+002dB,1.01852652933536e+002°)
1.20226443461741e+002	(-1.38151106471410e+002dB,1.01399646419995e+002°)
1.23026877081238e+002	(-1.37169991509140e+002dB,1.00949940482141e+002°)
1.25892541179417e+002	(-1.36187894497855e+002dB,1.00503453610488e+002°)
1.28824955169313e+002	(-1.35204841463670e+002dB,1.00060097339149e+002°)
1.31825673855641e+002	(-1.34220857317861e+002dB,9.96197765620246e+001°)
1.34896288259165e+002	(-1.33235965843827e+002dB,9.91823898344306e+001°)
1.38038426460288e+002	(-1.32250189685252e+002dB,9.87478296597193e+001°)
1.41253754462275e+002	(-1.31263550336024e+002dB,9.83159827638189e+001°)
1.44543977074593e+002	(-1.30276068131463e+002dB,9.78867303551634e+001°)
1.47910838816821e+002	(-1.29287762240538e+002dB,9.74599483713994e+001°)
1.51356124843621e+002	(-1.28298650658812e+002dB,9.70355077096435e+001°)
1.54881661891248e+002	(-1.27308750201971e+002dB,9.66132744436949e+001°)
1.58489319246111e+002	(-1.26318076500433e+002dB,9.61931100256130e+001°)
1.62181009735893e+002	(-1.25326643993446e+002dB,9.57748714720480e+001°)
1.65958690743756e+002	(-1.24334465923408e+002dB,9.53584115356772e+001°)
1.69824365246174e+002	(-1.23341554330584e+002dB,9.49435788630967e+001°)
1.73780082874937e+002	(-1.22347920046701e+002dB,9.45302181354852e+001°)
1.77827941003892e+002	(-1.21353572689064e+002dB,9.41181701966668e+001°)
1.81970085860998e+002	(-1.20358520652893e+002dB,9.37072721645573e+001°)
1.86208713666287e+002	(-1.19362771104133e+002dB,9.32973575299790e+001°)
1.90546071796324e+002	(-1.18366329970059e+002dB,9.28882562386280e+001°)
1.94984459975804e+002	(-1.17369201929935e+002dB,9.24797947609369e+001°)
1.99526231496888e+002	(-1.16371390403405e+002dB,9.20717961460951e+001°)
2.04173794466953e+002	(-1.15372897538320e+002dB,9.16640800625104e+001°)
2.08929613085404e+002	(-1.14373724196458e+002dB,9.12564628237668e+001°)
2.13796208950223e+002	(-1.13373869937633e+002dB,9.08487574007991e+001°)
2.18776162394955e+002	(-1.12373333002305e+002dB,9.04407734200398e+001°)
2.23872113856834e+002	(-1.11372110291830e+002dB,9.00323171472039e+001°)
2.29086765276777e+002	(-1.10370197346543e+002dB,8.96231914567158e+001°)
2.34422881531992e+002	(-1.09367588321847e+002dB,8.92131957880868e+001°)
2.39883291901949e+002	(-1.08364275961710e+002dB,8.88021260867309e+001°)
2.45470891568503e+002	(-1.07360251569407e+002dB,8.83897747309520e+001°)
2.51188643150958e+002	(-1.06355504975757e+002dB,8.79759304442365e+001°)
2.57039578276886e+002	(-1.05350024504100e+002dB,8.75603781923380e+001°)
2.63026799189538e+002	(-1.04343796932489e+002dB,8.71428990655995e+001°)
2.69153480392691e+002	(-1.03336807452405e+002dB,8.67232701449894e+001°)
2.75422870333816e+002	(-1.02329039623886e+002dB,8.63012643524045e+001°)
2.81838293126445e+002	(-1.01320475327199e+002dB,8.58766502842994e+001°)
2.88403150312660e+002	(-1.00311094710299e+002dB,8.54491920278039e+001°)
2.95120922666638e+002	(-9.93008761323973e+001dB,8.50186489590048e+001°)
3.01995172040201e+002	(-9.82897961029752e+001dB,8.45847755222692e+001°)
3.09029543251358e+002	(-9.72778292161808e+001dB,8.41473209898876e+001°)
3.16227766016837e+002	(-9.62649480802908e+001dB,8.37060292009103e+001°)
3.23593656929628e+002	(-9.52511232418987e+001dB,8.32606382778141e+001°)
3.31131121482590e+002	(-9.42363231045857e+001dB,8.28108803202397e+001°)
3.38844156139202e+002	(-9.32205138416485e+001dB,8.23564810735952e+001°)
3.46736850452531e+002	(-9.22036593024559e+001dB,8.18971595714330e+001°)
3.54813389233575e+002	(-9.11857209122975e+001dB,8.14326277496450e+001°)
3.63078054770101e+002	(-9.01666575648430e+001dB,8.09625900303265e+001°)
3.71535229097172e+002	(-8.91464255071627e+001dB,8.04867428731268e+001°)
3.80189396320560e+002	(-8.81249782165319e+001dB,8.00047742916475e+001°)
3.89045144994280e+002	(-8.71022662685218e+001dB,7.95163633320185e+001°)
3.98107170553496e+002	(-8.60782371957698e+001dB,7.90211795105793e+001°)
4.07380277804112e+002	(-8.50528353367511e+001dB,7.85188822071968e+001°)
4.16869383470335e+002	(-8.40260016738086e+001dB,7.80091200105102e+001°)
4.26579518801592e+002	(-8.29976736597107e+001dB,7.74915300106435e+001°)
4.36515832240165e+002	(-8.19677850316398e+001dB,7.69657370348495e+001°)
4.46683592150962e+002	(-8.09362656119946e+001dB,7.64313528206715e+001°)
4.57088189614874e+002	(-7.99030410945904e+001dB,7.58879751207336e+001°)
4.67735141287197e+002	(-7.88680328153765e+001dB,7.53351867326968e+001°)
4.78630092322637e+002	(-7.78311575061623e+001dB,7.47725544467189e+001°)
4.89778819368445e+002	(-7.67923270301846e+001dB,7.41996279025952e+001°)
5.01187233627271e+002	(-7.57514480976490e+001dB,7.36159383468506e+001°)
5.12861383991364e+002	(-7.47084219598478e+001dB,7.30209972797290e+001°)
5.24807460249771e+002	(-7.36631440797107e+001dB,7.24142949801902e+001°)
5.37031796370251e+002	(-7.26155037767089e+001dB,7.17952988957085e+001°)
5.49540873857623e+002	(-7.15653838438796e+001dB,7.11634518820376e+001°)
5.62341325190348e+002	(-7.05126601341891e+001dB,7.05181702759002e+001°)
5.75439937337155e+002	(-6.94572011134076e+001dB,6.98588417815331e+001°)
5.88843655355587e+002	(-6.83988673761841e+001dB,6.91848231492761e+001°)
6.02559586074356e+002	(-6.73375111216991e+001dB,6.84954376212236e+001°)
6.16595001861481e+002	(-6.62729755847521e+001dB,6.77899721157479e+001°)
6.30957344480192e+002	(-6.52050944177517e+001dB,6.70676741180888e+001°)
6.45654229034654e+002	(-6.41336910183121e+001dB,6.63277482399585e+001°)
6.60693448007594e+002	(-6.30585777967344e+001dB,6.55693524048059e+001°)
6.76082975391980e+002	(-6.19795553766806e+001dB,6.47915936092135e+001°)
6.91830970918935e+002	(-6.08964117216193e+001dB,6.39935232027815e+001°)
7.07945784384136e+002	(-5.98089211784739e+001dB,6.31741316194262e+001°)
7.24435960074988e+002	(-5.87168434289472e+001dB,6.23323424820890e+001°)
7.41310241300916e+002	(-5.76199223373914e+001dB,6.14670059893500e+001°)
7.58577575029182e+002	(-5.65178846827326e+001dB,6.05768914765737e+001°)
7.76247116628690e+002	(-5.54104387600597e+001dB,5.96606790249239e+001°)
7.94328234724279e+002	(-5.42972728353463e+001dB,5.87169499683069e+001°)
8.12830516164097e+002	(-5.31780534343723e+001dB,5.77441761200171e+001°)
8.31763771102669e+002	(-5.20524234439331e+001dB,5.67407075061980e+001°)
8.51138038202374e+002	(-5.09200000002007e+001dB,5.57047583508367e+001°)
8.70963589956078e+002	(-4.97803721349583e+001dB,5.46343910045221e+001°)
8.91250938133743e+002	(-4.86330981460045e+001dB,5.35274974442646e+001°)
9.12010839355907e+002	(-4.74777026524680e+001dB,5.23817778904158e+001°)
9.33254300796988e+002	(-4.63136732895924e+001dB,5.11947159848765e+001°)
9.54992586021433e+002	(-4.51404569901232e+001dB,4.99635498461500e+001°)
9.77237220955808e+002	(-4.39574557909679e+001dB,4.86852381532060e+001°)
9.99999999999997e+002	(-4.27640220940748e+001dB,4.73564202008537e+001°)
1.02329299228075e+003	(-4.15594532993844e+001dB,4.59733685996608e+001°)
1.04712854805090e+003	(-4.03429857154588e+001dB,4.45319329435885e+001°)
1.07151930523760e+003	(-3.91137876402497e+001dB,4.30274723110706e+001°)
1.09647819614318e+003	(-3.78709514911226e+001dB,4.14547738625555e+001°)
1.12201845430196e+003	(-3.66134848512813e+001dB,3.98079539976584e+001°)
1.14815362149688e+003	(-3.53403002918948e+001dB,3.80803374640507e+001°)
1.17489755493953e+003	(-3.40502038305770e+001dB,3.62643083656173e+001°)
1.20226443461741e+003	(-3.27418819064351e+001dB,3.43511250519165e+001°)
1.23026877081238e+003	(-3.14138868055049e+001dB,3.23306881765619e+001°)
1.25892541179416e+003	(-3.00646205855784e+001dB,3.01912474886401e+001°)
1.28824955169313e+003	(-2.86923177747138e+001dB,2.79190277421374e+001°)
1.31825673855640e+003	(-2.72950275377591e+001dB,2.54977468607600e+001°)
1.34896288259165e+003	(-2.58705967700211e+001dB,2.29079893193431e+001°)
1.38038426460288e+003	(-2.44166569525288e+001dB,2.01263834119669e+001°)
1.41253754462275e+003	(-2.29306200654270e+001dB,1.71245111259760e+001°)
1.44543977074592e+003	(-2.14096932616060e+001dB,1.38674519536204e+001°)
1.47910838816820e+003	(-1.98509299007733e+001dB,1.03118257733344e+001°)
1.51356124843620e+003	(-1.82513487290658e+001dB,6.40315601555489e+000°)
1.54881661891248e+003	(-1.66081784384638e+001dB,2.07233207880784e+000°)
1.58489319246111e+003	(-1.49193301081005e+001dB,-2.76905761289191e+000°)
1.62181009735892e+003	(-1.31842785698933e+001dB,-8.23462854533951e+000°)
1.65958690743755e+003	(-1.14056619709107e+001dB,-1.44699483336111e+001°)
1.69824365246174e+003	(-9.59208837949048e+000dB,-2.16582881743519e+001°)
1.73780082874937e+003	(-7.76278341998904e+000dB,-3.00199612925990e+001°)
1.77827941003892e+003	(-5.95443512544023e+000dB,-3.97925332812041e+001°)
1.81970085860998e+003	(-4.22880434106661e+000dB,-5.11689948927268e+001°)
1.86208713666286e+003	(-2.67478282155433e+000dB,-6.41717354769777e+001°)
1.90546071796324e+003	(-1.39248275697345e+000dB,-7.84906366585475e+001°)
1.94984459975804e+003	(-4.53090558458779e-001dB,-9.34268114845154e+001°)
1.99526231496887e+003	(1.41570335550333e-001dB,-1.08099561269401e+002°)
2.04173794466952e+003	(4.58805925682997e-001dB,-1.21810764596163e+002°)
2.08929613085403e+003	(5.94400475936884e-001dB,-1.34249327883202e+002°)
2.13796208950222e+003	(6.32618437630675e-001dB,-1.45432817895113e+002°)
2.18776162394954e+003	(6.30518534209847e-001dB,-1.55544928185574e+002°)
2.23872113856833e+003	(6.20163512729333e-001dB,-1.64809449011417e+002°)
2.29086765276776e+003	(6.16342954773015e-001dB,-1.73428413135404e+002°)
2.34422881531991e+003	(6.23545185506044e-001dB,1.78437765954002e+002°)
2.39883291901948e+003	(6.40763334012247e-001dB,1.70670869905364e+002°)
2.45470891568502e+003	(6.64479712139242e-001dB,1.63188698712939e+002°)
2.51188643150957e+003	(6.90436272485300e-001dB,1.55937466886813e+002°)
2.57039578276885e+003	(7.14649556581126e-001dB,1.48884628815352e+002°)
2.63026799189537e+003	(7.33952731133818e-001dB,1.42012637305274e+002°)
2.69153480392690e+003	(7.46229598437498e-001dB,1.35313715908917e+002°)
2.75422870333815e+003	(7.50441595493873e-001dB,1.28785633698988e+002°)
2.81838293126444e+003	(7.46518278428834e-001dB,1.22428457014035e+002°)
2.88403150312659e+003	(7.35167070534900e-001dB,1.16242230477787e+002°)
2.95120922666637e+003	(7.17648117066016e-001dB,1.10225498570105e+002°)
3.01995172040200e+003	(6.95549929521394e-001dB,1.04374535372407e+002°)
3.09029543251358e+003	(6.70590295778526e-001dB,9.86831214608834e+001°)
3.16227766016836e+003	(6.44455917840751e-001dB,9.31427015902877e+001°)
3.23593656929627e+003	(6.18684982980914e-001dB,8.77427729240678e+001°)
3.31131121482590e+003	(5.94590320540784e-001dB,8.24713832285461e+001°)
3.38844156139201e+003	(5.73217058062364e-001dB,7.73156526227290e+001°)
3.46736850452530e+003	(5.55327278898938e-001dB,7.22622641901172e+001°)
3.54813389233574e+003	(5.41404361188633e-001dB,6.72978941706680e+001°)
3.63078054770100e+003	(5.31670732462754e-001dB,6.24095704476908e+001°)
3.71535229097171e+003	(5.26114157387054e-001dB,5.75849592666978e+001°)
3.80189396320559e+003	(5.24519036138594e-001dB,5.28125860203002e+001°)
3.89045144994279e+003	(5.26500341295601e-001dB,4.80819981074826e+001°)
3.98107170553495e+003	(5.31538691173063e-001dB,4.33838777361637e+001°)
4.07380277804111e+003	(5.39015646123556e-001dB,3.87101111775442e+001°)
4.16869383470333e+003	(5.48248656288107e-001dB,3.40538191818799e+001°)
4.26579518801591e+003	(5.58525234797435e-001dB,2.94093515534539e+001°)
4.36515832240164e+003	(5.69135933887984e-001dB,2.47722475858570e+001°)
4.46683592150961e+003	(5.79405616658891e-001dB,2.01391633607907e+001°)
4.57088189614873e+003	(5.88722394896770e-001dB,1.55077668779279e+001°)
4.67735141287196e+003	(5.96563489339255e-001dB,1.08766025753327e+001°)
4.78630092322636e+003	(6.02517200924013e-001dB,6.24492789582867e+000°)
4.89778819368444e+003	(6.06300187557749e-001dB,1.61252596023722e+000°)
5.01187233627270e+003	(6.07769334146141e-001dB,-3.02050011907594e+000°)
5.12861383991362e+003	(6.06927681882986e-001dB,-7.65394446441842e+000°)
