Freq.	V(vin_4)
1.00000000000000e+002	(-5.13502268320811e+001dB,-7.33298710540425e-001°)
1.02329299228075e+002	(-5.09491472537284e+001dB,-7.47914814336035e-001°)
1.04712854805090e+002	(-5.05480166436882e+001dB,-7.62935628347684e-001°)
1.07151930523761e+002	(-5.01468325844739e+001dB,-7.78369703527645e-001°)
1.09647819614318e+002	(-4.97455925433534e+001dB,-7.94225852292563e-001°)
1.12201845430196e+002	(-4.93442938668006e+001dB,-8.10513156315263e-001°)
1.14815362149688e+002	(-4.89429337746611e+001dB,-8.27240974631039e-001°)
1.17489755493953e+002	(-4.85415093540495e+001dB,-8.44418952176156e-001°)
1.20226443461741e+002	(-4.81400175529126e+001dB,-8.62057028675709e-001°)
1.23026877081238e+002	(-4.77384551733084e+001dB,-8.80165448024686e-001°)
1.25892541179417e+002	(-4.73368188643276e+001dB,-8.98754768173804e-001°)
1.28824955169313e+002	(-4.69351051146701e+001dB,-9.17835871337622e-001°)
1.31825673855641e+002	(-4.65333102448468e+001dB,-9.37419974962921e-001°)
1.34896288259165e+002	(-4.61314303989955e+001dB,-9.57518643047264e-001°)
1.38038426460288e+002	(-4.57294615362867e+001dB,-9.78143798139326e-001°)
1.41253754462275e+002	(-4.53273994218854e+001dB,-9.99307733985189e-001°)
1.44543977074593e+002	(-4.49252396174681e+001dB,-1.02102312878995e+000°)
1.47910838816821e+002	(-4.45229774712533e+001dB,-1.04330305922555e+000°)
1.51356124843621e+002	(-4.41206081075259e+001dB,-1.06616101515464e+000°)
1.54881661891248e+002	(-4.37181264156278e+001dB,-1.08961091523462e+000°)
1.58489319246111e+002	(-4.33155270383829e+001dB,-1.11366712329750e+000°)
1.62181009735893e+002	(-4.29128043599261e+001dB,-1.13834446569164e+000°)
1.65958690743756e+002	(-4.25099524929126e+001dB,-1.16365824963479e+000°)
1.69824365246174e+002	(-4.21069652650527e+001dB,-1.18962428254620e+000°)
1.73780082874937e+002	(-4.17038362049570e+001dB,-1.21625889255810e+000°)
1.77827941003892e+002	(-4.13005585272326e+001dB,-1.24357895020919e+000°)
1.81970085860998e+002	(-4.08971251168045e+001dB,-1.27160189139617e+000°)
1.86208713666287e+002	(-4.04935285124132e+001dB,-1.30034574177176e+000°)
1.90546071796324e+002	(-4.00897608892270e+001dB,-1.32982914254609e+000°)
1.94984459975804e+002	(-3.96858140405404e+001dB,-1.36007137790923e+000°)
1.99526231496888e+002	(-3.92816793584900e+001dB,-1.39109240416231e+000°)
2.04173794466953e+002	(-3.88773478137312e+001dB,-1.42291288065947e+000°)
2.08929613085404e+002	(-3.84728099340207e+001dB,-1.45555420269605e+000°)
2.13796208950223e+002	(-3.80680557816267e+001dB,-1.48903853658063e+000°)
2.18776162394955e+002	(-3.76630749295168e+001dB,-1.52338885687759e+000°)
2.23872113856834e+002	(-3.72578564362193e+001dB,-1.55862898619480e+000°)
2.29086765276777e+002	(-3.68523888193067e+001dB,-1.59478363755237e+000°)
2.34422881531992e+002	(-3.64466600273922e+001dB,-1.63187845962280e+000°)
2.39883291901949e+002	(-3.60406574105579e+001dB,-1.66994008503119e+000°)
2.45470891568503e+002	(-3.56343676891090e+001dB,-1.70899618199218e+000°)
2.51188643150958e+002	(-3.52277769205546e+001dB,-1.74907550951716e+000°)
2.57039578276886e+002	(-3.48208704646889e+001dB,-1.79020797650511e+000°)
2.63026799189538e+002	(-3.44136329466553e+001dB,-1.83242470503967e+000°)
2.69153480392691e+002	(-3.40060482178615e+001dB,-1.87575809823729e+000°)
2.75422870333816e+002	(-3.35980993145944e+001dB,-1.92024191301507e+000°)
2.81838293126445e+002	(-3.31897684141832e+001dB,-1.96591133822801e+000°)
2.88403150312660e+002	(-3.27810367885465e+001dB,-2.01280307860582e+000°)
2.95120922666638e+002	(-3.23718847549318e+001dB,-2.06095544500939e+000°)
3.01995172040201e+002	(-3.19622916236602e+001dB,-2.11040845157303e+000°)
3.09029543251358e+002	(-3.15522356426567e+001dB,-2.16120392030459e+000°)
3.16227766016837e+002	(-3.11416939385401e+001dB,-2.21338559386372e+000°)
3.23593656929628e+002	(-3.07306424540165e+001dB,-2.26699925721582e+000°)
3.31131121482590e+002	(-3.03190558813080e+001dB,-2.32209286901412e+000°)
3.38844156139202e+002	(-2.99069075913181e+001dB,-2.37871670357988e+000°)
3.46736850452531e+002	(-2.94941695582099e+001dB,-2.43692350451591e+000°)
3.54813389233575e+002	(-2.90808122790490e+001dB,-2.49676865100953e+000°)
3.63078054770101e+002	(-2.86668046881220e+001dB,-2.55831033812372e+000°)
3.71535229097172e+002	(-2.82521140655119e+001dB,-2.62160977235408e+000°)
3.80189396320560e+002	(-2.78367059394754e+001dB,-2.68673138403427e+000°)
3.89045144994280e+002	(-2.74205439821128e+001dB,-2.75374305824044e+000°)
3.98107170553496e+002	(-2.70035898977818e+001dB,-2.82271638608660e+000°)
4.07380277804112e+002	(-2.65858033036501e+001dB,-2.89372693850787e+000°)
4.16869383470335e+002	(-2.61671416017188e+001dB,-2.96685456487788e+000°)
4.26579518801592e+002	(-2.57475598415833e+001dB,-3.04218371909626e+000°)
4.36515832240165e+002	(-2.53270105731261e+001dB,-3.11980381608410e+000°)
4.46683592150962e+002	(-2.49054436882442e+001dB,-3.19980962202603e+000°)
4.57088189614874e+002	(-2.44828062506312e+001dB,-3.28230168207047e+000°)
4.67735141287197e+002	(-2.40590423125149e+001dB,-3.36738678969100e+000°)
