Freq.	V(vin_5)
1.00000000000000e+002	(2.50374948392414e+001dB,1.78787628607813e+002°)
1.02329299228075e+002	(2.50375685746208e+001dB,1.78759374120702e+002°)
1.04712854805090e+002	(2.50376457830594e+001dB,1.78730460448451e+002°)
1.07151930523761e+002	(2.50377266280463e+001dB,1.78700872161299e+002°)
1.09647819614318e+002	(2.50378112807566e+001dB,1.78670593464683e+002°)
1.12201845430196e+002	(2.50378999204129e+001dB,1.78639608190363e+002°)
1.14815362149688e+002	(2.50379927346615e+001dB,1.78607899787299e+002°)
1.17489755493953e+002	(2.50380899199685e+001dB,1.78575451312293e+002°)
1.20226443461741e+002	(2.50381916820318e+001dB,1.78542245420379e+002°)
1.23026877081238e+002	(2.50382982362146e+001dB,1.78508264354957e+002°)
1.25892541179417e+002	(2.50384098079976e+001dB,1.78473489937658e+002°)
1.28824955169313e+002	(2.50385266334527e+001dB,1.78437903557935e+002°)
1.31825673855641e+002	(2.50386489597391e+001dB,1.78401486162375e+002°)
1.34896288259165e+002	(2.50387770456215e+001dB,1.78364218243704e+002°)
1.38038426460288e+002	(2.50389111620136e+001dB,1.78326079829503e+002°)
1.41253754462275e+002	(2.50390515925458e+001dB,1.78287050470598e+002°)
1.44543977074593e+002	(2.50391986341594e+001dB,1.78247109229134e+002°)
1.47910838816821e+002	(2.50393525977290e+001dB,1.78206234666302e+002°)
1.51356124843621e+002	(2.50395138087129e+001dB,1.78164404829725e+002°)
1.54881661891248e+002	(2.50396826078338e+001dB,1.78121597240478e+002°)
1.58489319246111e+002	(2.50398593517912e+001dB,1.78077788879733e+002°)
1.62181009735893e+002	(2.50400444140068e+001dB,1.78032956175020e+002°)
1.65958690743756e+002	(2.50402381854036e+001dB,1.77987074986072e+002°)
1.69824365246174e+002	(2.50404410752210e+001dB,1.77940120590267e+002°)
1.73780082874937e+002	(2.50406535118686e+001dB,1.77892067667620e+002°)
1.77827941003892e+002	(2.50408759438174e+001dB,1.77842890285334e+002°)
1.81970085860998e+002	(2.50411088405334e+001dB,1.77792561881870e+002°)
1.86208713666287e+002	(2.50413526934530e+001dB,1.77741055250538e+002°)
1.90546071796324e+002	(2.50416080170035e+001dB,1.77688342522571e+002°)
1.94984459975804e+002	(2.50418753496705e+001dB,1.77634395149672e+002°)
1.99526231496888e+002	(2.50421552551134e+001dB,1.77579183886012e+002°)
2.04173794466953e+002	(2.50424483233319e+001dB,1.77522678769642e+002°)
2.08929613085404e+002	(2.50427551718858e+001dB,1.77464849103319e+002°)
2.13796208950223e+002	(2.50430764471700e+001dB,1.77405663434691e+002°)
2.18776162394955e+002	(2.50434128257474e+001dB,1.77345089535843e+002°)
2.23872113856834e+002	(2.50437650157413e+001dB,1.77283094382146e+002°)
2.29086765276777e+002	(2.50441337582923e+001dB,1.77219644130402e+002°)
2.34422881531992e+002	(2.50445198290789e+001dB,1.77154704096237e+002°)
2.39883291901949e+002	(2.50449240399075e+001dB,1.77088238730721e+002°)
2.45470891568503e+002	(2.50453472403734e+001dB,1.77020211596160e+002°)
2.51188643150958e+002	(2.50457903195959e+001dB,1.76950585341041e+002°)
2.57039578276886e+002	(2.50462542080308e+001dB,1.76879321674076e+002°)
2.63026799189538e+002	(2.50467398793634e+001dB,1.76806381337306e+002°)
2.69153480392691e+002	(2.50472483524851e+001dB,1.76731724078219e+002°)
2.75422870333816e+002	(2.50477806935575e+001dB,1.76655308620836e+002°)
2.81838293126445e+002	(2.50483380181674e+001dB,1.76577092635699e+002°)
2.88403150312660e+002	(2.50489214935754e+001dB,1.76497032708731e+002°)
2.95120922666638e+002	(2.50495323410639e+001dB,1.76415084308881e+002°)
3.01995172040201e+002	(2.50501718383855e+001dB,1.76331201754515e+002°)
3.09029543251358e+002	(2.50508413223190e+001dB,1.76245338178471e+002°)
3.16227766016837e+002	(2.50515421913341e+001dB,1.76157445491713e+002°)
3.23593656929628e+002	(2.50522759083707e+001dB,1.76067474345517e+002°)
3.31131121482590e+002	(2.50530440037367e+001dB,1.75975374092087e+002°)
3.38844156139202e+002	(2.50538480781282e+001dB,1.75881092743547e+002°)
3.46736850452531e+002	(2.50546898057765e+001dB,1.75784576929182e+002°)
3.54813389233575e+002	(2.50555709377279e+001dB,1.75685771850869e+002°)
3.63078054770101e+002	(2.50564933052576e+001dB,1.75584621236563e+002°)
3.71535229097172e+002	(2.50574588234261e+001dB,1.75481067291747e+002°)
3.80189396320560e+002	(2.50584694947791e+001dB,1.75375050648721e+002°)
3.89045144994280e+002	(2.50595274131991e+001dB,1.75266510313609e+002°)
3.98107170553496e+002	(2.50606347679091e+001dB,1.75155383610950e+002°)
4.07380277804112e+002	(2.50617938476374e+001dB,1.75041606125718e+002°)
4.16869383470335e+002	(2.50630070449441e+001dB,1.74925111642647e+002°)
4.26579518801592e+002	(2.50642768607162e+001dB,1.74805832082667e+002°)
4.36515832240165e+002	(2.50656059088348e+001dB,1.74683697436294e+002°)
4.46683592150962e+002	(2.50669969210173e+001dB,1.74558635693794e+002°)
4.57088189614874e+002	(2.50684527518411e+001dB,1.74430572771901e+002°)
4.67735141287197e+002	(2.50699763839486e+001dB,1.74299432436901e+002°)
4.78630092322637e+002	(2.50715709334410e+001dB,1.74165136223837e+002°)
4.89778819368445e+002	(2.50732396554591e+001dB,1.74027603351605e+002°)
5.01187233627271e+002	(2.50749859499577e+001dB,1.73886750633668e+002°)
5.12861383991364e+002	(2.50768133676720e+001dB,1.73742492384124e+002°)
5.24807460249771e+002	(2.50787256162781e+001dB,1.73594740318821e+002°)
5.37031796370251e+002	(2.50807265667484e+001dB,1.73443403451203e+002°)
5.49540873857623e+002	(2.50828202598994e+001dB,1.73288387982547e+002°)
5.62341325190348e+002	(2.50850109131325e+001dB,1.73129597186225e+002°)
5.75439937337155e+002	(2.50873029273604e+001dB,1.72966931285597e+002°)
5.88843655355587e+002	(2.50897008941200e+001dB,1.72800287325119e+002°)
6.02559586074356e+002	(2.50922096028592e+001dB,1.72629559034219e+002°)
6.16595001861481e+002	(2.50948340483948e+001dB,1.72454636683446e+002°)
6.30957344480192e+002	(2.50975794385264e+001dB,1.72275406932401e+002°)
6.45654229034654e+002	(2.51004512017965e+001dB,1.72091752668862e+002°)
6.60693448007594e+002	(2.51034549953780e+001dB,1.71903552838548e+002°)
6.76082975391980e+002	(2.51065967130722e+001dB,1.71710682264852e+002°)
6.91830970918935e+002	(2.51098824933920e+001dB,1.71513011457879e+002°)
7.07945784384136e+002	(2.51133187277045e+001dB,1.71310406412063e+002°)
7.24435960074988e+002	(2.51169120684002e+001dB,1.71102728391553e+002°)
7.41310241300916e+002	(2.51206694370504e+001dB,1.70889833702556e+002°)
7.58577575029182e+002	(2.51245980325103e+001dB,1.70671573451716e+002°)
7.76247116628690e+002	(2.51287053389161e+001dB,1.70447793289567e+002°)
7.94328234724279e+002	(2.51329991335167e+001dB,1.70218333138022e+002°)
8.12830516164097e+002	(2.51374874942735e+001dB,1.69983026900787e+002°)
8.31763771102669e+002	(2.51421788071487e+001dB,1.69741702155507e+002°)
8.51138038202374e+002	(2.51470817729945e+001dB,1.69494179826363e+002°)
8.70963589956078e+002	(2.51522054139381e+001dB,1.69240273835752e+002°)
8.91250938133743e+002	(2.51575590791480e+001dB,1.68979790733587e+002°)
9.12010839355907e+002	(2.51631524498461e+001dB,1.68712529302638e+002°)
9.33254300796988e+002	(2.51689955434138e+001dB,1.68438280138240e+002°)
9.54992586021433e+002	(2.51750987164184e+001dB,1.68156825200566e+002°)
9.77237220955808e+002	(2.51814726663619e+001dB,1.67867937337538e+002°)
9.99999999999997e+002	(2.51881284319286e+001dB,1.67571379776338e+002°)
1.02329299228075e+003	(2.51950773914752e+001dB,1.67266905581298e+002°)
1.04712854805090e+003	(2.52023312594757e+001dB,1.66954257075864e+002°)
1.07151930523760e+003	(2.52099020805913e+001dB,1.66633165226125e+002°)
1.09647819614318e+003	(2.52178022209941e+001dB,1.66303348983257e+002°)
1.12201845430196e+003	(2.52260443565227e+001dB,1.65964514582095e+002°)
1.14815362149688e+003	(2.52346414571920e+001dB,1.65616354792825e+002°)
1.17489755493953e+003	(2.52436067675167e+001dB,1.65258548122677e+002°)
1.20226443461741e+003	(2.52529537820349e+001dB,1.64890757964277e+002°)
1.23026877081238e+003	(2.52626962153422e+001dB,1.64512631687189e+002°)
1.25892541179416e+003	(2.52728479658484e+001dB,1.64123799668977e+002°)
1.28824955169313e+003	(2.52834230723739e+001dB,1.63723874261996e+002°)
1.31825673855640e+003	(2.52944356625829e+001dB,1.63312448691954e+002°)
1.34896288259165e+003	(2.53058998921199e+001dB,1.62889095884178e+002°)
1.38038426460288e+003	(2.53178298731711e+001dB,1.62453367213436e+002°)
1.41253754462275e+003	(2.53302395910055e+001dB,1.62004791173106e+002°)
1.44543977074592e+003	(2.53431428068635e+001dB,1.61542871959496e+002°)
1.47910838816820e+003	(2.53565529453534e+001dB,1.61067087967191e+002°)
1.51356124843620e+003	(2.53704829642776e+001dB,1.60576890191472e+002°)
1.54881661891248e+003	(2.53849452045512e+001dB,1.60071700534132e+002°)
1.58489319246111e+003	(2.53999512175755e+001dB,1.59550910009424e+002°)
1.62181009735892e+003	(2.54155115671027e+001dB,1.59013876847507e+002°)
1.65958690743755e+003	(2.54316356022604e+001dB,1.58459924493548e+002°)
1.69824365246174e+003	(2.54483311979931e+001dB,1.57888339501766e+002°)
1.73780082874937e+003	(2.54656044587316e+001dB,1.57298369325144e+002°)
1.77827941003892e+003	(2.54834593805970e+001dB,1.56689220003375e+002°)
1.81970085860998e+003	(2.55018974669053e+001dB,1.56060053754008e+002°)
1.86208713666286e+003	(2.55209172911386e+001dB,1.55409986474709e+002°)
1.90546071796324e+003	(2.55405140009099e+001dB,1.54738085168300e+002°)
1.94984459975804e+003	(2.55606787557555e+001dB,1.54043365306870e+002°)
1.99526231496887e+003	(2.55813980908628e+001dB,1.53324788156915e+002°)
2.04173794466952e+003	(2.56026531980818e+001dB,1.52581258094484e+002°)
2.08929613085403e+003	(2.56244191147940e+001dB,1.51811619947771e+002°)
2.13796208950222e+003	(2.56466638104521e+001dB,1.51014656414870e+002°)
2.18776162394954e+003	(2.56693471598736e+001dB,1.50189085616780e+002°)
