Freq.	V(vout)
1.00000000000000e+002	(-2.80513758670326e+001dB,8.84553808666687e+001°)
1.02329299228075e+002	(-2.78508883881561e+001dB,8.84193659194501e+001°)
1.04712854805090e+002	(-2.76503779262140e+001dB,8.83825037238181e+001°)
1.07151930523761e+002	(-2.74498433971953e+001dB,8.83447740771891e+001°)
1.09647819614318e+002	(-2.72492836659192e+001dB,8.83061562698085e+001°)
1.12201845430196e+002	(-2.70486975436164e+001dB,8.82666290703908e+001°)
1.14815362149688e+002	(-2.68480837853941e+001dB,8.82261707111876e+001°)
1.17489755493953e+002	(-2.66474410875824e+001dB,8.81847588725463e+001°)
1.20226443461741e+002	(-2.64467680849540e+001dB,8.81423706668911e+001°)
1.23026877081238e+002	(-2.62460633478112e+001dB,8.80989826220676e+001°)
1.25892541179417e+002	(-2.60453253789361e+001dB,8.80545706640954e+001°)
1.28824955169313e+002	(-2.58445526103947e+001dB,8.80091100992122e+001°)
1.31825673855641e+002	(-2.56437434001891e+001dB,8.79625755952415e+001°)
1.34896288259165e+002	(-2.54428960287519e+001dB,8.79149411622028e+001°)
1.38038426460288e+002	(-2.52420086952722e+001dB,8.78661801321412e+001°)
1.41253754462275e+002	(-2.50410795138476e+001dB,8.78162651381458e+001°)
1.44543977074593e+002	(-2.48401065094535e+001dB,8.77651680924780e+001°)
1.47910838816821e+002	(-2.46390876137190e+001dB,8.77128601637975e+001°)
1.51356124843621e+002	(-2.44380206605039e+001dB,8.76593117534196e+001°)
1.54881661891248e+002	(-2.42369033812623e+001dB,8.76044924705343e+001°)
1.58489319246111e+002	(-2.40357334001868e+001dB,8.75483711063459e+001°)
1.62181009735893e+002	(-2.38345082291215e+001dB,8.74909156070855e+001°)
1.65958690743756e+002	(-2.36332252622299e+001dB,8.74320930457798e+001°)
1.69824365246174e+002	(-2.34318817704114e+001dB,8.73718695927482e+001°)
1.73780082874937e+002	(-2.32304748954479e+001dB,8.73102104847487e+001°)
1.77827941003892e+002	(-2.30290016438728e+001dB,8.72470799926540e+001°)
1.81970085860998e+002	(-2.28274588805463e+001dB,8.71824413876174e+001°)
1.86208713666287e+002	(-2.26258433219224e+001dB,8.71162569055892e+001°)
1.90546071796324e+002	(-2.24241515289948e+001dB,8.70484877101296e+001°)
1.94984459975804e+002	(-2.22223798999036e+001dB,8.69790938533567e+001°)
1.99526231496888e+002	(-2.20205246621888e+001dB,8.69080342349607e+001°)
2.04173794466953e+002	(-2.18185818646708e+001dB,8.68352665591284e+001°)
2.08929613085404e+002	(-2.16165473689432e+001dB,8.67607472892559e+001°)
2.13796208950223e+002	(-2.14144168404545e+001dB,8.66844316003094e+001°)
2.18776162394955e+002	(-2.12121857391635e+001dB,8.66062733286605e+001°)
2.23872113856834e+002	(-2.10098493097437e+001dB,8.65262249192613e+001°)
2.29086765276777e+002	(-2.08074025713172e+001dB,8.64442373699451e+001°)
2.34422881531992e+002	(-2.06048403066937e+001dB,8.63602601726850e+001°)
2.39883291901949e+002	(-2.04021570510916e+001dB,8.62742412515936e+001°)
2.45470891568503e+002	(-2.01993470803141e+001dB,8.61861268974423e+001°)
2.51188643150958e+002	(-1.99964043983563e+001dB,8.60958616984587e+001°)
2.57039578276886e+002	(-1.97933227244127e+001dB,8.60033884671415e+001°)
2.63026799189538e+002	(-1.95900954792573e+001dB,8.59086481628270e+001°)
2.69153480392691e+002	(-1.93867157709653e+001dB,8.58115798096747e+001°)
2.75422870333816e+002	(-1.91831763799449e+001dB,8.57121204097896e+001°)
2.81838293126445e+002	(-1.89794697432428e+001dB,8.56102048510857e+001°)
2.88403150312660e+002	(-1.87755879380922e+001dB,8.55057658095512e+001°)
2.95120922666638e+002	(-1.85715226646609e+001dB,8.53987336454664e+001°)
3.01995172040201e+002	(-1.83672652279661e+001dB,8.52890362931725e+001°)
3.09029543251358e+002	(-1.81628065189102e+001dB,8.51765991438633e+001°)
3.16227766016837e+002	(-1.79581369943980e+001dB,8.50613449209272e+001°)
3.23593656929628e+002	(-1.77532466564894e+001dB,8.49431935472398e+001°)
3.31131121482590e+002	(-1.75481250305404e+001dB,8.48220620038091e+001°)
3.38844156139202e+002	(-1.73427611422844e+001dB,8.46978641791212e+001°)
3.46736850452531e+002	(-1.71371434938023e+001dB,8.45705107084429e+001°)
3.54813389233575e+002	(-1.69312600383272e+001dB,8.44399088023240e+001°)
3.63078054770101e+002	(-1.67250981538291e+001dB,8.43059620634355e+001°)
3.71535229097172e+002	(-1.65186446153213e+001dB,8.41685702908210e+001°)
3.80189396320560e+002	(-1.63118855658279e+001dB,8.40276292705656e+001°)
3.89045144994280e+002	(-1.61048064859488e+001dB,8.38830305517771e+001°)
3.98107170553496e+002	(-1.58973921619599e+001dB,8.37346612066941e+001°)
4.07380277804112e+002	(-1.56896266523781e+001dB,8.35824035736185e+001°)
4.16869383470335e+002	(-1.54814932529232e+001dB,8.34261349812491e+001°)
4.26579518801592e+002	(-1.52729744598051e+001dB,8.32657274528804e+001°)
4.36515832240165e+002	(-1.50640519312632e+001dB,8.31010473887520e+001°)
4.46683592150962e+002	(-1.48547064472816e+001dB,8.29319552247187e+001°)
4.57088189614874e+002	(-1.46449178674063e+001dB,8.27583050651994e+001°)
4.67735141287197e+002	(-1.44346650865845e+001dB,8.25799442881894e+001°)
4.78630092322637e+002	(-1.42239259889514e+001dB,8.23967131199041e+001°)
4.89778819368445e+002	(-1.40126773994860e+001dB,8.22084441763800e+001°)
5.01187233627271e+002	(-1.38008950334603e+001dB,8.20149619691088e+001°)
5.12861383991364e+002	(-1.35885534436096e+001dB,8.18160823714687e+001°)
5.24807460249771e+002	(-1.33756259649534e+001dB,8.16116120424289e+001°)
5.37031796370251e+002	(-1.31620846572035e+001dB,8.14013478036066e+001°)
5.49540873857623e+002	(-1.29479002447007e+001dB,8.11850759654003e+001°)
5.62341325190348e+002	(-1.27330420538353e+001dB,8.09625715974432e+001°)
5.75439937337155e+002	(-1.25174779479138e+001dB,8.07335977381673e+001°)
5.88843655355587e+002	(-1.23011742594560e+001dB,8.04979045376854e+001°)
6.02559586074356e+002	(-1.20840957199217e+001dB,8.02552283276294e+001°)
6.16595001861481e+002	(-1.18662053868968e+001dB,8.00052906108669e+001°)
6.30957344480192e+002	(-1.16474645687981e+001dB,7.97477969632924e+001°)
6.45654229034654e+002	(-1.14278327471937e+001dB,7.94824358390213e+001°)
6.60693448007594e+002	(-1.12072674968901e+001dB,7.92088772693873e+001°)
6.76082975391980e+002	(-1.09857244039910e+001dB,7.89267714450803e+001°)
6.91830970918935e+002	(-1.07631569822110e+001dB,7.86357471695858e+001°)
7.07945784384136e+002	(-1.05395165878123e+001dB,7.83354101707564e+001°)
7.24435960074988e+002	(-1.03147523336446e+001dB,7.80253412559020e+001°)
7.41310241300916e+002	(-1.00888110028999e+001dB,7.77050942940880e+001°)
7.58577575029182e+002	(-9.86163696335267e+000dB,7.73741940075231e+001°)
7.76247116628690e+002	(-9.63317208305411e+000dB,7.70321335518421e+001°)
7.94328234724279e+002	(-9.40335564868137e+000dB,7.66783718627652e+001°)
8.12830516164097e+002	(-9.17212428803550e+000dB,7.63123307440633e+001°)
8.31763771102669e+002	(-8.93941189851950e+000dB,7.59333916688676e+001°)
8.51138038202374e+002	(-8.70514958385898e+000dB,7.55408922631695e+001°)
8.70963589956078e+002	(-8.46926560182874e+000dB,7.51341224367804e+001°)
8.91250938133743e+002	(-8.23168532637091e+000dB,7.47123201231084e+001°)
9.12010839355907e+002	(-7.99233122823456e+000dB,7.42746665847248e+001°)
9.33254300796988e+002	(-7.75112287917650e+000dB,7.38202812369113e+001°)
9.54992586021433e+002	(-7.50797698585750e+000dB,7.33482159361489e+001°)
9.77237220955808e+002	(-7.26280746090378e+000dB,7.28574486748307e+001°)
9.99999999999997e+002	(-7.01552554021647e+000dB,7.23468766173554e+001°)
1.02329299228075e+003	(-6.76603995757235e+000dB,7.18153084063401e+001°)
1.04712854805090e+003	(-6.51425718993578e+000dB,7.12614556609121e+001°)
1.07151930523760e+003	(-6.26008178978451e+000dB,7.06839235822627e+001°)
1.09647819614318e+003	(-6.00341682424698e+000dB,7.00812005749837e+001°)
1.12201845430196e+003	(-5.74416444508647e+000dB,6.94516467866495e+001°)
1.14815362149688e+003	(-5.48222661869507e+000dB,6.87934814631725e+001°)
1.17489755493953e+003	(-5.21750605146670e+000dB,6.81047690145647e+001°)
1.20226443461741e+003	(-4.94990735340440e+000dB,6.73834036859427e+001°)
1.23026877081238e+003	(-4.67933849183593e+000dB,6.66270927337107e+001°)
1.25892541179416e+003	(-4.40571259793269e+000dB,6.58333380189941e+001°)
1.28824955169313e+003	(-4.12895020165493e+000dB,6.49994159528188e+001°)
1.31825673855640e+003	(-3.84898198609637e+000dB,6.41223557644477e+001°)
1.34896288259165e+003	(-3.56575217028467e+000dB,6.31989161215077e+001°)
