Freq.	V(vin_4)
1.00000000000000e+002	(-1.43479625902913e+002dB,-1.68607971072397e+002°)
1.02329299228075e+002	(-1.42687885065828e+002dB,-1.68912589370928e+002°)
1.04712854805090e+002	(-1.41895686535467e+002dB,-1.69212124702506e+002°)
1.07151930523761e+002	(-1.41103044339711e+002dB,-1.69506686654571e+002°)
1.09647819614318e+002	(-1.40309971779930e+002dB,-1.69796385284380e+002°)
1.12201845430196e+002	(-1.39516481421566e+002dB,-1.70081330981067e+002°)
1.14815362149688e+002	(-1.38722585125443e+002dB,-1.70361634353835e+002°)
1.17489755493953e+002	(-1.37928294046120e+002dB,-1.70637406157266e+002°)
1.20226443461741e+002	(-1.37133618648296e+002dB,-1.70908757181098e+002°)
1.23026877081238e+002	(-1.36338568709530e+002dB,-1.71175798222730e+002°)
1.25892541179417e+002	(-1.35543153339305e+002dB,-1.71438639928303e+002°)
1.28824955169313e+002	(-1.34747380981719e+002dB,-1.71697392835130e+002°)
1.31825673855641e+002	(-1.33951259421699e+002dB,-1.71952167242720e+002°)
1.34896288259165e+002	(-1.33154795800115e+002dB,-1.72203073192071e+002°)
1.38038426460288e+002	(-1.32357996610745e+002dB,-1.72450220386079e+002°)
1.41253754462275e+002	(-1.31560867714603e+002dB,-1.72693718241641e+002°)
1.44543977074593e+002	(-1.30763414340106e+002dB,-1.72933675747642e+002°)
1.47910838816821e+002	(-1.29965641090328e+002dB,-1.73170201533993e+002°)
1.51356124843621e+002	(-1.29167551944567e+002dB,-1.73403403790494e+002°)
1.54881661891248e+002	(-1.28369150260989e+002dB,-1.73633390302967e+002°)
1.58489319246111e+002	(-1.27570438778889e+002dB,-1.73860268379557e+002°)
1.62181009735893e+002	(-1.26771419619836e+002dB,-1.74084144929612e+002°)
1.65958690743756e+002	(-1.25972094285574e+002dB,-1.74305126393902e+002°)
1.69824365246174e+002	(-1.25172463659026e+002dB,-1.74523318786677e+002°)
1.73780082874937e+002	(-1.24372527998218e+002dB,-1.74738827699650e+002°)
1.77827941003892e+002	(-1.23572286935846e+002dB,-1.74951758307992e+002°)
1.81970085860998e+002	(-1.22771739472258e+002dB,-1.75162215400545e+002°)
1.86208713666287e+002	(-1.21970883970439e+002dB,-1.75370303391217e+002°)
1.90546071796324e+002	(-1.21169718148490e+002dB,-1.75576126355892e+002°)
1.94984459975804e+002	(-1.20368239069562e+002dB,-1.75779788045177e+002°)
1.99526231496888e+002	(-1.19566443133532e+002dB,-1.75981391941723e+002°)
2.04173794466953e+002	(-1.18764326065126e+002dB,-1.76181041283174e+002°)
2.08929613085404e+002	(-1.17961882899071e+002dB,-1.76378839101991e+002°)
2.13796208950223e+002	(-1.17159107968336e+002dB,-1.76574888284554e+002°)
2.18776162394955e+002	(-1.16355994885515e+002dB,-1.76769291604062e+002°)
2.23872113856834e+002	(-1.15552536526582e+002dB,-1.76962151784376e+002°)
2.29086765276777e+002	(-1.14748725010705e+002dB,-1.77153571560061e+002°)
2.34422881531992e+002	(-1.13944551678468e+002dB,-1.77343653723989e+002°)
2.39883291901949e+002	(-1.13140007069142e+002dB,-1.77532501211184e+002°)
2.45470891568503e+002	(-1.12335080894390e+002dB,-1.77720217150460e+002°)
2.51188643150958e+002	(-1.11529762012335e+002dB,-1.77906904956357e+002°)
2.57039578276886e+002	(-1.10724038396025e+002dB,-1.78092668399435e+002°)
2.63026799189538e+002	(-1.09917897102504e+002dB,-1.78277611690259e+002°)
2.69153480392691e+002	(-1.09111324237883e+002dB,-1.78461839573644e+002°)
2.75422870333816e+002	(-1.08304304920037e+002dB,-1.78645457423703e+002°)
2.81838293126445e+002	(-1.07496823238903e+002dB,-1.78828571342877e+002°)
2.88403150312660e+002	(-1.06688862213413e+002dB,-1.79011288275874e+002°)
2.95120922666638e+002	(-1.05880403745564e+002dB,-1.79193716118906e+002°)
3.01995172040201e+002	(-1.05071428571189e+002dB,-1.79375963847080e+002°)
3.09029543251358e+002	(-1.04261916206858e+002dB,-1.79558141642092e+002°)
3.16227766016837e+002	(-1.03451844893584e+002dB,-1.79740361034959e+002°)
3.23593656929628e+002	(-1.02641191536069e+002dB,-1.79922735051126e+002°)
3.31131121482590e+002	(-1.01829931638073e+002dB,1.79894621626466e+002°)
3.38844156139202e+002	(-1.01018039232838e+002dB,1.79711592489799e+002°)
3.46736850452531e+002	(-1.00205486808826e+002dB,1.79528059022731e+002°)
3.54813389233575e+002	(-9.93922452303969e+001dB,1.79343900505739e+002°)
3.63078054770101e+002	(-9.85782836524328e+001dB,1.79158993805937e+002°)
3.71535229097172e+002	(-9.77635694294138e+001dB,1.78973213151569e+002°)
3.80189396320560e+002	(-9.69480680174969e+001dB,1.78786429889760e+002°)
3.89045144994280e+002	(-9.61317428701048e+001dB,1.78598512224818e+002°)
3.98107170553496e+002	(-9.53145553254398e+001dB,1.78409324935424e+002°)
4.07380277804112e+002	(-9.44964644863168e+001dB,1.78218729070013e+002°)
4.16869383470335e+002	(-9.36774270908016e+001dB,1.78026581615218e+002°)
4.26579518801592e+002	(-9.28573973734001e+001dB,1.77832735139130e+002°)
4.36515832240165e+002	(-9.20363269159310e+001dB,1.77637037400498e+002°)
4.46683592150962e+002	(-9.12141644869507e+001dB,1.77439330925724e+002°)
