Freq.	V(n025)
1.00000000000000e+002	(2.34872101004762e+001dB,1.78788492390927e+002°)
1.02329299228075e+002	(2.34872838395697e+001dB,1.78760258029037e+002°)
1.04712854805090e+002	(2.34873610519004e+001dB,1.78731364951150e+002°)
1.07151930523761e+002	(2.34874419009656e+001dB,1.78701797738454e+002°)
1.09647819614318e+002	(2.34875265579498e+001dB,1.78671540607599e+002°)
1.12201845430196e+002	(2.34876152020850e+001dB,1.78640577401819e+002°)
1.14815362149688e+002	(2.34877080210275e+001dB,1.78608891581815e+002°)
1.17489755493953e+002	(2.34878052112539e+001dB,1.78576466216407e+002°)
1.20226443461741e+002	(2.34879069784733e+001dB,1.78543283972932e+002°)
1.23026877081238e+002	(2.34880135380604e+001dB,1.78509327107378e+002°)
1.25892541179417e+002	(2.34881251155081e+001dB,1.78474577454262e+002°)
1.28824955169313e+002	(2.34882419469009e+001dB,1.78439016416227e+002°)
1.31825673855641e+002	(2.34883642794120e+001dB,1.78402624953356e+002°)
1.34896288259165e+002	(2.34884923718198e+001dB,1.78365383572195e+002°)
1.38038426460288e+002	(2.34886264950531e+001dB,1.78327272314464e+002°)
1.41253754462275e+002	(2.34887669327578e+001dB,1.78288270745467e+002°)
1.44543977074593e+002	(2.34889139818919e+001dB,1.78248357942162e+002°)
1.47910838816821e+002	(2.34890679533472e+001dB,1.78207512480907e+002°)
1.51356124843621e+002	(2.34892291726002e+001dB,1.78165712424849e+002°)
1.54881661891248e+002	(2.34893979803928e+001dB,1.78122935310952e+002°)
1.58489319246111e+002	(2.34895747334451e+001dB,1.78079158136654e+002°)
1.62181009735893e+002	(2.34897598051997e+001dB,1.78034357346131e+002°)
1.65958690743756e+002	(2.34899535866017e+001dB,1.77988508816162e+002°)
1.69824365246174e+002	(2.34901564869150e+001dB,1.77941587841569e+002°)
1.73780082874937e+002	(2.34903689345733e+001dB,1.77893569120227e+002°)
1.77827941003892e+002	(2.34905913780742e+001dB,1.77844426737620e+002°)
1.81970085860998e+002	(2.34908242869112e+001dB,1.77794134150926e+002°)
1.86208713666287e+002	(2.34910681525498e+001dB,1.77742664172611e+002°)
1.90546071796324e+002	(2.34913234894483e+001dB,1.77689988953524e+002°)
1.94984459975804e+002	(2.34915908361245e+001dB,1.77636079965448e+002°)
1.99526231496888e+002	(2.34918707562720e+001dB,1.77580907983108e+002°)
2.04173794466953e+002	(2.34921638399266e+001dB,1.77524443065602e+002°)
2.08929613085404e+002	(2.34924707046864e+001dB,1.77466654537233e+002°)
2.13796208950223e+002	(2.34927919969863e+001dB,1.77407510967710e+002°)
2.18776162394955e+002	(2.34931283934319e+001dB,1.77346980151701e+002°)
2.23872113856834e+002	(2.34934806021914e+001dB,1.77285029087702e+002°)
2.29086765276777e+002	(2.34938493644529e+001dB,1.77221623956191e+002°)
2.34422881531992e+002	(2.34942354559451e+001dB,1.77156730097036e+002°)
2.39883291901949e+002	(2.34946396885275e+001dB,1.77090311986126e+002°)
2.45470891568503e+002	(2.34950629118516e+001dB,1.77022333211185e+002°)
2.51188643150958e+002	(2.34955060150962e+001dB,1.76952756446720e+002°)
2.57039578276886e+002	(2.34959699287800e+001dB,1.76881543428092e+002°)
2.63026799189538e+002	(2.34964556266548e+001dB,1.76808654924626e+002°)
2.69153480392691e+002	(2.34969641276828e+001dB,1.76734050711753e+002°)
2.75422870333816e+002	(2.34974964981003e+001dB,1.76657689542101e+002°)
2.81838293126445e+002	(2.34980538535733e+001dB,1.76579529115514e+002°)
2.88403150312660e+002	(2.34986373614465e+001dB,1.76499526047914e+002°)
2.95120922666638e+002	(2.34992482430914e+001dB,1.76417635838976e+002°)
3.01995172040201e+002	(2.34998877763550e+001dB,1.76333812838528e+002°)
3.09029543251358e+002	(2.35005572981165e+001dB,1.76248010211626e+002°)
3.16227766016837e+002	(2.35012582069520e+001dB,1.76160179902231e+002°)
3.23593656929628e+002	(2.35019919659143e+001dB,1.76070272595406e+002°)
3.31131121482590e+002	(2.35027601054314e+001dB,1.75978237677959e+002°)
3.38844156139202e+002	(2.35035642263266e+001dB,1.75884023197444e+002°)
3.46736850452531e+002	(2.35044060029668e+001dB,1.75787575819437e+002°)
3.54813389233575e+002	(2.35052871865418e+001dB,1.75688840782968e+002°)
3.63078054770101e+002	(2.35062096084799e+001dB,1.75587761854045e+002°)
3.71535229097172e+002	(2.35071751840037e+001dB,1.75484281277110e+002°)
3.80189396320560e+002	(2.35081859158320e+001dB,1.75378339724358e+002°)
3.89045144994280e+002	(2.35092438980301e+001dB,1.75269876242760e+002°)
3.98107170553496e+002	(2.35103513200168e+001dB,1.75158828198673e+002°)
4.07380277804112e+002	(2.35115104707270e+001dB,1.75045131219886e+002°)
4.16869383470335e+002	(2.35127237429417e+001dB,1.74928719134958e+002°)
4.26579518801592e+002	(2.35139936377818e+001dB,1.74809523909675e+002°)
4.36515832240165e+002	(2.35153227693774e+001dB,1.74687475580467e+002°)
4.46683592150962e+002	(2.35167138697103e+001dB,1.74562502184576e+002°)
4.57088189614874e+002	(2.35181697936383e+001dB,1.74434529686803e+002°)
4.67735141287197e+002	(2.35196935241022e+001dB,1.74303481902604e+002°)
4.78630092322637e+002	(2.35212881775190e+001dB,1.74169280417307e+002°)
4.89778819368445e+002	(2.35229570093647e+001dB,1.74031844501222e+002°)
5.01187233627271e+002	(2.35247034199493e+001dB,1.73891091020367e+002°)
5.12861383991364e+002	(2.35265309603835e+001dB,1.73746934342541e+002°)
5.24807460249771e+002	(2.35284433387403e+001dB,1.73599286238442e+002°)
5.37031796370251e+002	(2.35304444264113e+001dB,1.73448055777516e+002°)
5.49540873857623e+002	(2.35325382646549e+001dB,1.73293149218185e+002°)
5.62341325190348e+002	(2.35347290713364e+001dB,1.73134469892098e+002°)
5.75439937337155e+002	(2.35370212478563e+001dB,1.72971918082009e+002°)
5.88843655355587e+002	(2.35394193862608e+001dB,1.72805390892853e+002°)
6.02559586074356e+002	(2.35419282765295e+001dB,1.72634782115591e+002°)
6.16595001861481e+002	(2.35445529140310e+001dB,1.72459982083309e+002°)
6.30957344480192e+002	(2.35472985071350e+001dB,1.72280877519085e+002°)
6.45654229034654e+002	(2.35501704849694e+001dB,1.72097351375041e+002°)
6.60693448007594e+002	(2.35531745053040e+001dB,1.71909282662003e+002°)
6.76082975391980e+002	(2.35563164625421e+001dB,1.71716546269120e+002°)
6.91830970918935e+002	(2.35596024957970e+001dB,1.71519012772759e+002°)
7.07945784384136e+002	(2.35630389970249e+001dB,1.71316548233932e+002°)
