Freq.	V(n015)
1.00000000000000e+002	(-1.47651057896862e+002dB,-8.13677619797050e+001°)
1.02329299228075e+002	(-1.46658755828988e+002dB,-8.17367149421876e+001°)
1.04712854805090e+002	(-1.45665969615081e+002dB,-8.21020928895588e+001°)
1.07151930523761e+002	(-1.44672712033677e+002dB,-8.24640410785727e+001°)
1.09647819614318e+002	(-1.43678995073203e+002dB,-8.28227061086357e+001°)
1.12201845430196e+002	(-1.42684829939362e+002dB,-8.31782357992533e+001°)
1.14815362149688e+002	(-1.41690227054672e+002dB,-8.35307791240854e+001°)
1.17489755493953e+002	(-1.40695196075587e+002dB,-8.38804861338127e+001°)
1.20226443461741e+002	(-1.39699745890491e+002dB,-8.42275078956004e+001°)
1.23026877081238e+002	(-1.38703884644859e+002dB,-8.45719964690876e+001°)
1.25892541179417e+002	(-1.37707619712149e+002dB,-8.49141047998343e+001°)
1.28824955169313e+002	(-1.36710957740059e+002dB,-8.52539867693190e+001°)
1.31825673855641e+002	(-1.35713904623749e+002dB,-8.55917971076233e+001°)
1.34896288259165e+002	(-1.34716465520530e+002dB,-8.59276913984133e+001°)
1.38038426460288e+002	(-1.33718644860790e+002dB,-8.62618260272239e+001°)
1.41253754462275e+002	(-1.32720446325968e+002dB,-8.65943582788865e+001°)
1.44543977074593e+002	(-1.31721872881389e+002dB,-8.69254462094809e+001°)
1.47910838816821e+002	(-1.30722926742808e+002dB,-8.72552487736202e+001°)
1.51356124843621e+002	(-1.29723609404805e+002dB,-8.75839257582982e+001°)
1.54881661891248e+002	(-1.28723921614225e+002dB,-8.79116378700249e+001°)
1.58489319246111e+002	(-1.27723863376561e+002dB,-8.82385467000920e+001°)
1.62181009735893e+002	(-1.26723433949192e+002dB,-8.85648148356483e+001°)
1.65958690743756e+002	(-1.25722631843390e+002dB,-8.88906058398153e+001°)
1.69824365246174e+002	(-1.24721454800858e+002dB,-8.92160843342866e+001°)
1.73780082874937e+002	(-1.23719899791995e+002dB,-8.95414160535105e+001°)
1.77827941003892e+002	(-1.22717963006194e+002dB,-8.98667678919108e+001°)
1.81970085860998e+002	(-1.21715639845947e+002dB,-9.01923079893295e+001°)
1.86208713666287e+002	(-1.20712924883157e+002dB,-9.05182057898058e+001°)
1.90546071796324e+002	(-1.19709811904247e+002dB,-9.08446321421339e+001°)
1.94984459975804e+002	(-1.18706293809217e+002dB,-9.11717593507020e+001°)
1.99526231496888e+002	(-1.17702362686903e+002dB,-9.14997613180437e+001°)
2.04173794466953e+002	(-1.16698009699283e+002dB,-9.18288136005018e+001°)
2.08929613085404e+002	(-1.15693225134205e+002dB,-9.21590935357836e+001°)
2.13796208950223e+002	(-1.14687998345554e+002dB,-9.24907803606080e+001°)
2.18776162394955e+002	(-1.13682317721166e+002dB,-9.28240553071583e+001°)
2.23872113856834e+002	(-1.12676170686135e+002dB,-9.31591017597992e+001°)
2.29086765276777e+002	(-1.11669543617017e+002dB,-9.34961053620604e+001°)
2.34422881531992e+002	(-1.10662421883060e+002dB,-9.38352541898907e+001°)
2.39883291901949e+002	(-1.09654789736061e+002dB,-9.41767388767577e+001°)
2.45470891568503e+002	(-1.08646630315473e+002dB,-9.45207527763266e+001°)
2.51188643150958e+002	(-1.07637925594045e+002dB,-9.48674921593948e+001°)
2.57039578276886e+002	(-1.06628656333200e+002dB,-9.52171563463080e+001°)
2.63026799189538e+002	(-1.05618802038157e+002dB,-9.55699479460550e+001°)
2.69153480392691e+002	(-1.04608340897699e+002dB,-9.59260730059897e+001°)
2.75422870333816e+002	(-1.03597249759376e+002dB,-9.62857412875553e+001°)
2.81838293126445e+002	(-1.02585504020356e+002dB,-9.66491664062992e+001°)
2.88403150312660e+002	(-1.01573077606551e+002dB,-9.70165661471759e+001°)
2.95120922666638e+002	(-1.00559942912919e+002dB,-9.73881626802820e+001°)
3.01995172040201e+002	(-9.95460706884770e+001dB,-9.77641828191228e+001°)
3.09029543251358e+002	(-9.85314300112954e+001dB,-9.81448583267307e+001°)
3.16227766016837e+002	(-9.75159881770332e+001dB,-9.85304262047436e+001°)
3.23593656929628e+002	(-9.64997106371928e+001dB,-9.89211290139675e+001°)
3.31131121482590e+002	(-9.54825608783565e+001dB,-9.93172152082918e+001°)
3.38844156139202e+002	(-9.44645003693160e+001dB,-9.97189395186923e+001°)
3.46736850452531e+002	(-9.34454884208804e+001dB,-1.00126563294221e+002°)
3.54813389233575e+002	(-9.24254820961384e+001dB,-1.00540354972755e+002°)
3.63078054770101e+002	(-9.14044361012963e+001dB,-1.00960590466428e+002°)
3.71535229097172e+002	(-9.03823026460328e+001dB,-1.01387553668738e+002°)
3.80189396320560e+002	(-8.93590313363046e+001dB,-1.01821536949488e+002°)
3.89045144994280e+002	(-8.83345690013945e+001dB,-1.02262841665324e+002°)
3.98107170553496e+002	(-8.73088595773610e+001dB,-1.02711778767601e+002°)
4.07380277804112e+002	(-8.62818439417028e+001dB,-1.03168669439100e+002°)
4.16869383470335e+002	(-8.52534597319126e+001dB,-1.03633845702242e+002°)
4.26579518801592e+002	(-8.42236411746713e+001dB,-1.04107651183531e+002°)
4.36515832240165e+002	(-8.31923189032935e+001dB,-1.04590441888415e+002°)
4.46683592150962e+002	(-8.21594197241240e+001dB,-1.05082587004529e+002°)
4.57088189614874e+002	(-8.11248664361288e+001dB,-1.05584469845081e+002°)
4.67735141287197e+002	(-8.00885775482562e+001dB,-1.06096488757034e+002°)
4.78630092322637e+002	(-7.90504670766803e+001dB,-1.06619058265558e+002°)
4.89778819368445e+002	(-7.80104442325488e+001dB,-1.07152610156212e+002°)
5.01187233627271e+002	(-7.69684131541225e+001dB,-1.07697594726441e+002°)
5.12861383991364e+002	(-7.59242725992517e+001dB,-1.08254482199600e+002°)
5.24807460249771e+002	(-7.48779155746473e+001dB,-1.08823764106034e+002°)
5.37031796370251e+002	(-7.38292290300005e+001dB,-1.09405954939616e+002°)
5.49540873857623e+002	(-7.27780934170745e+001dB,-1.10001593963264e+002°)
5.62341325190348e+002	(-7.17243823039498e+001dB,-1.10611247062715e+002°)
5.75439937337155e+002	(-7.06679618877084e+001dB,-1.11235508821074e+002°)
5.88843655355587e+002	(-6.96086905626575e+001dB,-1.11875005031667e+002°)
6.02559586074356e+002	(-6.85464183105797e+001dB,-1.12530394980635e+002°)
6.16595001861481e+002	(-6.74809861844914e+001dB,-1.13202374475590e+002°)
6.30957344480192e+002	(-6.64122256564533e+001dB,-1.13891678810767e+002°)
6.45654229034654e+002	(-6.53399579474536e+001dB,-1.14599086303243e+002°)
6.60693448007594e+002	(-6.42639932705727e+001dB,-1.15325421987568e+002°)
6.76082975391980e+002	(-6.31841300431417e+001dB,-1.16071561979605e+002°)
6.91830970918935e+002	(-6.21001539862482e+001dB,-1.16838438078930e+002°)
7.07945784384136e+002	(-6.10118371647529e+001dB,-1.17627043084001e+002°)
7.24435960074988e+002	(-5.99189369210558e+001dB,-1.18438436655115e+002°)
7.41310241300916e+002	(-5.88211947122565e+001dB,-1.19273751950148e+002°)
7.58577575029182e+002	(-5.77183348229279e+001dB,-1.20134203015302e+002°)
7.76247116628690e+002	(-5.66100629591610e+001dB,-1.21021093218130e+002°)
7.94328234724279e+002	(-5.54960646631050e+001dB,-1.21935824660037e+002°)
8.12830516164097e+002	(-5.43760035990887e+001dB,-1.22879909059556e+002°)
8.31763771102669e+002	(-5.32495196251456e+001dB,-1.23854979867921e+002°)
8.51138038202374e+002	(-5.21162266365233e+001dB,-1.24862806429269e+002°)
8.70963589956078e+002	(-5.09757102050082e+001dB,-1.25905309996525e+002°)
8.91250938133743e+002	(-4.98275248731561e+001dB,-1.26984582149210e+002°)
9.12010839355907e+002	(-4.86711911968390e+001dB,-1.28102906416800e+002°)
9.33254300796988e+002	(-4.75061923696187e+001dB,-1.29262782872614e+002°)
9.54992586021433e+002	(-4.63319704370524e+001dB,-1.30466957376856e+002°)
9.77237220955808e+002	(-4.51479220279156e+001dB,-1.31718455382615e+002°)
9.99999999999997e+002	(-4.39533935254679e+001dB,-1.33020622107310e+002°)
1.02329299228075e+003	(-4.27476755848739e+001dB,-1.34377169888084e+002°)
1.04712854805090e+003	(-4.15299969202991e+001dB,-1.35792234741290e+002°)
1.07151930523760e+003	(-4.02995172028653e+001dB,-1.37270444254293e+002°)
1.09647819614318e+003	(-3.90553190080489e+001dB,-1.38816999229343e+002°)
1.12201845430196e+003	(-3.77963986030780e+001dB,-1.40437773278160e+002°)
1.14815362149688e+003	(-3.65216554795214e+001dB,-1.42139434467341e+002°)
1.17489755493953e+003	(-3.52298804196555e+001dB,-1.43929595352781e+002°)
1.20226443461741e+003	(-3.39197420064210e+001dB,-1.45816999858501e+002°)
1.23026877081238e+003	(-3.25897714645316e+001dB,-1.47811757527125e+002°)
1.25892541179416e+003	(-3.12383458239663e+001dB,-1.49925640015615e+002°)
1.28824955169313e+003	(-2.98636696952364e+001dB,-1.52172460059446e+002°)
1.31825673855640e+003	(-2.84637562395611e+001dB,-1.54568560420597e+002°)
1.34896288259165e+003	(-2.70364087944524e+001dB,-1.57133450970723e+002°)
1.38038426460288e+003	(-2.55792058876696e+001dB,-1.59890647020499e+002°)
1.41253754462275e+003	(-2.40894948915283e+001dB,-1.62868782995722e+002°)
1.44543977074592e+003	(-2.25644041632654e+001dB,-1.66103104380864e+002°)
1.47910838816820e+003	(-2.10008913311904e+001dB,-1.69637479749245e+002°)
1.51356124843620e+003	(-1.93958603382508e+001dB,-1.73527122320999e+002°)
1.54881661891248e+003	(-1.77464060885592e+001dB,-1.77842258336845e+002°)
1.58489319246111e+003	(-1.60502931338049e+001dB,1.77327005728951e+002°)
1.62181009735892e+003	(-1.43068579428935e+001dB,1.71864482738340e+002°)
1.65958690743755e+003	(-1.25186618989050e+001dB,1.65620745483297e+002°)
1.69824365246174e+003	(-1.06944177223859e+001dB,1.58406906529684e+002°)
1.73780082874937e+003	(-8.85387726589298e+000dB,1.49995054328210e+002°)
