Freq.	V(n018)/V(VI)
1.00000000000000e+003	(-4.50932408140731e+001dB,1.79382861171645e+002°)
1.00230523807790e+003	(-4.50530030802006e+001dB,1.79381526033940e+002°)
1.00461579027840e+003	(-4.50127642455452e+001dB,1.79380187478331e+002°)
1.00693166885180e+003	(-4.49725243049529e+001dB,1.79378845496751e+002°)
1.00925288607668e+003	(-4.49322832532439e+001dB,1.79377500081103e+002°)
1.01157945425990e+003	(-4.48920410852161e+001dB,1.79376151223266e+002°)
1.01391138573668e+003	(-4.48517977956395e+001dB,1.79374798915096e+002°)
1.01624869287070e+003	(-4.48115533792652e+001dB,1.79373443148423e+002°)
1.01859138805412e+003	(-4.47713078308109e+001dB,1.79372083915054e+002°)
1.02093948370768e+003	(-4.47310611449790e+001dB,1.79370721206762e+002°)
1.02329299228075e+003	(-4.46908133164418e+001dB,1.79369355015288e+002°)
1.02565192625141e+003	(-4.46505643398450e+001dB,1.79367985332374e+002°)
1.02801629812647e+003	(-4.46103142098137e+001dB,1.79366612149715e+002°)
1.03038612044162e+003	(-4.45700629209431e+001dB,1.79365235458988e+002°)
1.03276140576140e+003	(-4.45298104678071e+001dB,1.79363855251841e+002°)
1.03514216667934e+003	(-4.44895568449490e+001dB,1.79362471519897e+002°)
1.03752841581801e+003	(-4.44493020468909e+001dB,1.79361084254751e+002°)
1.03992016582906e+003	(-4.44090460681268e+001dB,1.79359693447974e+002°)
1.04231742939330e+003	(-4.43687889031259e+001dB,1.79358299091110e+002°)
1.04472021922080e+003	(-4.43285305463286e+001dB,1.79356901175675e+002°)
1.04712854805090e+003	(-4.42882709921544e+001dB,1.79355499693172e+002°)
1.04954242865232e+003	(-4.42480102349898e+001dB,1.79354094635039e+002°)
1.05196187382322e+003	(-4.42077482691992e+001dB,1.79352685992739e+002°)
1.05438689639126e+003	(-4.41674850891198e+001dB,1.79351273757669e+002°)
1.05681750921366e+003	(-4.41272206890611e+001dB,1.79349857921217e+002°)
1.05925372517729e+003	(-4.40869550633056e+001dB,1.79348438474741e+002°)
1.06169555719872e+003	(-4.40466882061099e+001dB,1.79347015409563e+002°)
1.06414301822431e+003	(-4.40064201117045e+001dB,1.79345588716988e+002°)
1.06659612123026e+003	(-4.39661507742866e+001dB,1.79344158388297e+002°)
1.06905487922266e+003	(-4.39258801880346e+001dB,1.79342724414723e+002°)
1.07151930523761e+003	(-4.38856083470929e+001dB,1.79341286787506e+002°)
1.07398941234124e+003	(-4.38453352455793e+001dB,1.79339845497811e+002°)
1.07646521362983e+003	(-4.38050608775884e+001dB,1.79338400536832e+002°)
1.07894672222983e+003	(-4.37647852371808e+001dB,1.79336951895678e+002°)
1.08143395129794e+003	(-4.37245083183918e+001dB,1.79335499565478e+002°)
1.08392691402120e+003	(-4.36842301152289e+001dB,1.79334043537296e+002°)
1.08642562361706e+003	(-4.36439506216699e+001dB,1.79332583802187e+002°)
1.08893009333343e+003	(-4.36036698316646e+001dB,1.79331120351184e+002°)
1.09144033644875e+003	(-4.35633877391351e+001dB,1.79329653175273e+002°)
1.09395636627209e+003	(-4.35231043379744e+001dB,1.79328182265416e+002°)
1.09647819614318e+003	(-4.34828196220438e+001dB,1.79326707612556e+002°)
1.09900583943252e+003	(-4.34425335851818e+001dB,1.79325229207606e+002°)
1.10153930954141e+003	(-4.34022462211888e+001dB,1.79323747041438e+002°)
1.10407861990207e+003	(-4.33619575238447e+001dB,1.79322261104905e+002°)
1.10662378397766e+003	(-4.33216674868948e+001dB,1.79320771388822e+002°)
1.10917481526240e+003	(-4.32813761040549e+001dB,1.79319277883994e+002°)
1.11173172728159e+003	(-4.32410833690130e+001dB,1.79317780581177e+002°)
1.11429453359173e+003	(-4.32007892754284e+001dB,1.79316279471105e+002°)
1.11686324778056e+003	(-4.31604938169248e+001dB,1.79314774544476e+002°)
1.11943788346715e+003	(-4.31201969870994e+001dB,1.79313265791969e+002°)
1.12201845430196e+003	(-4.30798987795215e+001dB,1.79311753204234e+002°)
1.12460497396692e+003	(-4.30395991877241e+001dB,1.79310236771873e+002°)
1.12719745617551e+003	(-4.29992982052151e+001dB,1.79308716485476e+002°)
1.12979591467279e+003	(-4.29589958254675e+001dB,1.79307192335598e+002°)
1.13240036323555e+003	(-4.29186920419247e+001dB,1.79305664312761e+002°)
1.13501081567231e+003	(-4.28783868480008e+001dB,1.79304132407459e+002°)
1.13762728582343e+003	(-4.28380802370747e+001dB,1.79302596610146e+002°)
1.14024978756117e+003	(-4.27977722024984e+001dB,1.79301056911267e+002°)
1.14287833478977e+003	(-4.27574627375894e+001dB,1.79299513301218e+002°)
1.14551294144553e+003	(-4.27171518356332e+001dB,1.79297965770362e+002°)
1.14815362149688e+003	(-4.26768394898861e+001dB,1.79296414309044e+002°)
1.15080038894443e+003	(-4.26365256935698e+001dB,1.79294858907577e+002°)
1.15345325782109e+003	(-4.25962104398728e+001dB,1.79293299556225e+002°)
1.15611224219210e+003	(-4.25558937219571e+001dB,1.79291736245236e+002°)
1.15877735615512e+003	(-4.25155755329464e+001dB,1.79290168964830e+002°)
1.16144861384034e+003	(-4.24752558659311e+001dB,1.79288597705193e+002°)
1.16412602941049e+003	(-4.24349347139746e+001dB,1.79287022456453e+002°)
1.16680961706096e+003	(-4.23946120701030e+001dB,1.79285443208744e+002°)
1.16949939101987e+003	(-4.23542879273093e+001dB,1.79283859952151e+002°)
1.17219536554813e+003	(-4.23139622785551e+001dB,1.79282272676728e+002°)
1.17489755493953e+003	(-4.22736351167663e+001dB,1.79280681372492e+002°)
1.17760597352080e+003	(-4.22333064348378e+001dB,1.79279086029430e+002°)
1.18032063565173e+003	(-4.21929762256272e+001dB,1.79277486637506e+002°)
1.18304155572516e+003	(-4.21526444819620e+001dB,1.79275883186638e+002°)
1.18576874816716e+003	(-4.21123111966329e+001dB,1.79274275666716e+002°)
1.18850222743701e+003	(-4.20719763623973e+001dB,1.79272664067598e+002°)
1.19124200802737e+003	(-4.20316399719773e+001dB,1.79271048379102e+002°)
1.19398810446427e+003	(-4.19913020180617e+001dB,1.79269428591033e+002°)
1.19674053130724e+003	(-4.19509624933038e+001dB,1.79267804693137e+002°)
1.19949930314937e+003	(-4.19106213903196e+001dB,1.79266176675141e+002°)
1.20226443461741e+003	(-4.18702787016949e+001dB,1.79264544526735e+002°)
1.20503594037179e+003	(-4.18299344199767e+001dB,1.79262908237570e+002°)
1.20781383510678e+003	(-4.17895885376776e+001dB,1.79261267797285e+002°)
1.21059813355048e+003	(-4.17492410472723e+001dB,1.79259623195453e+002°)
1.21338885046497e+003	(-4.17088919412026e+001dB,1.79257974421628e+002°)
1.21618600064636e+003	(-4.16685412118733e+001dB,1.79256321465331e+002°)
1.21898959892486e+003	(-4.16281888516522e+001dB,1.79254664316052e+002°)
1.22179966016487e+003	(-4.15878348528726e+001dB,1.79253002963240e+002°)
1.22461619926504e+003	(-4.15474792078278e+001dB,1.79251337396305e+002°)
1.22743923115840e+003	(-4.15071219087776e+001dB,1.79249667604629e+002°)
1.23026877081238e+003	(-4.14667629479447e+001dB,1.79247993577560e+002°)
1.23310483322890e+003	(-4.14264023175122e+001dB,1.79246315304402e+002°)
1.23594743344450e+003	(-4.13860400096274e+001dB,1.79244632774434e+002°)
1.23879658653036e+003	(-4.13456760164009e+001dB,1.79242945976893e+002°)
1.24165230759241e+003	(-4.13053103299039e+001dB,1.79241254900982e+002°)
1.24451461177138e+003	(-4.12649429421714e+001dB,1.79239559535874e+002°)
1.24738351424294e+003	(-4.12245738451994e+001dB,1.79237859870683e+002°)
1.25025903021771e+003	(-4.11842030309467e+001dB,1.79236155894522e+002°)
1.25314117494141e+003	(-4.11438304913319e+001dB,1.79234447596436e+002°)
1.25602996369487e+003	(-4.11034562182346e+001dB,1.79232734965451e+002°)
1.25892541179416e+003	(-4.10630802034994e+001dB,1.79231017990553e+002°)
1.26182753459066e+003	(-4.10227024389276e+001dB,1.79229296660694e+002°)
1.26473634747115e+003	(-4.09823229162843e+001dB,1.79227570964781e+002°)
1.26765186585784e+003	(-4.09419416272939e+001dB,1.79225840891686e+002°)
1.27057410520854e+003	(-4.09015585636409e+001dB,1.79224106430246e+002°)
1.27350308101666e+003	(-4.08611737169706e+001dB,1.79222367569265e+002°)
1.27643880881134e+003	(-4.08207870788878e+001dB,1.79220624297498e+002°)
1.27938130415752e+003	(-4.07803986409579e+001dB,1.79218876603670e+002°)
1.28233058265601e+003	(-4.07400083947057e+001dB,1.79217124476471e+002°)
1.28528665994361e+003	(-4.06996163316155e+001dB,1.79215367904540e+002°)
1.28824955169313e+003	(-4.06592224431291e+001dB,1.79213606876495e+002°)
1.29121927361353e+003	(-4.06188267206510e+001dB,1.79211841380901e+002°)
1.29419584144998e+003	(-4.05784291555406e+001dB,1.79210071406291e+002°)
1.29717927098395e+003	(-4.05380297391186e+001dB,1.79208296941157e+002°)
1.30016957803328e+003	(-4.04976284626631e+001dB,1.79206517973955e+002°)
1.30316677845229e+003	(-4.04572253174094e+001dB,1.79204734493101e+002°)
1.30617088813183e+003	(-4.04168202945528e+001dB,1.79202946486966e+002°)
1.30918192299940e+003	(-4.03764133852442e+001dB,1.79201153943887e+002°)
1.31219989901920e+003	(-4.03360045805959e+001dB,1.79199356852167e+002°)
1.31522483219223e+003	(-4.02955938716725e+001dB,1.79197555200056e+002°)
1.31825673855640e+003	(-4.02551812494991e+001dB,1.79195748975768e+002°)
1.32129563418657e+003	(-4.02147667050568e+001dB,1.79193938167484e+002°)
1.32434153519466e+003	(-4.01743502292831e+001dB,1.79192122763341e+002°)
1.32739445772973e+003	(-4.01339318130724e+001dB,1.79190302751425e+002°)
1.33045441797808e+003	(-4.00935114472756e+001dB,1.79188478119804e+002°)
1.33352143216332e+003	(-4.00530891226991e+001dB,1.79186648856475e+002°)
1.33659551654643e+003	(-4.00126648301063e+001dB,1.79184814949422e+002°)
1.33967668742593e+003	(-3.99722385602145e+001dB,1.79182976386572e+002°)
1.34276496113786e+003	(-3.99318103036970e+001dB,1.79181133155817e+002°)
1.34586035405594e+003	(-3.98913800511838e+001dB,1.79179285245000e+002°)
1.34896288259165e+003	(-3.98509477932577e+001dB,1.79177432641928e+002°)
1.35207256319427e+003	(-3.98105135204572e+001dB,1.79175575334367e+002°)
1.35518941235103e+003	(-3.97700772232755e+001dB,1.79173713310039e+002°)
1.35831344658715e+003	(-3.97296388921586e+001dB,1.79171846556616e+002°)
1.36144468246594e+003	(-3.96891985175101e+001dB,1.79169975061740e+002°)
1.36458313658892e+003	(-3.96487560896837e+001dB,1.79168098813003e+002°)
1.36772882559584e+003	(-3.96083115989891e+001dB,1.79166217797958e+002°)
1.37088176616484e+003	(-3.95678650356862e+001dB,1.79164332004110e+002°)
1.37404197501251e+003	(-3.95274163899921e+001dB,1.79162441418916e+002°)
1.37720946889394e+003	(-3.94869656520745e+001dB,1.79160546029805e+002°)
1.38038426460288e+003	(-3.94465128120546e+001dB,1.79158645824152e+002°)
1.38356637897177e+003	(-3.94060578600044e+001dB,1.79156740789284e+002°)
1.38675582887188e+003	(-3.93656007859487e+001dB,1.79154830912493e+002°)
1.38995263121334e+003	(-3.93251415798673e+001dB,1.79152916181021e+002°)
1.39315680294529e+003	(-3.92846802316862e+001dB,1.79150996582066e+002°)
1.39636836105593e+003	(-3.92442167312883e+001dB,1.79149072102781e+002°)
1.39958732257261e+003	(-3.92037510685034e+001dB,1.79147142730276e+002°)
1.40281370456195e+003	(-3.91632832331149e+001dB,1.79145208451614e+002°)
1.40604752412990e+003	(-3.91228132148553e+001dB,1.79143269253814e+002°)
1.40928879842186e+003	(-3.90823410034099e+001dB,1.79141325123845e+002°)
1.41253754462274e+003	(-3.90418665884110e+001dB,1.79139376048637e+002°)
1.41579377995707e+003	(-3.90013899594432e+001dB,1.79137422015068e+002°)
1.41905752168908e+003	(-3.89609111060400e+001dB,1.79135463009973e+002°)
1.42232878712281e+003	(-3.89204300176846e+001dB,1.79133499020135e+002°)
1.42560759360218e+003	(-3.88799466838091e+001dB,1.79131530032299e+002°)
1.42889395851109e+003	(-3.88394610937950e+001dB,1.79129556033156e+002°)
1.43218789927353e+003	(-3.87989732369718e+001dB,1.79127577009356e+002°)
1.43548943335364e+003	(-3.87584831026182e+001dB,1.79125592947489e+002°)
1.43879857825583e+003	(-3.87179906799605e+001dB,1.79123603834116e+002°)
