Freq.	V(n012)/V(VI)
1.00000000000000e+003	(-9.11283697391734e+001dB,-1.87646494610888e+000°)
1.00230523807790e+003	(-9.10479248312818e+001dB,-1.88061266965918e+000°)
1.00461579027840e+003	(-9.09674778653327e+001dB,-1.88477076823286e+000°)
1.00693166885180e+003	(-9.08870288316921e+001dB,-1.88893926670147e+000°)
1.00925288607668e+003	(-9.08065777206841e+001dB,-1.89311819001887e+000°)
1.01157945425990e+003	(-9.07261245225859e+001dB,-1.89730756321428e+000°)
1.01391138573668e+003	(-9.06456692276279e+001dB,-1.90150741139116e+000°)
1.01624869287070e+003	(-9.05652118260016e+001dB,-1.90571775972578e+000°)
1.01859138805412e+003	(-9.04847523078357e+001dB,-1.90993863347143e+000°)
1.02093948370768e+003	(-9.04042906632363e+001dB,-1.91417005796698e+000°)
1.02329299228075e+003	(-9.03238268822446e+001dB,-1.91841205862975e+000°)
1.02565192625141e+003	(-9.02433609548614e+001dB,-1.92266466093484e+000°)
1.02801629812647e+003	(-9.01628928710394e+001dB,-1.92692789045030e+000°)
1.03038612044162e+003	(-9.00824226206865e+001dB,-1.93120177281436e+000°)
1.03276140576140e+003	(-9.00019501936571e+001dB,-1.93548633374918e+000°)
1.03514216667934e+003	(-8.99214755797654e+001dB,-1.93978159905069e+000°)
1.03752841581801e+003	(-8.98409987687702e+001dB,-1.94408759459615e+000°)
1.03992016582906e+003	(-8.97605197503896e+001dB,-1.94840434634277e+000°)
1.04231742939330e+003	(-8.96800385142883e+001dB,-1.95273188032290e+000°)
1.04472021922080e+003	(-8.95995550500819e+001dB,-1.95707022264853e+000°)
1.04712854805090e+003	(-8.95190693473431e+001dB,-1.96141939950725e+000°)
1.04954242865232e+003	(-8.94385813955869e+001dB,-1.96577943719212e+000°)
1.05196187382322e+003	(-8.93580911842844e+001dB,-1.97015036203312e+000°)
1.05438689639126e+003	(-8.92775987028561e+001dB,-1.97453220048094e+000°)
1.05681750921366e+003	(-8.91971039406728e+001dB,-1.97892497904111e+000°)
1.05925372517729e+003	(-8.91166068870528e+001dB,-1.98332872431484e+000°)
1.06169555719872e+003	(-8.90361075312687e+001dB,-1.98774346297771e+000°)
1.06414301822431e+003	(-8.89556058625402e+001dB,-1.99216922179576e+000°)
1.06659612123026e+003	(-8.88751018700339e+001dB,-1.99660602759749e+000°)
1.06905487922266e+003	(-8.87945955428685e+001dB,-2.00105390732485e+000°)
1.07151930523761e+003	(-8.87140868701103e+001dB,-2.00551288796583e+000°)
1.07398941234124e+003	(-8.86335758407700e+001dB,-2.00998299662969e+000°)
1.07646521362983e+003	(-8.85530624438169e+001dB,-2.01446426046813e+000°)
1.07894672222983e+003	(-8.84725466681576e+001dB,-2.01895670676158e+000°)
1.08143395129794e+003	(-8.83920285026513e+001dB,-2.02346036282877e+000°)
1.08392691402120e+003	(-8.83115079361026e+001dB,-2.02797525611060e+000°)
1.08642562361706e+003	(-8.82309849572685e+001dB,-2.03250141411734e+000°)
1.08893009333343e+003	(-8.81504595548437e+001dB,-2.03703886443429e+000°)
1.09144033644875e+003	(-8.80699317174767e+001dB,-2.04158763474621e+000°)
1.09395636627209e+003	(-8.79894014337618e+001dB,-2.04614775282774e+000°)
1.09647819614318e+003	(-8.79088686922371e+001dB,-2.05071924652477e+000°)
1.09900583943252e+003	(-8.78283334813896e+001dB,-2.05530214376788e+000°)
1.10153930954141e+003	(-8.77477957896453e+001dB,-2.05989647259541e+000°)
1.10407861990207e+003	(-8.76672556053838e+001dB,-2.06450226111269e+000°)
1.10662378397766e+003	(-8.75867129169250e+001dB,-2.06911953752802e+000°)
1.10917481526240e+003	(-8.75061677125326e+001dB,-2.07374833011464e+000°)
1.11173172728159e+003	(-8.74256199804200e+001dB,-2.07838866725598e+000°)
1.11429453359173e+003	(-8.73450697087421e+001dB,-2.08304057741424e+000°)
1.11686324778056e+003	(-8.72645168855947e+001dB,-2.08770408914746e+000°)
1.11943788346715e+003	(-8.71839614990216e+001dB,-2.09237923109042e+000°)
1.12201845430196e+003	(-8.71034035370070e+001dB,-2.09706603197209e+000°)
1.12460497396692e+003	(-8.70228429874835e+001dB,-2.10176452062194e+000°)
1.12719745617551e+003	(-8.69422798383197e+001dB,-2.10647472594688e+000°)
1.12979591467279e+003	(-8.68617140773321e+001dB,-2.11119667694460e+000°)
1.13240036323555e+003	(-8.67811456922766e+001dB,-2.11593040270964e+000°)
1.13501081567231e+003	(-8.67005746708496e+001dB,-2.12067593242094e+000°)
1.13762728582343e+003	(-8.66200010006960e+001dB,-2.12543329537031e+000°)
1.14024978756117e+003	(-8.65394246693947e+001dB,-2.13020252090319e+000°)
1.14287833478977e+003	(-8.64588456644730e+001dB,-2.13498363848783e+000°)
1.14551294144553e+003	(-8.63782639733910e+001dB,-2.13977667767945e+000°)
1.14815362149688e+003	(-8.62976795835574e+001dB,-2.14458166812005e+000°)
1.15080038894443e+003	(-8.62170924823153e+001dB,-2.14939863954208e+000°)
1.15345325782109e+003	(-8.61365026569503e+001dB,-2.15422762178762e+000°)
1.15611224219210e+003	(-8.60559100946868e+001dB,-2.15906864477963e+000°)
1.15877735615512e+003	(-8.59753147826898e+001dB,-2.16392173853326e+000°)
1.16144861384034e+003	(-8.58947167080644e+001dB,-2.16878693316176e+000°)
1.16412602941049e+003	(-8.58141158578528e+001dB,-2.17366425889379e+000°)
1.16680961706096e+003	(-8.57335122190354e+001dB,-2.17855374601994e+000°)
1.16949939101987e+003	(-8.56529057785342e+001dB,-2.18345542494735e+000°)
1.17219536554813e+003	(-8.55722965232010e+001dB,-2.18836932616740e+000°)
1.17489755493953e+003	(-8.54916844398367e+001dB,-2.19329548028637e+000°)
1.17760597352080e+003	(-8.54110695151711e+001dB,-2.19823391799728e+000°)
1.18032063565173e+003	(-8.53304517358752e+001dB,-2.20318467008211e+000°)
1.18304155572516e+003	(-8.52498310885549e+001dB,-2.20814776743634e+000°)
