Freq.	V(n007)
1.00000000000000e+003	(-1.39305474257365e+002dB,1.76068110605513e+002°)
1.00230523807790e+003	(-1.39184889136247e+002dB,1.76059193567878e+002°)
1.00461579027840e+003	(-1.39064301308463e+002dB,1.76050254916165e+002°)
1.00693166885180e+003	(-1.38943710761367e+002dB,1.76041294597731e+002°)
1.00925288607668e+003	(-1.38823117482264e+002dB,1.76032312560190e+002°)
1.01157945425990e+003	(-1.38702521458401e+002dB,1.76023308750702e+002°)
1.01391138573668e+003	(-1.38581922676945e+002dB,1.76014283116308e+002°)
1.01624869287070e+003	(-1.38461321125032e+002dB,1.76005235604182e+002°)
1.01859138805412e+003	(-1.38340716789730e+002dB,1.75996166160931e+002°)
1.02093948370768e+003	(-1.38220109658019e+002dB,1.75987074733398e+002°)
1.02329299228075e+003	(-1.38099499716857e+002dB,1.75977961267960e+002°)
1.02565192625141e+003	(-1.37978886953123e+002dB,1.75968825711042e+002°)
1.02801629812647e+003	(-1.37858271353621e+002dB,1.75959668008713e+002°)
1.03038612044162e+003	(-1.37737652905127e+002dB,1.75950488107247e+002°)
1.03276140576140e+003	(-1.37617031594325e+002dB,1.75941285952294e+002°)
1.03514216667934e+003	(-1.37496407407834e+002dB,1.75932061489730e+002°)
1.03752841581801e+003	(-1.37375780332241e+002dB,1.75922814665071e+002°)
1.03992016582906e+003	(-1.37255150354040e+002dB,1.75913545423748e+002°)
1.04231742939330e+003	(-1.37134517459678e+002dB,1.75904253711006e+002°)
1.04472021922080e+003	(-1.37013881635533e+002dB,1.75894939471951e+002°)
1.04712854805090e+003	(-1.36893242867924e+002dB,1.75885602651518e+002°)
1.04954242865232e+003	(-1.36772601143085e+002dB,1.75876243194592e+002°)
1.05196187382322e+003	(-1.36651956447215e+002dB,1.75866861045618e+002°)
1.05438689639126e+003	(-1.36531308766429e+002dB,1.75857456149136e+002°)
1.05681750921366e+003	(-1.36410658086788e+002dB,1.75848028449483e+002°)
1.05925372517729e+003	(-1.36290004394281e+002dB,1.75838577890643e+002°)
1.06169555719872e+003	(-1.36169347674819e+002dB,1.75829104416784e+002°)
1.06414301822431e+003	(-1.36048687914282e+002dB,1.75819607971623e+002°)
1.06659612123026e+003	(-1.35928025098438e+002dB,1.75810088498806e+002°)
1.06905487922266e+003	(-1.35807359213025e+002dB,1.75800545941862e+002°)
1.07151930523761e+003	(-1.35686690243701e+002dB,1.75790980244050e+002°)
1.07398941234124e+003	(-1.35566018176043e+002dB,1.75781391348523e+002°)
1.07646521362983e+003	(-1.35445342995589e+002dB,1.75771779198355e+002°)
1.07894672222983e+003	(-1.35324664687782e+002dB,1.75762143736236e+002°)
1.08143395129794e+003	(-1.35203983238012e+002dB,1.75752484904856e+002°)
1.08392691402120e+003	(-1.35083298631595e+002dB,1.75742802646706e+002°)
1.08642562361706e+003	(-1.34962610853779e+002dB,1.75733096904174e+002°)
1.08893009333343e+003	(-1.34841919889735e+002dB,1.75723367619302e+002°)
1.09144033644875e+003	(-1.34721225724583e+002dB,1.75713614734088e+002°)
1.09395636627209e+003	(-1.34600528343354e+002dB,1.75703838190376e+002°)
1.09647819614318e+003	(-1.34479827731015e+002dB,1.75694037929773e+002°)
1.09900583943252e+003	(-1.34359123872466e+002dB,1.75684213893767e+002°)
1.10153930954141e+003	(-1.34238416752532e+002dB,1.75674366023558e+002°)
1.10407861990207e+003	(-1.34117706355968e+002dB,1.75664494260380e+002°)
1.10662378397766e+003	(-1.33996992667453e+002dB,1.75654598545137e+002°)
1.10917481526240e+003	(-1.33876275671603e+002dB,1.75644678818504e+002°)
1.11173172728159e+003	(-1.33755555352955e+002dB,1.75634735021187e+002°)
1.11429453359173e+003	(-1.33634831695971e+002dB,1.75624767093569e+002°)
1.11686324778056e+003	(-1.33514104685040e+002dB,1.75614774975881e+002°)
1.11943788346715e+003	(-1.33393374304485e+002dB,1.75604758608209e+002°)
1.12201845430196e+003	(-1.33272640538552e+002dB,1.75594717930338e+002°)
1.12460497396692e+003	(-1.33151903371407e+002dB,1.75584652882178e+002°)
1.12719745617551e+003	(-1.33031162787151e+002dB,1.75574563403075e+002°)
1.12979591467279e+003	(-1.32910418769798e+002dB,1.75564449432372e+002°)
1.13240036323555e+003	(-1.32789671303297e+002dB,1.75554310909415e+002°)
1.13501081567231e+003	(-1.32668920371510e+002dB,1.75544147772985e+002°)
1.13762728582343e+003	(-1.32548165958241e+002dB,1.75533959962027e+002°)
1.14024978756117e+003	(-1.32427408047199e+002dB,1.75523747415022e+002°)
1.14287833478977e+003	(-1.32306646622033e+002dB,1.75513510070624e+002°)
1.14551294144553e+003	(-1.32185881666295e+002dB,1.75503247866941e+002°)
1.14815362149688e+003	(-1.32065113163476e+002dB,1.75492960742050e+002°)
1.15080038894443e+003	(-1.31944341096982e+002dB,1.75482648633879e+002°)
1.15345325782109e+003	(-1.31823565450139e+002dB,1.75472311480173e+002°)
1.15611224219210e+003	(-1.31702786206206e+002dB,1.75461949218244e+002°)
1.15877735615512e+003	(-1.31582003348346e+002dB,1.75451561785563e+002°)
1.16144861384034e+003	(-1.31461216859653e+002dB,1.75441149119311e+002°)
1.16412602941049e+003	(-1.31340426723140e+002dB,1.75430711156379e+002°)
1.16680961706096e+003	(-1.31219632921737e+002dB,1.75420247833512e+002°)
1.16949939101987e+003	(-1.31098835438293e+002dB,1.75409759087349e+002°)
1.17219536554813e+003	(-1.30978034255583e+002dB,1.75399244854083e+002°)
1.17489755493953e+003	(-1.30857229356293e+002dB,1.75388705070139e+002°)
1.17760597352080e+003	(-1.30736420723031e+002dB,1.75378139671325e+002°)
1.18032063565173e+003	(-1.30615608338315e+002dB,1.75367548593588e+002°)
1.18304155572516e+003	(-1.30494792184600e+002dB,1.75356931772417e+002°)
1.18576874816716e+003	(-1.30373972244231e+002dB,1.75346289143264e+002°)
1.18850222743701e+003	(-1.30253148499493e+002dB,1.75335620641396e+002°)
1.19124200802737e+003	(-1.30132320932573e+002dB,1.75324926201710e+002°)
1.19398810446427e+003	(-1.30011489525579e+002dB,1.75314205759195e+002°)
1.19674053130724e+003	(-1.29890654260537e+002dB,1.75303459248334e+002°)
1.19949930314937e+003	(-1.29769815119382e+002dB,1.75292686603545e+002°)
1.20226443461741e+003	(-1.29648972083963e+002dB,1.75281887759177e+002°)
1.20503594037179e+003	(-1.29528125136052e+002dB,1.75271062649182e+002°)
1.20781383510678e+003	(-1.29407274257330e+002dB,1.75260211207362e+002°)
1.21059813355048e+003	(-1.29286419429385e+002dB,1.75249333367404e+002°)
1.21338885046497e+003	(-1.29165560633730e+002dB,1.75238429062709e+002°)
1.21618600064636e+003	(-1.29044697851775e+002dB,1.75227498226433e+002°)
1.21898959892486e+003	(-1.28923831064860e+002dB,1.75216540791637e+002°)
1.22179966016487e+003	(-1.28802960254220e+002dB,1.75205556691209e+002°)
1.22461619926504e+003	(-1.28682085401013e+002dB,1.75194545857618e+002°)
1.22743923115840e+003	(-1.28561206486305e+002dB,1.75183508223269e+002°)
1.23026877081238e+003	(-1.28440323491068e+002dB,1.75172443720436e+002°)
1.23310483322890e+003	(-1.28319436396184e+002dB,1.75161352281009e+002°)
1.23594743344450e+003	(-1.28198545182446e+002dB,1.75150233836837e+002°)
1.23879658653036e+003	(-1.28077649830565e+002dB,1.75139088319461e+002°)
1.24165230759241e+003	(-1.27956750321150e+002dB,1.75127915660186e+002°)
1.24451461177138e+003	(-1.27835846634715e+002dB,1.75116715790215e+002°)
1.24738351424294e+003	(-1.27714938751687e+002dB,1.75105488640395e+002°)
1.25025903021771e+003	(-1.27594026652407e+002dB,1.75094234141499e+002°)
