Freq.	V(n009)
1.00000000000000e+003	(-1.84222684973661e+002dB,-6.43928183393427e+000°)
1.00230523807790e+003	(-1.84062028702672e+002dB,-6.45400003533324e+000°)
1.00461579027840e+003	(-1.83901369396568e+002dB,-6.46875339486717e+000°)
1.00693166885180e+003	(-1.83740707041560e+002dB,-6.48354199763077e+000°)
1.00925288607668e+003	(-1.83580041623228e+002dB,-6.49836592910863e+000°)
1.01157945425990e+003	(-1.83419373127317e+002dB,-6.51322527430487e+000°)
1.01391138573668e+003	(-1.83258701539633e+002dB,-6.52812011829126e+000°)
1.01624869287070e+003	(-1.83098026845538e+002dB,-6.54305054741338e+000°)
1.01859138805412e+003	(-1.82937349030740e+002dB,-6.55801664644379e+000°)
1.02093948370768e+003	(-1.82776668080378e+002dB,-6.57301850346103e+000°)
1.02329299228075e+003	(-1.82615983980080e+002dB,-6.58805620382372e+000°)
1.02565192625141e+003	(-1.82455296715206e+002dB,-6.60312983428844e+000°)
1.02801629812647e+003	(-1.82294606270858e+002dB,-6.61823948131639e+000°)
1.03038612044162e+003	(-1.82133912632069e+002dB,-6.63338523321900e+000°)
1.03276140576140e+003	(-1.81973215784394e+002dB,-6.64856717578442e+000°)
1.03514216667934e+003	(-1.81812515712376e+002dB,-6.66378539812827e+000°)
1.03752841581801e+003	(-1.81651812401282e+002dB,-6.67903998761770e+000°)
1.03992016582906e+003	(-1.81491105835832e+002dB,-6.69433103212581e+000°)
1.04231742939330e+003	(-1.81330396001047e+002dB,-6.70965862003164e+000°)
1.04472021922080e+003	(-1.81169682881490e+002dB,-6.72502284013313e+000°)
1.04712854805090e+003	(-1.81008966461930e+002dB,-6.74042378104302e+000°)
1.04954242865232e+003	(-1.80848246726839e+002dB,-6.75586153284010e+000°)
1.05196187382322e+003	(-1.80687523660916e+002dB,-6.77133618384876e+000°)
1.05438689639126e+003	(-1.80526797248586e+002dB,-6.78684782343231e+000°)
1.05681750921366e+003	(-1.80366067474117e+002dB,-6.80239654241878e+000°)
1.05925372517729e+003	(-1.80205334322117e+002dB,-6.81798242952407e+000°)
1.06169555719872e+003	(-1.80044597776554e+002dB,-6.83360557704835e+000°)
1.06414301822431e+003	(-1.79883857821655e+002dB,-6.84926607413262e+000°)
1.06659612123026e+003	(-1.79723114441519e+002dB,-6.86496401187668e+000°)
1.06905487922266e+003	(-1.79562367620196e+002dB,-6.88069948190297e+000°)
1.07151930523761e+003	(-1.79401617341633e+002dB,-6.89647257523027e+000°)
1.07398941234124e+003	(-1.79240863589607e+002dB,-6.91228338283979e+000°)
1.07646521362983e+003	(-1.79080106347972e+002dB,-6.92813199757845e+000°)
1.07894672222983e+003	(-1.78919345600482e+002dB,-6.94401851115482e+000°)
1.08143395129794e+003	(-1.78758581330850e+002dB,-6.95994301602761e+000°)
1.08392691402120e+003	(-1.78597813522491e+002dB,-6.97590560478079e+000°)
1.08642562361706e+003	(-1.78437042158909e+002dB,-6.99190637064872e+000°)
1.08893009333343e+003	(-1.78276267223469e+002dB,-7.00794540645630e+000°)
1.09144033644875e+003	(-1.78115488699769e+002dB,-7.02402280526567e+000°)
1.09395636627209e+003	(-1.77954706570810e+002dB,-7.04013866092557e+000°)
1.09647819614318e+003	(-1.77793920819801e+002dB,-7.05629306819051e+000°)
1.09900583943252e+003	(-1.77633131429830e+002dB,-7.07248612066121e+000°)
1.10153930954141e+003	(-1.77472338383980e+002dB,-7.08871791267913e+000°)
1.10407861990207e+003	(-1.77311541665174e+002dB,-7.10498853962169e+000°)
1.10662378397766e+003	(-1.77150741256156e+002dB,-7.12129809549983e+000°)
1.10917481526240e+003	(-1.76989937139895e+002dB,-7.13764667647137e+000°)
1.11173172728159e+003	(-1.76829129298926e+002dB,-7.15403437803893e+000°)
1.11429453359173e+003	(-1.76668317715967e+002dB,-7.17046129510481e+000°)
1.11686324778056e+003	(-1.76507502373494e+002dB,-7.18692752490091e+000°)
1.11943788346715e+003	(-1.76346683253874e+002dB,-7.20343316359468e+000°)
1.12201845430196e+003	(-1.76185860339702e+002dB,-7.21997830683542e+000°)
1.12460497396692e+003	(-1.76025033612975e+002dB,-7.23656305262492e+000°)
1.12719745617551e+003	(-1.75864203056127e+002dB,-7.25318749789818e+000°)
1.12979591467279e+003	(-1.75703368651182e+002dB,-7.26985173967385e+000°)
1.13240036323555e+003	(-1.75542530380147e+002dB,-7.28655587613249e+000°)
1.13501081567231e+003	(-1.75381688225064e+002dB,-7.30330000518796e+000°)
1.13762728582343e+003	(-1.75220842167694e+002dB,-7.32008422507050e+000°)
1.14024978756117e+003	(-1.75059992189848e+002dB,-7.33690863427244e+000°)
1.14287833478977e+003	(-1.74899138273253e+002dB,-7.35377333160984e+000°)
1.14551294144553e+003	(-1.74738280399434e+002dB,-7.37067841676150e+000°)
1.14815362149688e+003	(-1.74577418549995e+002dB,-7.38762398881191e+000°)
1.15080038894443e+003	(-1.74416552706265e+002dB,-7.40461014719449e+000°)
1.15345325782109e+003	(-1.74255682849640e+002dB,-7.42163699236586e+000°)
1.15611224219210e+003	(-1.74094808961472e+002dB,-7.43870462415325e+000°)
1.15877735615512e+003	(-1.73933931022920e+002dB,-7.45581314285310e+000°)
1.16144861384034e+003	(-1.73773049014910e+002dB,-7.47296265023844e+000°)
1.16412602941049e+003	(-1.73612162918489e+002dB,-7.49015324702545e+000°)
1.16680961706096e+003	(-1.73451272714646e+002dB,-7.50738503469384e+000°)
1.16949939101987e+003	(-1.73290378383995e+002dB,-7.52465811469839e+000°)
1.17219536554813e+003	(-1.73129479907551e+002dB,-7.54197258896056e+000°)
1.17489755493953e+003	(-1.72968577265737e+002dB,-7.55932856037128e+000°)
1.17760597352080e+003	(-1.72807670439174e+002dB,-7.57672613059125e+000°)
1.18032063565173e+003	(-1.72646759408223e+002dB,-7.59416540362133e+000°)
1.18304155572516e+003	(-1.72485844153327e+002dB,-7.61164648196985e+000°)
1.18576874816716e+003	(-1.72324924654696e+002dB,-7.62916946922734e+000°)
1.18850222743701e+003	(-1.72164000892532e+002dB,-7.64673446947370e+000°)
1.19124200802737e+003	(-1.72003072846942e+002dB,-7.66434158602694e+000°)
1.19398810446427e+003	(-1.71842140497774e+002dB,-7.68199092403947e+000°)
1.19674053130724e+003	(-1.71681203825037e+002dB,-7.69968258817134e+000°)
1.19949930314937e+003	(-1.71520262808516e+002dB,-7.71741668255748e+000°)
1.20226443461741e+003	(-1.71359317427860e+002dB,-7.73519331379633e+000°)
1.20503594037179e+003	(-1.71198367662705e+002dB,-7.75301258598664e+000°)
1.20781383510678e+003	(-1.71037413492524e+002dB,-7.77087460626083e+000°)
1.21059813355048e+003	(-1.70876454896738e+002dB,-7.78877948062345e+000°)
1.21338885046497e+003	(-1.70715491854704e+002dB,-7.80672731532003e+000°)
1.21618600064636e+003	(-1.70554524345599e+002dB,-7.82471821690530e+000°)
1.21898959892486e+003	(-1.70393552348540e+002dB,-7.84275229283119e+000°)
1.22179966016487e+003	(-1.70232575842436e+002dB,-7.86082965100295e+000°)
1.22461619926504e+003	(-1.70071594806389e+002dB,-7.87895039824722e+000°)
1.22743923115840e+003	(-1.69910609219164e+002dB,-7.89711464310879e+000°)
1.23026877081238e+003	(-1.69749619059410e+002dB,-7.91532249447396e+000°)
1.23310483322890e+003	(-1.69588624305837e+002dB,-7.93357406015068e+000°)
1.23594743344450e+003	(-1.69427624936870e+002dB,-7.95186944965010e+000°)
1.23879658653036e+003	(-1.69266620930940e+002dB,-7.97020877248557e+000°)
1.24165230759241e+003	(-1.69105612266454e+002dB,-7.98859213740184e+000°)
1.24451461177138e+003	(-1.68944598921523e+002dB,-8.00701965568193e+000°)
1.24738351424294e+003	(-1.68783580874278e+002dB,-8.02549143693178e+000°)
1.25025903021771e+003	(-1.68622558102750e+002dB,-8.04400759186099e+000°)
1.25314117494141e+003	(-1.68461530584796e+002dB,-8.06256823161720e+000°)
1.25602996369487e+003	(-1.68300498298248e+002dB,-8.08117346703139e+000°)
1.25892541179416e+003	(-1.68139461220793e+002dB,-8.09982341031456e+000°)
1.26182753459066e+003	(-1.67978419330018e+002dB,-8.11851817269335e+000°)
1.26473634747115e+003	(-1.67817372603362e+002dB,-8.13725786713502e+000°)
1.26765186585784e+003	(-1.67656321018277e+002dB,-8.15604260571999e+000°)
1.27057410520854e+003	(-1.67495264551961e+002dB,-8.17487250169792e+000°)
1.27350308101666e+003	(-1.67334203181612e+002dB,-8.19374766816507e+000°)
1.27643880881134e+003	(-1.67173136884185e+002dB,-8.21266821893351e+000°)
1.27938130415752e+003	(-1.67012065636781e+002dB,-8.23163426757450e+000°)
1.28233058265601e+003	(-1.66850989416132e+002dB,-8.25064592868013e+000°)
1.28528665994361e+003	(-1.66689908198984e+002dB,-8.26970331672643e+000°)
1.28824955169313e+003	(-1.66528821961899e+002dB,-8.28880654694827e+000°)
1.29121927361353e+003	(-1.66367730681437e+002dB,-8.30795573462524e+000°)
1.29419584144998e+003	(-1.66206634334018e+002dB,-8.32715099480724e+000°)
1.29717927098395e+003	(-1.66045532895796e+002dB,-8.34639244406296e+000°)
1.30016957803328e+003	(-1.65884426343107e+002dB,-8.36568019815807e+000°)
1.30316677845229e+003	(-1.65723314651898e+002dB,-8.38501437434154e+000°)
1.30617088813183e+003	(-1.65562197798100e+002dB,-8.40439508970285e+000°)
