Freq.	V(vhp1)
1.00000000000000e+003	(-3.90723668110311e+001dB,1.79399654810763e+002°)
1.00230523807790e+003	(-3.90321290921016e+001dB,1.79398358388548e+002°)
1.00461579027840e+003	(-3.89918902724586e+001dB,1.79397058637699e+002°)
1.00693166885180e+003	(-3.89516503469500e+001dB,1.79395755550349e+002°)
1.00925288607668e+003	(-3.89114093103910e+001dB,1.79394449118591e+002°)
1.01157945425990e+003	(-3.88711671575863e+001dB,1.79393139334546e+002°)
1.01391138573668e+003	(-3.88309238833067e+001dB,1.79391826190258e+002°)
1.01624869287070e+003	(-3.87906794822963e+001dB,1.79390509677757e+002°)
1.01859138805412e+003	(-3.87504339492809e+001dB,1.79389189789069e+002°)
1.02093948370768e+003	(-3.87101872789580e+001dB,1.79387866516164e+002°)
1.02329299228075e+003	(-3.86699394660012e+001dB,1.79386539851011e+002°)
1.02565192625141e+003	(-3.86296905050604e+001dB,1.79385209785558e+002°)
1.02801629812647e+003	(-3.85894403907570e+001dB,1.79383876311692e+002°)
1.03038612044162e+003	(-3.85491891176858e+001dB,1.79382539421312e+002°)
1.03276140576140e+003	(-3.85089366804241e+001dB,1.79381199106283e+002°)
1.03514216667934e+003	(-3.84686830735136e+001dB,1.79379855358429e+002°)
1.03752841581801e+003	(-3.84284282914773e+001dB,1.79378508169562e+002°)
1.03992016582906e+003	(-3.83881723288115e+001dB,1.79377157531474e+002°)
1.04231742939330e+003	(-3.83479151799841e+001dB,1.79375803435917e+002°)
1.04472021922080e+003	(-3.83076568394347e+001dB,1.79374445874612e+002°)
1.04712854805090e+003	(-3.82673973015840e+001dB,1.79373084839275e+002°)
1.04954242865232e+003	(-3.82271365608195e+001dB,1.79371720321574e+002°)
1.05196187382322e+003	(-3.81868746115054e+001dB,1.79370352313186e+002°)
1.05438689639126e+003	(-3.81466114479793e+001dB,1.79368980805703e+002°)
1.05681750921366e+003	(-3.81063470645508e+001dB,1.79367605790749e+002°)
1.05925372517729e+003	(-3.80660814555041e+001dB,1.79366227259885e+002°)
1.06169555719872e+003	(-3.80258146150946e+001dB,1.79364845204662e+002°)
1.06414301822431e+003	(-3.79855465375525e+001dB,1.79363459616603e+002°)
1.06659612123026e+003	(-3.79452772170794e+001dB,1.79362070487198e+002°)
1.06905487922266e+003	(-3.79050066478480e+001dB,1.79360677807899e+002°)
1.07151930523761e+003	(-3.78647348240092e+001dB,1.79359281570178e+002°)
1.07398941234124e+003	(-3.78244617396767e+001dB,1.79357881765404e+002°)
1.07646521362983e+003	(-3.77841873889481e+001dB,1.79356478384993e+002°)
1.07894672222983e+003	(-3.77439117658822e+001dB,1.79355071420281e+002°)
1.08143395129794e+003	(-3.77036348645170e+001dB,1.79353660862620e+002°)
1.08392691402120e+003	(-3.76633566788579e+001dB,1.79352246703288e+002°)
1.08642562361706e+003	(-3.76230772028873e+001dB,1.79350828933582e+002°)
1.08893009333343e+003	(-3.75827964305490e+001dB,1.79349407544716e+002°)
1.09144033644875e+003	(-3.75425143557713e+001dB,1.79347982527935e+002°)
1.09395636627209e+003	(-3.75022309724442e+001dB,1.79346553874419e+002°)
1.09647819614318e+003	(-3.74619462744310e+001dB,1.79345121575324e+002°)
1.09900583943252e+003	(-3.74216602555694e+001dB,1.79343685621799e+002°)
1.10153930954141e+003	(-3.73813729096616e+001dB,1.79342246004938e+002°)
1.10407861990207e+003	(-3.73410842304864e+001dB,1.79340802715822e+002°)
1.10662378397766e+003	(-3.73007942117911e+001dB,1.79339355745484e+002°)
1.10917481526240e+003	(-3.72605028472902e+001dB,1.79337905084953e+002°)
1.11173172728159e+003	(-3.72202101306743e+001dB,1.79336450725233e+002°)
1.11429453359173e+003	(-3.71799160556001e+001dB,1.79334992657263e+002°)
1.11686324778056e+003	(-3.71396206156944e+001dB,1.79333530871983e+002°)
1.11943788346715e+003	(-3.70993238045547e+001dB,1.79332065360306e+002°)
1.12201845430196e+003	(-3.70590256157467e+001dB,1.79330596113083e+002°)
1.12460497396692e+003	(-3.70187260428106e+001dB,1.79329123121181e+002°)
1.12719745617551e+003	(-3.69784250792497e+001dB,1.79327646375404e+002°)
1.12979591467279e+003	(-3.69381227185370e+001dB,1.79326165866532e+002°)
1.13240036323555e+003	(-3.68978189541194e+001dB,1.79324681585330e+002°)
1.13501081567231e+003	(-3.68575137794108e+001dB,1.79323193522526e+002°)
1.13762728582343e+003	(-3.68172071877894e+001dB,1.79321701668794e+002°)
1.14024978756117e+003	(-3.67768991726085e+001dB,1.79320206014817e+002°)
1.14287833478977e+003	(-3.67365897271844e+001dB,1.79318706551231e+002°)
1.14551294144553e+003	(-3.66962788448046e+001dB,1.79317203268622e+002°)
1.14815362149688e+003	(-3.66559665187255e+001dB,1.79315696157587e+002°)
1.15080038894443e+003	(-3.66156527421678e+001dB,1.79314185208648e+002°)
1.15345325782109e+003	(-3.65753375083249e+001dB,1.79312670412341e+002°)
1.15611224219210e+003	(-3.65350208103537e+001dB,1.79311151759116e+002°)
1.15877735615512e+003	(-3.64947026413809e+001dB,1.79309629239449e+002°)
1.16144861384034e+003	(-3.64543829944978e+001dB,1.79308102843752e+002°)
1.16412602941049e+003	(-3.64140618627683e+001dB,1.79306572562413e+002°)
1.16680961706096e+003	(-3.63737392392174e+001dB,1.79305038385782e+002°)
1.16949939101987e+003	(-3.63334151168391e+001dB,1.79303500304191e+002°)
1.17219536554813e+003	(-3.62930894885970e+001dB,1.79301958307932e+002°)
1.17489755493953e+003	(-3.62527623474155e+001dB,1.79300412387261e+002°)
1.17760597352080e+003	(-3.62124336861895e+001dB,1.79298862532413e+002°)
1.18032063565173e+003	(-3.61721034977806e+001dB,1.79297308733585e+002°)
1.18304155572516e+003	(-3.61317717750135e+001dB,1.79295750980945e+002°)
1.18576874816716e+003	(-3.60914385106802e+001dB,1.79294189264622e+002°)
1.18850222743701e+003	(-3.60511036975381e+001dB,1.79292623574713e+002°)
1.19124200802737e+003	(-3.60107673283117e+001dB,1.79291053901291e+002°)
1.19398810446427e+003	(-3.59704293956886e+001dB,1.79289480234393e+002°)
1.19674053130724e+003	(-3.59300898923214e+001dB,1.79287902564012e+002°)
1.19949930314937e+003	(-3.58897488108287e+001dB,1.79286320880120e+002°)
1.20226443461741e+003	(-3.58494061437960e+001dB,1.79284735172660e+002°)
1.20503594037179e+003	(-3.58090618837722e+001dB,1.79283145431530e+002°)
1.20781383510678e+003	(-3.57687160232673e+001dB,1.79281551646604e+002°)
1.21059813355048e+003	(-3.57283685547585e+001dB,1.79279953807709e+002°)
1.21338885046497e+003	(-3.56880194706891e+001dB,1.79278351904651e+002°)
1.21618600064636e+003	(-3.56476687634622e+001dB,1.79276745927198e+002°)
1.21898959892486e+003	(-3.56073164254475e+001dB,1.79275135865085e+002°)
1.22179966016487e+003	(-3.55669624489764e+001dB,1.79273521708010e+002°)
1.22461619926504e+003	(-3.55266068263466e+001dB,1.79271903445640e+002°)
1.22743923115840e+003	(-3.54862495498161e+001dB,1.79270281067609e+002°)
1.23026877081238e+003	(-3.54458906116081e+001dB,1.79268654563514e+002°)
1.23310483322890e+003	(-3.54055300039065e+001dB,1.79267023922904e+002°)
1.23594743344450e+003	(-3.53651677188585e+001dB,1.79265389135315e+002°)
1.23879658653036e+003	(-3.53248037485767e+001dB,1.79263750190251e+002°)
1.24165230759241e+003	(-3.52844380851319e+001dB,1.79262107077151e+002°)
1.24451461177138e+003	(-3.52440707205602e+001dB,1.79260459785449e+002°)
1.24738351424294e+003	(-3.52037016468566e+001dB,1.79258808304515e+002°)
1.25025903021771e+003	(-3.51633308559797e+001dB,1.79257152623715e+002°)
1.25314117494141e+003	(-3.51229583398527e+001dB,1.79255492732353e+002°)
1.25602996369487e+003	(-3.50825840903529e+001dB,1.79253828619715e+002°)
1.25892541179416e+003	(-3.50422080993250e+001dB,1.79252160275037e+002°)
1.26182753459066e+003	(-3.50018303585717e+001dB,1.79250487687530e+002°)
1.26473634747115e+003	(-3.49614508598593e+001dB,1.79248810846368e+002°)
1.26765186585784e+003	(-3.49210695949116e+001dB,1.79247129740673e+002°)
1.27057410520854e+003	(-3.48806865554140e+001dB,1.79245444359554e+002°)
1.27350308101666e+003	(-3.48403017330125e+001dB,1.79243754692057e+002°)
1.27643880881134e+003	(-3.47999151193125e+001dB,1.79242060727216e+002°)
1.27938130415752e+003	(-3.47595267058790e+001dB,1.79240362454005e+002°)
1.28233058265601e+003	(-3.47191364842388e+001dB,1.79238659861386e+002°)
1.28528665994361e+003	(-3.46787444458756e+001dB,1.79236952938254e+002°)
1.28824955169313e+003	(-3.46383505822327e+001dB,1.79235241673488e+002°)
1.29121927361353e+003	(-3.45979548847141e+001dB,1.79233526055925e+002°)
1.29419584144998e+003	(-3.45575573446803e+001dB,1.79231806074364e+002°)
1.29717927098395e+003	(-3.45171579534523e+001dB,1.79230081717555e+002°)
