Freq.	V(vhp2)
1.00000000000000e+003	(-8.58351225531211e+001dB,-1.85983269366710e+000°)
1.00230523807790e+003	(-8.57546777068527e+001dB,-1.86394205000722e+000°)
1.00461579027840e+003	(-8.56742308028123e+001dB,-1.86806169274434e+000°)
1.00693166885180e+003	(-8.55937818313671e+001dB,-1.87219164654446e+000°)
1.00925288607668e+003	(-8.55133307828427e+001dB,-1.87633193615538e+000°)
1.01157945425990e+003	(-8.54328776475175e+001dB,-1.88048258639977e+000°)
1.01391138573668e+003	(-8.53524224156233e+001dB,-1.88464362217407e+000°)
1.01624869287070e+003	(-8.52719650773529e+001dB,-1.88881506844705e+000°)
1.01859138805412e+003	(-8.51915056228364e+001dB,-1.89299695026399e+000°)
1.02093948370768e+003	(-8.51110440421812e+001dB,-1.89718929275528e+000°)
1.02329299228075e+003	(-8.50305803254301e+001dB,-1.90139212112925e+000°)
1.02565192625141e+003	(-8.49501144625850e+001dB,-1.90560546065155e+000°)
1.02801629812647e+003	(-8.48696464436001e+001dB,-1.90982933668025e+000°)
1.03038612044162e+003	(-8.47891762583847e+001dB,-1.91406377464315e+000°)
1.03276140576140e+003	(-8.47087038967945e+001dB,-1.91830880005145e+000°)
1.03514216667934e+003	(-8.46282293486453e+001dB,-1.92256443848962e+000°)
1.03752841581801e+003	(-8.45477526036972e+001dB,-1.92683071562298e+000°)
1.03992016582906e+003	(-8.44672736516696e+001dB,-1.93110765719632e+000°)
1.04231742939330e+003	(-8.43867924822288e+001dB,-1.93539528902905e+000°)
1.04472021922080e+003	(-8.43063090849917e+001dB,-1.93969363701970e+000°)
1.04712854805090e+003	(-8.42258234495326e+001dB,-1.94400272714192e+000°)
1.04954242865232e+003	(-8.41453355653677e+001dB,-1.94832258547434e+000°)
1.05196187382322e+003	(-8.40648454219698e+001dB,-1.95265323813197e+000°)
1.05438689639126e+003	(-8.39843530087607e+001dB,-1.95699471135005e+000°)
1.05681750921366e+003	(-8.39038583151128e+001dB,-1.96134703141816e+000°)
1.05925372517729e+003	(-8.38233613303457e+001dB,-1.96571022472101e+000°)
1.06169555719872e+003	(-8.37428620437336e+001dB,-1.97008431771722e+000°)
1.06414301822431e+003	(-8.36623604444977e+001dB,-1.97446933695534e+000°)
1.06659612123026e+003	(-8.35818565218059e+001dB,-1.97886530904585e+000°)
1.06905487922266e+003	(-8.35013502647786e+001dB,-1.98327226071219e+000°)
1.07151930523761e+003	(-8.34208416624836e+001dB,-1.98769021872332e+000°)
1.07398941234124e+003	(-8.33403307039329e+001dB,-1.99211920996895e+000°)
1.07646521362983e+003	(-8.32598173780975e+001dB,-1.99655926138072e+000°)
1.07894672222983e+003	(-8.31793016738856e+001dB,-2.00101040001847e+000°)
1.08143395129794e+003	(-8.30987835801577e+001dB,-2.00547265297984e+000°)
1.08392691402120e+003	(-8.30182630857202e+001dB,-2.00994604748410e+000°)
1.08642562361706e+003	(-8.29377401793314e+001dB,-2.01443061081935e+000°)
1.08893009333343e+003	(-8.28572148496878e+001dB,-2.01892637034826e+000°)
1.09144033644875e+003	(-8.27766870854393e+001dB,-2.02343335353238e+000°)
1.09395636627209e+003	(-8.26961568751818e+001dB,-2.02795158792262e+000°)
1.09647819614318e+003	(-8.26156242074549e+001dB,-2.03248110114064e+000°)
1.09900583943252e+003	(-8.25350890707473e+001dB,-2.03702192089223e+000°)
1.10153930954141e+003	(-8.24545514534866e+001dB,-2.04157407499043e+000°)
1.10407861990207e+003	(-8.23740113440540e+001dB,-2.04613759131475e+000°)
1.10662378397766e+003	(-8.22934687307708e+001dB,-2.05071249784709e+000°)
1.10917481526240e+003	(-8.22129236019026e+001dB,-2.05529882263381e+000°)
1.11173172728159e+003	(-8.21323759456644e+001dB,-2.05989659383089e+000°)
1.11429453359173e+003	(-8.20518257502126e+001dB,-2.06450583967256e+000°)
1.11686324778056e+003	(-8.19712730036445e+001dB,-2.06912658848835e+000°)
1.11943788346715e+003	(-8.18907176940059e+001dB,-2.07375886868398e+000°)
1.12201845430196e+003	(-8.18101598092823e+001dB,-2.07840270875883e+000°)
1.12460497396692e+003	(-8.17295993374083e+001dB,-2.08305813731224e+000°)
1.12719745617551e+003	(-8.16490362662539e+001dB,-2.08772518302044e+000°)
1.12979591467279e+003	(-8.15684705836374e+001dB,-2.09240387464991e+000°)
1.13240036323555e+003	(-8.14879022773163e+001dB,-2.09709424106340e+000°)
1.13501081567231e+003	(-8.14073313349888e+001dB,-2.10179631120756e+000°)
1.13762728582343e+003	(-8.13267577443015e+001dB,-2.10651011414132e+000°)
1.14024978756117e+003	(-8.12461814928349e+001dB,-2.11123567897671e+000°)
1.14287833478977e+003	(-8.11656025681181e+001dB,-2.11597303494803e+000°)
1.14551294144553e+003	(-8.10850209576129e+001dB,-2.12072221137596e+000°)
1.14815362149688e+003	(-8.10044366487297e+001dB,-2.12548323766744e+000°)
1.15080038894443e+003	(-8.09238496288134e+001dB,-2.13025614331930e+000°)
1.15345325782109e+003	(-8.08432598851513e+001dB,-2.13504095793743e+000°)
1.15611224219210e+003	(-8.07626674049696e+001dB,-2.13983771120805e+000°)
1.15877735615512e+003	(-8.06820721754350e+001dB,-2.14464643290901e+000°)
1.16144861384034e+003	(-8.06014741836545e+001dB,-2.14946715291570e+000°)
1.16412602941049e+003	(-8.05208734166719e+001dB,-2.15429990121836e+000°)
1.16680961706096e+003	(-8.04402698614695e+001dB,-2.15914470786859e+000°)
1.16949939101987e+003	(-8.03596635049711e+001dB,-2.16400160303397e+000°)
1.17219536554813e+003	(-8.02790543340304e+001dB,-2.16887061696576e+000°)
1.17489755493953e+003	(-8.01984423354499e+001dB,-2.17375178002958e+000°)
1.17760597352080e+003	(-8.01178274959613e+001dB,-2.17864512267716e+000°)
1.18032063565173e+003	(-8.00372098022375e+001dB,-2.18355067544867e+000°)
1.18304155572516e+003	(-7.99565892408862e+001dB,-2.18846846899719e+000°)
1.18576874816716e+003	(-7.98759657984522e+001dB,-2.19339853406530e+000°)
1.18850222743701e+003	(-7.97953394614167e+001dB,-2.19834090149259e+000°)
1.19124200802737e+003	(-7.97147102161929e+001dB,-2.20329560223020e+000°)
1.19398810446427e+003	(-7.96340780491392e+001dB,-2.20826266730347e+000°)
1.19674053130724e+003	(-7.95534429465392e+001dB,-2.21324212786024e+000°)
1.19949930314937e+003	(-7.94728048946127e+001dB,-2.21823401514185e+000°)
1.20226443461741e+003	(-7.93921638795216e+001dB,-2.22323836048383e+000°)
1.20503594037179e+003	(-7.93115198873553e+001dB,-2.22825519533310e+000°)
1.20781383510678e+003	(-7.92308729041386e+001dB,-2.23328455121420e+000°)
1.21059813355048e+003	(-7.91502229158280e+001dB,-2.23832645978637e+000°)
1.21338885046497e+003	(-7.90695699083191e+001dB,-2.24338095279362e+000°)
1.21618600064636e+003	(-7.89889138674339e+001dB,-2.24844806208042e+000°)
1.21898959892486e+003	(-7.89082547789303e+001dB,-2.25352781959508e+000°)
1.22179966016487e+003	(-7.88275926285009e+001dB,-2.25862025739028e+000°)
1.22461619926504e+003	(-7.87469274017630e+001dB,-2.26372540762524e+000°)
1.22743923115840e+003	(-7.86662590842722e+001dB,-2.26884330256569e+000°)
1.23026877081238e+003	(-7.85855876615138e+001dB,-2.27397397456958e+000°)
1.23310483322890e+003	(-7.85049131189020e+001dB,-2.27911745611562e+000°)
1.23594743344450e+003	(-7.84242354417829e+001dB,-2.28427377977222e+000°)
1.23879658653036e+003	(-7.83435546154344e+001dB,-2.28944297822905e+000°)
1.24165230759241e+003	(-7.82628706250608e+001dB,-2.29462508426973e+000°)
1.24451461177138e+003	(-7.81821834557997e+001dB,-2.29982013078138e+000°)
1.24738351424294e+003	(-7.81014930927157e+001dB,-2.30502815078760e+000°)
1.25025903021771e+003	(-7.80207995208031e+001dB,-2.31024917737829e+000°)
1.25314117494141e+003	(-7.79401027249840e+001dB,-2.31548324378458e+000°)
1.25602996369487e+003	(-7.78594026901100e+001dB,-2.32073038332875e+000°)
1.25892541179416e+003	(-7.77786994009590e+001dB,-2.32599062944826e+000°)
