Freq.	V(n006)
1.00000000000000e+003	(-1.31346405551494e+002dB,1.76084738863916e+002°)
1.00230523807790e+003	(-1.31225820466654e+002dB,1.76075860170739e+002°)
1.00461579027840e+003	(-1.31105232675315e+002dB,1.76066959951964e+002°)
1.00693166885180e+003	(-1.30984642164832e+002dB,1.76058038155151e+002°)
1.00925288607668e+003	(-1.30864048922511e+002dB,1.76049094728119e+002°)
1.01157945425990e+003	(-1.30743452935601e+002dB,1.76040129618235e+002°)
1.01391138573668e+003	(-1.30622854191268e+002dB,1.76031142772746e+002°)
1.01624869287070e+003	(-1.30502252676650e+002dB,1.76022134139031e+002°)
1.01859138805412e+003	(-1.30381648378815e+002dB,1.76013103663904e+002°)
1.02093948370768e+003	(-1.30261041284744e+002dB,1.76004051294418e+002°)
1.02329299228075e+003	(-1.30140431381395e+002dB,1.75994976977155e+002°)
1.02565192625141e+003	(-1.30019818655650e+002dB,1.75985880658749e+002°)
1.02801629812647e+003	(-1.29899203094313e+002dB,1.75976762285479e+002°)
1.03038612044162e+003	(-1.29778584684158e+002dB,1.75967621803828e+002°)
1.03276140576140e+003	(-1.29657963411873e+002dB,1.75958459159656e+002°)
1.03514216667934e+003	(-1.29537339264078e+002dB,1.75949274299048e+002°)
1.03752841581801e+003	(-1.29416712227360e+002dB,1.75940067167731e+002°)
1.03992016582906e+003	(-1.29296082288212e+002dB,1.75930837711350e+002°)
1.04231742939330e+003	(-1.29175449433084e+002dB,1.75921585875359e+002°)
1.04472021922080e+003	(-1.29054813648355e+002dB,1.75912311605077e+002°)
1.04712854805090e+003	(-1.28934174920343e+002dB,1.75903014845652e+002°)
1.04954242865232e+003	(-1.28813533235284e+002dB,1.75893695542184e+002°)
1.05196187382322e+003	(-1.28692888579379e+002dB,1.75884353639329e+002°)
1.05438689639126e+003	(-1.28572240938742e+002dB,1.75874989081842e+002°)
1.05681750921366e+003	(-1.28451590299435e+002dB,1.75865601814275e+002°)
1.05925372517729e+003	(-1.28330936647448e+002dB,1.75856191780828e+002°)
1.06169555719872e+003	(-1.28210279968694e+002dB,1.75846758925885e+002°)
1.06414301822431e+003	(-1.28089620249054e+002dB,1.75837303193379e+002°)
1.06659612123026e+003	(-1.27968957474295e+002dB,1.75827824527171e+002°)
1.06905487922266e+003	(-1.27848291630156e+002dB,1.75818322871010e+002°)
1.07151930523761e+003	(-1.27727622702298e+002dB,1.75808798168370e+002°)
1.07398941234124e+003	(-1.27606950676296e+002dB,1.75799250362626e+002°)
1.07646521362983e+003	(-1.27486275537692e+002dB,1.75789679397068e+002°)
1.07894672222983e+003	(-1.27365597271927e+002dB,1.75780085214605e+002°)
1.08143395129794e+003	(-1.27244915864394e+002dB,1.75770467758149e+002°)
1.08392691402120e+003	(-1.27124231300409e+002dB,1.75760826970411e+002°)
1.08642562361706e+003	(-1.27003543565221e+002dB,1.75751162793998e+002°)
1.08893009333343e+003	(-1.26882852644003e+002dB,1.75741475171175e+002°)
1.09144033644875e+003	(-1.26762158521873e+002dB,1.75731764044162e+002°)
1.09395636627209e+003	(-1.26641461183865e+002dB,1.75722029355024e+002°)
1.09647819614318e+003	(-1.26520760614948e+002dB,1.75712271045592e+002°)
1.09900583943252e+003	(-1.26400056800021e+002dB,1.75702489057577e+002°)
1.10153930954141e+003	(-1.26279349723911e+002dB,1.75692683332405e+002°)
1.10407861990207e+003	(-1.26158639371372e+002dB,1.75682853811531e+002°)
1.10662378397766e+003	(-1.26037925727088e+002dB,1.75673000436086e+002°)
1.10917481526240e+003	(-1.25917208775671e+002dB,1.75663123146971e+002°)
1.11173172728159e+003	(-1.25796488501662e+002dB,1.75653221885118e+002°)
1.11429453359173e+003	(-1.25675764889523e+002dB,1.75643296591135e+002°)
1.11686324778056e+003	(-1.25555037923645e+002dB,1.75633347205481e+002°)
1.11943788346715e+003	(-1.25434307588350e+002dB,1.75623373668471e+002°)
1.12201845430196e+003	(-1.25313573867887e+002dB,1.75613375920116e+002°)
1.12460497396692e+003	(-1.25192836746421e+002dB,1.75603353900557e+002°)
1.12719745617551e+003	(-1.25072096208057e+002dB,1.75593307549367e+002°)
1.12979591467279e+003	(-1.24951352236807e+002dB,1.75583236806120e+002°)
1.13240036323555e+003	(-1.24830604816621e+002dB,1.75573141610392e+002°)
1.13501081567231e+003	(-1.24709853931364e+002dB,1.75563021901196e+002°)
1.13762728582343e+003	(-1.24589099564840e+002dB,1.75552877617707e+002°)
1.14024978756117e+003	(-1.24468341700760e+002dB,1.75542708698637e+002°)
1.14287833478977e+003	(-1.24347580322771e+002dB,1.75532515082876e+002°)
1.14551294144553e+003	(-1.24226815414429e+002dB,1.75522296708761e+002°)
