Freq.	V(n011)
1.00000000000000e+003	(-2.36344691101922e+002dB,1.70578963223213e+002°)
1.00230523807790e+003	(-2.36144027099648e+002dB,1.70557367525362e+002°)
1.00461579027840e+003	(-2.35943360026991e+002dB,1.70535720743980e+002°)
1.00693166885180e+003	(-2.35742689870004e+002dB,1.70514022756883e+002°)
1.00925288607668e+003	(-2.35542016614101e+002dB,1.70492273441390e+002°)
1.01157945425990e+003	(-2.35341340244868e+002dB,1.70470472675233e+002°)
1.01391138573668e+003	(-2.35140660747950e+002dB,1.70448620335936e+002°)
1.01624869287070e+003	(-2.34939978108552e+002dB,1.70426716299766e+002°)
1.01859138805412e+003	(-2.34739292312213e+002dB,1.70404760444304e+002°)
1.02093948370768e+003	(-2.34538603343914e+002dB,1.70382752643933e+002°)
1.02329299228075e+003	(-2.34337911189117e+002dB,1.70360692775521e+002°)
1.02565192625141e+003	(-2.34137215833014e+002dB,1.70338580714480e+002°)
1.02801629812647e+003	(-2.33936517260550e+002dB,1.70316416336486e+002°)
1.03038612044162e+003	(-2.33735815456582e+002dB,1.70294199515188e+002°)
1.03276140576140e+003	(-2.33535110406505e+002dB,1.70271930126723e+002°)
1.03514216667934e+003	(-2.33334402094694e+002dB,1.70249608043832e+002°)
1.03752841581801e+003	(-2.33133690506245e+002dB,1.70227233140857e+002°)
1.03992016582906e+003	(-2.32932975625712e+002dB,1.70204805291543e+002°)
1.04231742939330e+003	(-2.32732257437945e+002dB,1.70182324369059e+002°)
1.04472021922080e+003	(-2.32531535927333e+002dB,1.70159790246104e+002°)
1.04712854805090e+003	(-2.32330811078477e+002dB,1.70137202795384e+002°)
1.04954242865232e+003	(-2.32130082875678e+002dB,1.70114561888088e+002°)
1.05196187382322e+003	(-2.31929351303461e+002dB,1.70091867397112e+002°)
1.05438689639126e+003	(-2.31728616346079e+002dB,1.70069119194164e+002°)
1.05681750921366e+003	(-2.31527877987623e+002dB,1.70046317149387e+002°)
1.05925372517729e+003	(-2.31327136212529e+002dB,1.70023461135010e+002°)
1.06169555719872e+003	(-2.31126391004586e+002dB,1.70000551019475e+002°)
1.06414301822431e+003	(-2.30925642347848e+002dB,1.69977586674398e+002°)
1.06659612123026e+003	(-2.30724890226232e+002dB,1.69954567969289e+002°)
1.06905487922266e+003	(-2.30524134623615e+002dB,1.69931494773027e+002°)
1.07151930523761e+003	(-2.30323375523760e+002dB,1.69908366955044e+002°)
1.07398941234124e+003	(-2.30122612910271e+002dB,1.69885184384696e+002°)
1.07646521362983e+003	(-2.29921846766816e+002dB,1.69861946929366e+002°)
1.07894672222983e+003	(-2.29721077076970e+002dB,1.69838654457492e+002°)
1.08143395129794e+003	(-2.29520303824264e+002dB,1.69815306836684e+002°)
1.08392691402120e+003	(-2.29319526991929e+002dB,1.69791903934260e+002°)
1.08642562361706e+003	(-2.29118746563288e+002dB,1.69768445616895e+002°)
1.08893009333343e+003	(-2.28917962521519e+002dB,1.69744931751497e+002°)
1.09144033644875e+003	(-2.28717174850038e+002dB,1.69721362204656e+002°)
1.09395636627209e+003	(-2.28516383531653e+002dB,1.69697736842122e+002°)
1.09647819614318e+003	(-2.28315588549394e+002dB,1.69674055528619e+002°)
1.09900583943252e+003	(-2.28114789886157e+002dB,1.69650318129877e+002°)
1.10153930954141e+003	(-2.27913987524839e+002dB,1.69626524510863e+002°)
1.10407861990207e+003	(-2.27713181448172e+002dB,1.69602674535375e+002°)
1.10662378397766e+003	(-2.27512371638712e+002dB,1.69578768068456e+002°)
1.10917481526240e+003	(-2.27311558079236e+002dB,1.69554804972968e+002°)
1.11173172728159e+003	(-2.27110740752087e+002dB,1.69530785112278e+002°)
1.11429453359173e+003	(-2.26909919639787e+002dB,1.69506708350258e+002°)
1.11686324778056e+003	(-2.26709094724626e+002dB,1.69482574548381e+002°)
1.11943788346715e+003	(-2.26508265988773e+002dB,1.69458383569044e+002°)
1.12201845430196e+003	(-2.26307433414625e+002dB,1.69434135275098e+002°)
1.12460497396692e+003	(-2.26106596983988e+002dB,1.69409829526941e+002°)
1.12719745617551e+003	(-2.25905756679097e+002dB,1.69385466185912e+002°)
1.12979591467279e+003	(-2.25704912481779e+002dB,1.69361045113139e+002°)
1.13240036323555e+003	(-2.25504064373841e+002dB,1.69336566168618e+002°)
1.13501081567231e+003	(-2.25303212337128e+002dB,1.69312029212372e+002°)
1.13762728582343e+003	(-2.25102356353199e+002dB,1.69287434104043e+002°)
1.14024978756117e+003	(-2.24901496403663e+002dB,1.69262780702927e+002°)
1.14287833478977e+003	(-2.24700632470049e+002dB,1.69238068867935e+002°)
1.14551294144553e+003	(-2.24499764533677e+002dB,1.69213298456907e+002°)
1.14815362149688e+003	(-2.24298892575944e+002dB,1.69188469328260e+002°)
1.15080038894443e+003	(-2.24098016577980e+002dB,1.69163581339944e+002°)
1.15345325782109e+003	(-2.23897136520974e+002dB,1.69138634348791e+002°)
1.15611224219210e+003	(-2.23696252386068e+002dB,1.69113628212132e+002°)
1.15877735615512e+003	(-2.23495364154219e+002dB,1.69088562786719e+002°)
1.16144861384034e+003	(-2.23294471806143e+002dB,1.69063437927747e+002°)
1.16412602941049e+003	(-2.23093575322675e+002dB,1.69038253491400e+002°)
1.16680961706096e+003	(-2.22892674684598e+002dB,1.69013009332911e+002°)
1.16949939101987e+003	(-2.22691769872313e+002dB,1.68987705307499e+002°)
1.17219536554813e+003	(-2.22490860866624e+002dB,1.68962341269784e+002°)
1.17489755493953e+003	(-2.22289947647742e+002dB,1.68936917073312e+002°)
1.17760597352080e+003	(-2.22089030196076e+002dB,1.68911432572772e+002°)
1.18032063565173e+003	(-2.21888108491768e+002dB,1.68885887620399e+002°)
1.18304155572516e+003	(-2.21687182515047e+002dB,1.68860282069782e+002°)
1.18576874816716e+003	(-2.21486252245908e+002dB,1.68834615773407e+002°)
1.18850222743701e+003	(-2.21285317664340e+002dB,1.68808888583067e+002°)
1.19124200802737e+003	(-2.21084378750223e+002dB,1.68783100351249e+002°)
1.19398810446427e+003	(-2.20883435483189e+002dB,1.68757250928535e+002°)
1.19674053130724e+003	(-2.20682487843032e+002dB,1.68731340165830e+002°)
1.19949930314937e+003	(-2.20481535809311e+002dB,1.68705367914520e+002°)
1.20226443461741e+003	(-2.20280579361453e+002dB,1.68679334023350e+002°)
1.20503594037179e+003	(-2.20079618478875e+002dB,1.68653238343521e+002°)
1.20781383510678e+003	(-2.19878653140820e+002dB,1.68627080723054e+002°)
1.21059813355048e+003	(-2.19677683326491e+002dB,1.68600861011001e+002°)
1.21338885046497e+003	(-2.19476709015012e+002dB,1.68574579056062e+002°)
1.21618600064636e+003	(-2.19275730185340e+002dB,1.68548234706538e+002°)
1.21898959892486e+003	(-2.19074746816360e+002dB,1.68521827809673e+002°)
1.22179966016487e+003	(-2.18873758886755e+002dB,1.68495358212234e+002°)
1.22461619926504e+003	(-2.18672766375394e+002dB,1.68468825761856e+002°)
1.22743923115840e+003	(-2.18471769260817e+002dB,1.68442230304411e+002°)
1.23026877081238e+003	(-2.18270767521434e+002dB,1.68415571685311e+002°)
1.23310483322890e+003	(-2.18069761135728e+002dB,1.68388849750917e+002°)
1.23594743344450e+003	(-2.17868750081887e+002dB,1.68362064345785e+002°)
1.23879658653036e+003	(-2.17667734338111e+002dB,1.68335215314364e+002°)
1.24165230759241e+003	(-2.17466713882568e+002dB,1.68308302501770e+002°)
1.24451461177138e+003	(-2.17265688693134e+002dB,1.68281325750431e+002°)
1.24738351424294e+003	(-2.17064658747699e+002dB,1.68254284904358e+002°)
1.25025903021771e+003	(-2.16863624024065e+002dB,1.68227179806384e+002°)
1.25314117494141e+003	(-2.16662584499837e+002dB,1.68200010298721e+002°)
1.25602996369487e+003	(-2.16461540152614e+002dB,1.68172776223836e+002°)
1.25892541179416e+003	(-2.16260490959839e+002dB,1.68145477422697e+002°)
1.26182753459066e+003	(-2.16059436898857e+002dB,1.68118113737119e+002°)
