Freq.	V(vo)
1.00000000000000e+003	(-3.06628350898192e+002dB,-1.26261275993732e+001°)
1.00230523807790e+003	(-3.06387713344540e+002dB,-1.26551040249098e+001°)
1.00461579027840e+003	(-3.06147072842752e+002dB,-1.26841485487372e+001°)
1.00693166885180e+003	(-3.05906429378737e+002dB,-1.27132613260370e+001°)
1.00925288607668e+003	(-3.05665782939428e+002dB,-1.27424425231865e+001°)
1.01157945425990e+003	(-3.05425133510973e+002dB,-1.27716923006637e+001°)
1.01391138573668e+003	(-3.05184481078846e+002dB,-1.28010108198173e+001°)
1.01624869287070e+003	(-3.04943825628607e+002dB,-1.28303982440962e+001°)
1.01859138805412e+003	(-3.04703167147628e+002dB,-1.28598547340688e+001°)
1.02093948370768e+003	(-3.04462505619735e+002dB,-1.28893804582723e+001°)
1.02329299228075e+003	(-3.04221841032980e+002dB,-1.29189755762708e+001°)
1.02565192625141e+003	(-3.03981173371712e+002dB,-1.29486402556614e+001°)
1.02801629812647e+003	(-3.03740502622599e+002dB,-1.29783746571952e+001°)
1.03038612044162e+003	(-3.03499828769314e+002dB,-1.30081789480357e+001°)
1.03276140576140e+003	(-3.03259151799700e+002dB,-1.30380532937378e+001°)
1.03514216667934e+003	(-3.03018471697350e+002dB,-1.30679978599275e+001°)
1.03752841581801e+003	(-3.02777788448904e+002dB,-1.30980128147653e+001°)
1.03992016582906e+003	(-3.02537102039117e+002dB,-1.31280983228367e+001°)
1.04231742939330e+003	(-3.02296412453645e+002dB,-1.31582545536994e+001°)
1.04472021922080e+003	(-3.02055719676786e+002dB,-1.31884816710619e+001°)
1.04712854805090e+003	(-3.01815023694673e+002dB,-1.32187798474926e+001°)
1.04954242865232e+003	(-3.01574324491579e+002dB,-1.32491492488640e+001°)
1.05196187382322e+003	(-3.01333622053379e+002dB,-1.32795900455130e+001°)
1.05438689639126e+003	(-3.01092916364052e+002dB,-1.33101024052237e+001°)
1.05681750921366e+003	(-3.00852207408771e+002dB,-1.33406865007342e+001°)
1.05925372517729e+003	(-3.00611495173190e+002dB,-1.33713424987884e+001°)
1.06169555719872e+003	(-3.00370779640287e+002dB,-1.34020705734865e+001°)
1.06414301822431e+003	(-3.00130060795837e+002dB,-1.34328708918717e+001°)
1.06659612123026e+003	(-2.99889338623915e+002dB,-1.34637436299976e+001°)
1.06905487922266e+003	(-2.99648613109291e+002dB,-1.34946889576337e+001°)
1.07151930523761e+003	(-2.99407884236241e+002dB,-1.35257070479128e+001°)
1.07398941234124e+003	(-2.99167151989156e+002dB,-1.35567980721284e+001°)
1.07646521362983e+003	(-2.98926416352202e+002dB,-1.35879622064672e+001°)
1.07894672222983e+003	(-2.98685677309904e+002dB,-1.36191996223528e+001°)
1.08143395129794e+003	(-2.98444934845594e+002dB,-1.36505104952370e+001°)
1.08392691402120e+003	(-2.98204188944404e+002dB,-1.36818949996637e+001°)
1.08642562361706e+003	(-2.97963439589236e+002dB,-1.37133533110387e+001°)
1.08893009333343e+003	(-2.97722686764435e+002dB,-1.37448856045308e+001°)
1.09144033644875e+003	(-2.97481930453682e+002dB,-1.37764920564716e+001°)
1.09395636627209e+003	(-2.97241170641352e+002dB,-1.38081728440137e+001°)
1.09647819614318e+003	(-2.97000407310234e+002dB,-1.38399281426473e+001°)
1.09900583943252e+003	(-2.96759640443943e+002dB,-1.38717581318163e+001°)
1.10153930954141e+003	(-2.96518870026519e+002dB,-1.39036629868787e+001°)
1.10407861990207e+003	(-2.96278096041328e+002dB,-1.39356428897617e+001°)
1.10662378397766e+003	(-2.96037318471444e+002dB,-1.39676980147632e+001°)
1.10917481526240e+003	(-2.95796537300206e+002dB,-1.39998285449827e+001°)
1.11173172728159e+003	(-2.95555752510694e+002dB,-1.40320346587349e+001°)
1.11429453359173e+003	(-2.95314964086505e+002dB,-1.40643165380486e+001°)
1.11686324778056e+003	(-2.95074172009748e+002dB,-1.40966743594220e+001°)
1.11943788346715e+003	(-2.94833376264226e+002dB,-1.41291083086403e+001°)
1.12201845430196e+003	(-2.94592576832465e+002dB,-1.41616185649135e+001°)
1.12460497396692e+003	(-2.94351773697237e+002dB,-1.41942053111411e+001°)
1.12719745617551e+003	(-2.94110966841366e+002dB,-1.42268687290019e+001°)
1.12979591467279e+003	(-2.93870156247483e+002dB,-1.42596090021042e+001°)
1.13240036323555e+003	(-2.93629341898072e+002dB,-1.42924263143711e+001°)
1.13501081567231e+003	(-2.93388523775893e+002dB,-1.43253208494263e+001°)
1.13762728582343e+003	(-2.93147701862538e+002dB,-1.43582927928179e+001°)
1.14024978756117e+003	(-2.92906876141004e+002dB,-1.43913423272684e+001°)
1.14287833478977e+003	(-2.92666046593552e+002dB,-1.44244696405130e+001°)
1.14551294144553e+003	(-2.92425213201778e+002dB,-1.44576749183021e+001°)
1.14815362149688e+003	(-2.92184375948197e+002dB,-1.44909583454957e+001°)
1.15080038894443e+003	(-2.91943534814204e+002dB,-1.45243201099349e+001°)
1.15345325782109e+003	(-2.91702689782148e+002dB,-1.45577603999488e+001°)
1.15611224219210e+003	(-2.91461840834173e+002dB,-1.45912794020043e+001°)
1.15877735615512e+003	(-2.91220987951401e+002dB,-1.46248773052219e+001°)
1.16144861384034e+003	(-2.90980131115689e+002dB,-1.46585542983719e+001°)
1.16412602941049e+003	(-2.90739270308434e+002dB,-1.46923105708766e+001°)
1.16680961706096e+003	(-2.90498405510858e+002dB,-1.47261463126915e+001°)
1.16949939101987e+003	(-2.90257536704860e+002dB,-1.47600617144623e+001°)
1.17219536554813e+003	(-2.90016663871604e+002dB,-1.47940569668851e+001°)
1.17489755493953e+003	(-2.89775786992118e+002dB,-1.48281322611758e+001°)
1.17760597352080e+003	(-2.89534906047188e+002dB,-1.48622877878441e+001°)
1.18032063565173e+003	(-2.89294021018278e+002dB,-1.48965237419696e+001°)
1.18304155572516e+003	(-2.89053131886066e+002dB,-1.49308403150379e+001°)
1.18576874816716e+003	(-2.88812238631646e+002dB,-1.49652377014154e+001°)
1.18850222743701e+003	(-2.88571341235479e+002dB,-1.49997160945868e+001°)
1.19124200802737e+003	(-2.88330439678568e+002dB,-1.50342756872885e+001°)
1.19398810446427e+003	(-2.88089533941105e+002dB,-1.50689166758376e+001°)
1.19674053130724e+003	(-2.87848624003310e+002dB,-1.51036392563396e+001°)
1.19949930314937e+003	(-2.87607709846264e+002dB,-1.51384436241670e+001°)
1.20226443461741e+003	(-2.87366791449928e+002dB,-1.51733299761399e+001°)
1.20503594037179e+003	(-2.87125868794396e+002dB,-1.52082985080434e+001°)
1.20781383510678e+003	(-2.86884941859506e+002dB,-1.52433494186453e+001°)
1.21059813355048e+003	(-2.86644010626042e+002dB,-1.52784829067946e+001°)
1.21338885046497e+003	(-2.86403075073209e+002dB,-1.53136991689064e+001°)
1.21618600064636e+003	(-2.86162135180987e+002dB,-1.53489984051034e+001°)
1.21898959892486e+003	(-2.85921190929095e+002dB,-1.53843808154824e+001°)
1.22179966016487e+003	(-2.85680242297467e+002dB,-1.54198465998971e+001°)
1.22461619926504e+003	(-2.85439289264980e+002dB,-1.54553959584039e+001°)
1.22743923115840e+003	(-2.85198331811662e+002dB,-1.54910290933495e+001°)
1.23026877081238e+003	(-2.84957369916542e+002dB,-1.55267462050481e+001°)
1.23310483322890e+003	(-2.84716403558709e+002dB,-1.55625474975108e+001°)
