Freq.	V(vout)/V(vin)
1.00000000000000e+002	(8.28696392726172e+001dB,9.76589033561068e+001°)
1.00230523807790e+002	(8.28500727623829e+001dB,9.76375043685786e+001°)
1.00461579027840e+002	(8.28305042411291e+001dB,9.76161432576828e+001°)
1.00693166885180e+002	(8.28109337174041e+001dB,9.75948199277602e+001°)
1.00925288607668e+002	(8.27913611997189e+001dB,9.75735342832367e+001°)
1.01157945425990e+002	(8.27717866965477e+001dB,9.75522862286231e+001°)
1.01391138573668e+002	(8.27522102163278e+001dB,9.75310756685153e+001°)
1.01624869287070e+002	(8.27326317674598e+001dB,9.75099025075953e+001°)
1.01859138805412e+002	(8.27130513583076e+001dB,9.74887666506302e+001°)
1.02093948370768e+002	(8.26934689971989e+001dB,9.74676680024734e+001°)
1.02329299228075e+002	(8.26738846924249e+001dB,9.74466064680645e+001°)
1.02565192625141e+002	(8.26542984522408e+001dB,9.74255819524293e+001°)
1.02801629812647e+002	(8.26347102848655e+001dB,9.74045943606804e+001°)
1.03038612044162e+002	(8.26151201984821e+001dB,9.73836435980170e+001°)
1.03276140576140e+002	(8.25955282012382e+001dB,9.73627295697255e+001°)
1.03514216667934e+002	(8.25759343012453e+001dB,9.73418521811792e+001°)
1.03752841581801e+002	(8.25563385065795e+001dB,9.73210113378389e+001°)
1.03992016582906e+002	(8.25367408252818e+001dB,9.73002069452531e+001°)
1.04231742939330e+002	(8.25171412653575e+001dB,9.72794389090579e+001°)
1.04472021922080e+002	(8.24975398347770e+001dB,9.72587071349772e+001°)
1.04712854805090e+002	(8.24779365414756e+001dB,9.72380115288233e+001°)
1.04954242865232e+002	(8.24583313933539e+001dB,9.72173519964965e+001°)
1.05196187382322e+002	(8.24387243982775e+001dB,9.71967284439857e+001°)
1.05438689639126e+002	(8.24191155640775e+001dB,9.71761407773682e+001°)
1.05681750921366e+002	(8.23995048985504e+001dB,9.71555889028104e+001°)
1.05925372517729e+002	(8.23798924094585e+001dB,9.71350727265672e+001°)
1.06169555719872e+002	(8.23602781045296e+001dB,9.71145921549828e+001°)
1.06414301822431e+002	(8.23406619914575e+001dB,9.70941470944908e+001°)
1.06659612123026e+002	(8.23210440779020e+001dB,9.70737374516137e+001°)
1.06905487922266e+002	(8.23014243714891e+001dB,9.70533631329640e+001°)
1.07151930523760e+002	(8.22818028798109e+001dB,9.70330240452435e+001°)
1.07398941234124e+002	(8.22621796104258e+001dB,9.70127200952439e+001°)
1.07646521362983e+002	(8.22425545708590e+001dB,9.69924511898470e+001°)
1.07894672222983e+002	(8.22229277686020e+001dB,9.69722172360244e+001°)
1.08143395129794e+002	(8.22032992111131e+001dB,9.69520181408380e+001°)
1.08392691402120e+002	(8.21836689058176e+001dB,9.69318538114399e+001°)
1.08642562361706e+002	(8.21640368601077e+001dB,9.69117241550728e+001°)
1.08893009333343e+002	(8.21444030813426e+001dB,9.68916290790698e+001°)
1.09144033644875e+002	(8.21247675768488e+001dB,9.68715684908548e+001°)
1.09395636627209e+002	(8.21051303539202e+001dB,9.68515422979422e+001°)
1.09647819614318e+002	(8.20854914198181e+001dB,9.68315504079375e+001°)
1.09900583943252e+002	(8.20658507817713e+001dB,9.68115927285372e+001°)
1.10153930954141e+002	(8.20462084469765e+001dB,9.67916691675287e+001°)
1.10407861990207e+002	(8.20265644225980e+001dB,9.67717796327906e+001°)
1.10662378397766e+002	(8.20069187157681e+001dB,9.67519240322929e+001°)
1.10917481526240e+002	(8.19872713335873e+001dB,9.67321022740970e+001°)
1.11173172728159e+002	(8.19676222831241e+001dB,9.67123142663555e+001°)
1.11429453359173e+002	(8.19479715714152e+001dB,9.66925599173127e+001°)
1.11686324778056e+002	(8.19283192054661e+001dB,9.66728391353045e+001°)
1.11943788346715e+002	(8.19086651922503e+001dB,9.66531518287585e+001°)
1.12201845430196e+002	(8.18890095387105e+001dB,9.66334979061940e+001°)
1.12460497396692e+002	(8.18693522517576e+001dB,9.66138772762224e+001°)
1.12719745617551e+002	(8.18496933382717e+001dB,9.65942898475466e+001°)
1.12979591467279e+002	(8.18300328051019e+001dB,9.65747355289618e+001°)
1.13240036323555e+002	(8.18103706590663e+001dB,9.65552142293552e+001°)
1.13501081567231e+002	(8.17907069069521e+001dB,9.65357258577061e+001°)
1.13762728582343e+002	(8.17710415555160e+001dB,9.65162703230858e+001°)
1.14024978756117e+002	(8.17513746114840e+001dB,9.64968475346580e+001°)
1.14287833478977e+002	(8.17317060815520e+001dB,9.64774574016788e+001°)
1.14551294144553e+002	(8.17120359723850e+001dB,9.64580998334964e+001°)
1.14815362149688e+002	(8.16923642906182e+001dB,9.64387747395514e+001°)
1.15080038894443e+002	(8.16726910428566e+001dB,9.64194820293769e+001°)
1.15345325782109e+002	(8.16530162356752e+001dB,9.64002216125984e+001°)
1.15611224219209e+002	(8.16333398756189e+001dB,9.63809933989341e+001°)
1.15877735615512e+002	(8.16136619692032e+001dB,9.63617972981945e+001°)
1.16144861384034e+002	(8.15939825229135e+001dB,9.63426332202828e+001°)
1.16412602941049e+002	(8.15743015432061e+001dB,9.63235010751946e+001°)
1.16680961706096e+002	(8.15546190365075e+001dB,9.63044007730186e+001°)
1.16949939101987e+002	(8.15349350092150e+001dB,9.62853322239356e+001°)
1.17219536554813e+002	(8.15152494676967e+001dB,9.62662953382196e+001°)
1.17489755493952e+002	(8.14955624182914e+001dB,9.62472900262368e+001°)
1.17760597352080e+002	(8.14758738673091e+001dB,9.62283161984466e+001°)
1.18032063565172e+002	(8.14561838210309e+001dB,9.62093737654008e+001°)
1.18304155572516e+002	(8.14364922857088e+001dB,9.61904626377441e+001°)
1.18576874816716e+002	(8.14167992675664e+001dB,9.61715827262139e+001°)
1.18850222743701e+002	(8.13971047727987e+001dB,9.61527339416406e+001°)
1.19124200802737e+002	(8.13774088075721e+001dB,9.61339161949469e+001°)
1.19398810446427e+002	(8.13577113780245e+001dB,9.61151293971488e+001°)
1.19674053130724e+002	(8.13380124902660e+001dB,9.60963734593547e+001°)
1.19949930314937e+002	(8.13183121503780e+001dB,9.60776482927660e+001°)
1.20226443461741e+002	(8.12986103644141e+001dB,9.60589538086768e+001°)
1.20503594037179e+002	(8.12789071384001e+001dB,9.60402899184740e+001°)
1.20781383510677e+002	(8.12592024783335e+001dB,9.60216565336371e+001°)
1.21059813355048e+002	(8.12394963901845e+001dB,9.60030535657386e+001°)
1.21338885046497e+002	(8.12197888798953e+001dB,9.59844809264435e+001°)
1.21618600064636e+002	(8.12000799533809e+001dB,9.59659385275098e+001°)
1.21898959892486e+002	(8.11803696165286e+001dB,9.59474262807878e+001°)
1.22179966016487e+002	(8.11606578751985e+001dB,9.59289440982209e+001°)
1.22461619926504e+002	(8.11409447352232e+001dB,9.59104918918449e+001°)
1.22743923115840e+002	(8.11212302024086e+001dB,9.58920695737882e+001°)
1.23026877081238e+002	(8.11015142825332e+001dB,9.58736770562721e+001°)
1.23310483322890e+002	(8.10817969813487e+001dB,9.58553142516100e+001°)
1.23594743344450e+002	(8.10620783045800e+001dB,9.58369810722083e+001°)
1.23879658653036e+002	(8.10423582579251e+001dB,9.58186774305657e+001°)
1.24165230759240e+002	(8.10226368470556e+001dB,9.58004032392734e+001°)
1.24451461177138e+002	(8.10029140776165e+001dB,9.57821584110148e+001°)
1.24738351424294e+002	(8.09831899552261e+001dB,9.57639428585662e+001°)
1.25025903021771e+002	(8.09634644854767e+001dB,9.57457564947958e+001°)
1.25314117494141e+002	(8.09437376739342e+001dB,9.57275992326643e+001°)
1.25602996369487e+002	(8.09240095261383e+001dB,9.57094709852247e+001°)
1.25892541179416e+002	(8.09042800476027e+001dB,9.56913716656219e+001°)
1.26182753459066e+002	(8.08845492438153e+001dB,9.56733011870934e+001°)
1.26473634747114e+002	(8.08648171202378e+001dB,9.56552594629685e+001°)
1.26765186585784e+002	(8.08450836823066e+001dB,9.56372464066686e+001°)
1.27057410520853e+002	(8.08253489354319e+001dB,9.56192619317072e+001°)
1.27350308101665e+002	(8.08056128849988e+001dB,9.56013059516895e+001°)
1.27643880881134e+002	(8.07858755363666e+001dB,9.55833783803129e+001°)
1.27938130415752e+002	(8.07661368948695e+001dB,9.55654791313662e+001°)
1.28233058265601e+002	(8.07463969658161e+001dB,9.55476081187304e+001°)
1.28528665994361e+002	(8.07266557544900e+001dB,9.55297652563778e+001°)
1.28824955169313e+002	(8.07069132661497e+001dB,9.55119504583725e+001°)
1.29121927361353e+002	(8.06871695060286e+001dB,9.54941636388700e+001°)
1.29419584144998e+002	(8.06674244793353e+001dB,9.54764047121173e+001°)
1.29717927098395e+002	(8.06476781912534e+001dB,9.54586735924529e+001°)
1.30016957803328e+002	(8.06279306469421e+001dB,9.54409701943064e+001°)
1.30316677845229e+002	(8.06081818515355e+001dB,9.54232944321988e+001°)
1.30617088813183e+002	(8.05884318101435e+001dB,9.54056462207422e+001°)
1.30918192299940e+002	(8.05686805278515e+001dB,9.53880254746398e+001°)
1.31219989901920e+002	(8.05489280097203e+001dB,9.53704321086856e+001°)
1.31522483219223e+002	(8.05291742607867e+001dB,9.53528660377646e+001°)
1.31825673855640e+002	(8.05094192860631e+001dB,9.53353271768528e+001°)
1.32129563418657e+002	(8.04896630905381e+001dB,9.53178154410166e+001°)
1.32434153519466e+002	(8.04699056791759e+001dB,9.53003307454131e+001°)
1.32739445772973e+002	(8.04501470569170e+001dB,9.52828730052902e+001°)
1.33045441797808e+002	(8.04303872286780e+001dB,9.52654421359858e+001°)
1.33352143216332e+002	(8.04106261993519e+001dB,9.52480380529285e+001°)
1.33659551654643e+002	(8.03908639738078e+001dB,9.52306606716369e+001°)
1.33967668742593e+002	(8.03711005568914e+001dB,9.52133099077199e+001°)
1.34276496113786e+002	(8.03513359534249e+001dB,9.51959856768763e+001°)
1.34586035405594e+002	(8.03315701682071e+001dB,9.51786878948950e+001°)
1.34896288259165e+002	(8.03118032060134e+001dB,9.51614164776546e+001°)
1.35207256319427e+002	(8.02920350715959e+001dB,9.51441713411233e+001°)
1.35518941235103e+002	(8.02722657696840e+001dB,9.51269524013593e+001°)
1.35831344658715e+002	(8.02524953049834e+001dB,9.51097595745099e+001°)
1.36144468246594e+002	(8.02327236821775e+001dB,9.50925927768119e+001°)
1.36458313658892e+002	(8.02129509059262e+001dB,9.50754519245915e+001°)
1.36772882559584e+002	(8.01931769808669e+001dB,9.50583369342641e+001°)
1.37088176616484e+002	(8.01734019116144e+001dB,9.50412477223337e+001°)
1.37404197501251e+002	(8.01536257027607e+001dB,9.50241842053938e+001°)
1.37720946889394e+002	(8.01338483588751e+001dB,9.50071463001264e+001°)
1.38038426460288e+002	(8.01140698845047e+001dB,9.49901339233021e+001°)
1.38356637897177e+002	(8.00942902841741e+001dB,9.49731469917804e+001°)
1.38675582887188e+002	(8.00745095623856e+001dB,9.49561854225088e+001°)
1.38995263121334e+002	(8.00547277236192e+001dB,9.49392491325234e+001°)
1.39315680294529e+002	(8.00349447723329e+001dB,9.49223380389484e+001°)
1.39636836105593e+002	(8.00151607129624e+001dB,9.49054520589961e+001°)
1.39958732257261e+002	(7.99953755499218e+001dB,9.48885911099666e+001°)
1.40281370456195e+002	(7.99755892876030e+001dB,9.48717551092480e+001°)
1.40604752412990e+002	(7.99558019303760e+001dB,9.48549439743157e+001°)
1.40928879842186e+002	(7.99360134825894e+001dB,9.48381576227330e+001°)
1.41253754462274e+002	(7.99162239485698e+001dB,9.48213959721504e+001°)
1.41579377995707e+002	(7.98964333326224e+001dB,9.48046589403056e+001°)
1.41905752168908e+002	(7.98766416390308e+001dB,9.47879464450236e+001°)
1.42232878712281e+002	(7.98568488720573e+001dB,9.47712584042160e+001°)
1.42560759360218e+002	(7.98370550359426e+001dB,9.47545947358817e+001°)
1.42889395851109e+002	(7.98172601349065e+001dB,9.47379553581058e+001°)
1.43218789927353e+002	(7.97974641731472e+001dB,9.47213401890604e+001°)
1.43548943335365e+002	(7.97776671548421e+001dB,9.47047491470036e+001°)
1.43879857825583e+002	(7.97578690841473e+001dB,9.46881821502800e+001°)
1.44211535152486e+002	(7.97380699651981e+001dB,9.46716391173201e+001°)
1.44543977074592e+002	(7.97182698021088e+001dB,9.46551199666405e+001°)
1.44877185354475e+002	(7.96984685989731e+001dB,9.46386246168434e+001°)
1.45211161758773e+002	(7.96786663598636e+001dB,9.46221529866169e+001°)
1.45545908058195e+002	(7.96588630888325e+001dB,9.46057049947343e+001°)
1.45881426027534e+002	(7.96390587899114e+001dB,9.45892805600545e+001°)
1.46217717445671e+002	(7.96192534671112e+001dB,9.45728796015213e+001°)
1.46554784095590e+002	(7.95994471244225e+001dB,9.45565020381637e+001°)
1.46892627764385e+002	(7.95796397658155e+001dB,9.45401477890956e+001°)
1.47231250243271e+002	(7.95598313952401e+001dB,9.45238167735154e+001°)
1.47570653327588e+002	(7.95400220166259e+001dB,9.45075089107061e+001°)
1.47910838816819e+002	(7.95202116338825e+001dB,9.44912241200351e+001°)
1.48251808514594e+002	(7.95004002508993e+001dB,9.44749623209540e+001°)
