Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
7000,-0.0048640692874489053,-0.89890723626478708
7004.3389562684388,-0.0047006720036300723,-0.90090814351760684
7008.6806020428057,-0.0047560958174059798,-0.90247672202679385
7013.0249389901956,-0.0047584011649972283,-0.90384559177139878
7017.3719687787325,-0.0049186622014692595,-0.90525087900191104
7021.7216930775749,-0.0038030721243792363,-0.90603534177906775
7026.0741135569206,-0.0043206538957811565,-0.90878328734029135
7030.4292318879961,-0.0037342466964904973,-0.91006890714231614
7034.7870497430713,-0.0044381403772281707,-0.91241780618754542
7039.1475687954462,-0.0039516754239206702,-0.91405112409364164
7043.5107907194597,-0.0044213349273573713,-0.91568726129021871
7047.8767171904901,-0.0042361357612339424,-0.91736456220732243
7052.2453498849536,-0.0039364513701580055,-0.91870219707177514
7056.6166904803031,-0.0044215015461375011,-0.92110741339314639
7060.9907406550365,-0.0034081237091459007,-0.92131426662430194
7065.3675020886885,-0.0042903330571235059,-0.92407695995714945
7069.7469764618336,-0.0031583378929253203,-0.92520650454558317
7074.1291654560891,-0.004470106797703273,-0.92820399405670539
7078.5140707541195,-0.0049464618483153529,-0.93039274321777876
7082.901694039625,-0.0038646141427904255,-0.9303803341684187
7087.2920369973526,-0.003358919269942205,-0.93198678627581222
7091.6851013130936,-0.004947617659533163,-0.93540578264590524
7096.080888673685,-0.0048792758473320732,-0.93729532316166453
7100.4794007670089,-0.0047582801694930179,-0.9380368573161445
7104.8806392819924,-0.0050677102747181714,-0.94074147368167949
7109.2846059086087,-0.0051269766600740129,-0.94246275146047842
7113.6913023378856,-0.0051124548051745006,-0.94449023922252495
7118.1007302618864,-0.0060855768262626153,-0.94676348938988564
7122.5128913737381,-0.0059657984025329467,-0.94813730103301863
7126.9277873676056,-0.0064278182959606406,-0.95110095679691797
7131.345419938707,-0.0067967351639906751,-0.95342059627617481
7135.7657907833136,-0.0079853668349552567,-0.95640491453983689
7140.1889015987472,-0.0077740634314548401,-0.95809814667031645
7144.6147540833799,-0.0090180688780368869,-0.96084923652465248
7149.04334993664,-0.0099283028227943881,-0.963892665056863
7153.4746908590041,-0.010133750191826619,-0.96610031339231794
7157.9087785520078,-0.011523612898690057,-0.96893865389174771
7162.3456147182387,-0.011812552325185671,-0.97127447062673744
7166.7852010613406,-0.013519302901513089,-0.97536379709626186
7171.2275392860129,-0.013806320299699117,-0.97627667960371456
7175.6726310980121,-0.014608008974620248,-0.97979322281937087
7180.1204782041495,-0.016817596861939794,-0.98320667230910463
7184.5710823123009,-0.017390062417331587,-0.98621283931871684
7189.0244451313929,-0.019144790413361007,-0.9895351613290061
7193.4805683714167,-0.020869467802026878,-0.9933524344385759
7197.9394537434218,-0.019128289056890034,-0.99347636522505611
7202.4011029595158,-0.017511530837894126,-0.99365597398111261
7206.8655177328737,-0.016389177849674644,-0.9939388940986621
7211.3326997777258,-0.014605557796884792,-0.99448706012963028
7215.8026508093699,-0.014298893530847094,-0.9955198529108622
7220.2753725441626,-0.013084174981135885,-0.99672082464056189
7224.7508666995282,-0.011877262569815522,-0.99802596031408419
7229.2291349939542,-0.011748997305332519,-0.99973831547213998
7233.7101791469913,-0.010647000894947009,-0.99996633050171491
7238.1940008792608,-0.0051170155131524953,-0.99615661797323996
7242.6806019124451,-0.005336392739029229,-0.99842220746211308
7247.1699839692983,-0.0051702583859153427,-1.0007226908137041
7251.6621487736402,-0.0050064340334010421,-1.0028555529300718
7256.1570980503584,-0.005004912249282626,-1.0044519935382925
7260.6548335254101,-0.0046306613367634404,-1.0061402786498121
7265.1553569258249,-0.0047991230646502727,-1.0075659664117733
7269.658669979699,-0.0054354804359559861,-1.0104907014958766
7274.1647744162028,-0.0042650683023998503,-1.0119781332152984
7278.6736719655755,-0.004990423700693942,-1.0140818118198338
7283.1853643591339,-0.0051736336407595925,-1.0162991638775065
7287.6998533292608,-0.0046568243881994252,-1.0179727352161152
7292.2171406094194,-0.0049148138304951688,-1.0204680048128196
7296.7372279341434,-0.0051366717540738283,-1.0225021007670647
7301.2601170390426,-0.0039933814371633401,-1.0237437027279741
7305.7858096608043,-0.004490701787187623,-1.0257535770065216
7310.3143075371909,-0.0047966261794507564,-1.0275987726644793
7314.8456124070399,-0.0056772876546635244,-1.0309219217646624
7319.3797260102729,-0.0048724640998610066,-1.0325810496050094
7323.916650087881,-0.0048134418279944854,-1.0340984540023666
7328.4563863819412,-0.0047074652401033392,-1.0356446154403562
7332.9989366356094,-0.0049142848838200828,-1.0381924998618073
7337.5443025931208,-0.0047205596160928929,-1.0403110604272034
7342.0924859997913,-0.004886587376303932,-1.0423237940243133
7346.643488602017,-0.0042530105078938266,-1.044201038135298
7351.1973121472829,-0.0048296154503275441,-1.0469292408212882
7355.7539583841508,-0.0051568199738832596,-1.0491429719731125
7360.3134290622702,-0.0055075692255594152,-1.0520424613588815
7364.8757259323711,-0.0054325029356507726,-1.0537187092067803
7369.4408507462722,-0.0055826860674499362,-1.0555811065732505
7374.0088052568772,-0.0057978134950975495,-1.0583668288380892
7378.5795912181766,-0.0054617666005706738,-1.0600606317863639
7383.1532103852487,-0.005435273553686241,-1.0626209704837029
7387.7296645142551,-0.0072253681982049692,-1.0668409746069014
7392.3089553624523,-0.0076576095537748152,-1.0689560482727554
7396.8910846881818,-0.0082168823313850201,-1.0715824235295481
7401.4760542508775,-0.0081641132723107163,-1.0737710891817718
7406.0638658110638,-0.0097583402379008317,-1.0777424303294811
7410.6545211303528,-0.0096437442909350704,-1.0793043547047363
7415.2480219714516,-0.010727150676982478,-1.0820102282629269
7419.8443700981616,-0.011080720994155262,-1.085850474435275
7424.4435672753734,-0.011194467444617127,-1.0879003145284045
7429.045615269074,-0.013096493863442606,-1.091901262097497
7433.6505158463442,-0.013544014329727024,-1.094257294864601
7438.2582707753618,-0.014329883958489564,-1.0980368799477294
7442.8688818253968,-0.016219931923691169,-1.1010764332662266
7447.4823507668207,-0.016129282409047832,-1.1040528180084914
7452.0986793710999,-0.018726498844133008,-1.1085139930690104
7456.7178694107979,-0.020143400550153054,-1.1133523441984754
7461.3399226595784,-0.02126038370229354,-1.1150142671230354
7465.9648408922039,-0.019746266972121077,-1.1163221796066811
7470.5926258845375,-0.017939251986575686,-1.1164492710505456
7475.2232794135434,-0.016659489582202449,-1.117352536745065
7479.8568032572866,-0.015089335802672604,-1.1185509786411048
7484.4931991949315,-0.014761835076014872,-1.120333108629288
7489.1324690067522,-0.012941571661738123,-1.1205643778676113
7493.7746144741195,-0.012564665031879606,-1.1232930897988893
7498.4196373795112,-0.011696654063379559,-1.1245816034954301
7503.06753950651,-0.010956063742106333,-1.1259660676452472
7507.7183226398065,-0.010206586505719588,-1.1276835124920284
7512.3719885651899,-0.0050548922775234956,-1.1254482154935539
7517.0285390695662,-0.0053672781932018899,-1.1273698876701401
7521.687975940943,-0.0056218846894717798,-1.1305885253602279
7526.3503009684364,-0.005395318359948529,-1.1326586476873866
7531.0155159422739,-0.0048822690538160504,-1.1342711019831264
7535.6836226537898,-0.0060423744309054516,-1.137814546869053
7540.3546228954301,-0.0053648072122530494,-1.1397301627520304
7545.0285184607546,-0.0059363796548224778,-1.142666899469019
7549.7053111444302,-0.0055021864219167976,-1.1444388911066437
7554.3850027422395,-0.0052620450469825063,-1.1468996687521018
7559.0675950510749,-0.005375155766639288,-1.1501247097803304
7563.7530898689465,-0.0052375059785109528,-1.1522214006003861
7568.4414889949776,-0.0048338675381561936,-1.1540492965945821
7573.1327942294047,-0.0056206324677666644,-1.1568898272683681
7577.827007373583,-0.0052208191643935298,-1.1592761927783182
7582.524130229981,-0.004892012957310652,-1.1613734363148918
7587.2241646021903,-0.0053307137540215674,-1.163608006277683
7591.9271122949121,-0.005010750360008768,-1.1667225652067039
7596.6329751139729,-0.0044931507166086678,-1.1689693444823672
7601.3417548663156,-0.0049415436480850115,-1.1718835112773742
7606.0534533600048,-0.0053821999638030762,-1.1741635358305733
7610.7680724042257,-0.0052012571674514294,-1.1761019092383898
7615.4856138092828,-0.0057591794688897037,-1.1789404328065018
7620.206079386604,-0.00505886764305798,-1.181879585035901
7624.9294709487403,-0.0057529528812364072,-1.1847258913224132
7629.6557903093662,-0.0049496589614934751,-1.1873820553505596
7634.3850392832801,-0.0049902528082666972,-1.1892868459523589
7639.1172196864063,-0.0058208953549696886,-1.1927133343752856
7643.8523333357916,-0.0050503653409496689,-1.1946475466426631
7648.5903820496133,-0.0058194306368150811,-1.1975637704681659
7653.3313676471735,-0.0061815193969110682,-1.2000182133845569
7658.0752919489005,-0.0061259194213440626,-1.2034984418217742
7662.8221567763558,-0.0066324989046963193,-1.2064930185722842
7667.5719639522249,-0.0068349227511060977,-1.2089130446407232
7672.3247153003249,-0.0070779409291697043,-1.2118586660038813
7677.0804126456032,-0.0085623528755008147,-1.2166423396790444
7681.8390578141407,-0.0078998899978893339,-1.218232694867649
7686.6006526331485,-0.0085604299995777483,-1.2219763250076874
7691.3651989309674,-0.0093591151370550751,-1.2258982976015762
7696.1326985370742,-0.010232155417436262,-1.2286837189762196
7700.9031532820827,-0.010470542774444288,-1.2317327906466642
7705.6765649977369,-0.011968645009974032,-1.2360572656717381
7710.4529355169179,-0.012874635539444554,-1.2400048264021264
7715.2322666736418,-0.012959230104748011,-1.2428333097010467
7720.0145603030624,-0.013716780945881312,-1.2473393217489508
7724.7998182414731,-0.015759834406429526,-1.2505459226842173
7729.5880423263006,-0.01681854096183949,-1.2544700520986074
7734.3792343961168,-0.017455399323598388,-1.2581018694610415
7739.1733962906274,-0.020022904566027205,-1.2630821438568849
7743.9705298506797,-0.021536244704790972,-1.2673293372825511
7748.770636918267,-0.021501938023387946,-1.2699406600443641
7753.5737193365167,-0.020382570051397382,-1.2717113997490839
7758.3797789497057,-0.018535263206027535,-1.2724677436142491
7763.1888176032498,-0.017119832507160909,-1.273843300396613
7768.0008371437088,-0.015765753375413406,-1.2764690258600853
7772.8158394187903,-0.015337901396738969,-1.2787651234241413
7777.6338262773434,-0.013115428675861504,-1.2788204514437409
7782.4547995693647,-0.012669926042324616,-1.2813442177006305
7787.2787611459999,-0.01160149317239046,-1.2839806096385309
7792.1057128595367,-0.011191837362788169,-1.2858288373397631
7796.9356565634153,-0.010081752849645726,-1.2872528550751032
7801.7685941122245,-0.01018399462823805,-1.2902367782560007
7806.604527361701,-0.008734813151137763,-1.2918412703897304
7811.4434581687337,-0.0084014100845351391,-1.2947329660996627
7816.2853883913585,-0.0067333670244495176,-1.2957289929826525
7821.1303198887699,-0.0053597376082495417,-1.298176263987711
7825.9782545213075,-0.006703404334502271,-1.3017280786266867
7830.8291941504685,-0.0055029020677651698,-1.3035608696240648
7835.6831406389019,-0.006760126527947506,-1.3080695323091238
7840.5400958504133,-0.0062168642686611826,-1.3099499010475677
7845.4000616499616,-0.0051893036964175115,-1.3130460346986961
7850.2630399036634,-0.006136890167781071,-1.316716120306257
7855.1290324787906,-0.0058657100807462921,-1.3187696677684664
7859.9980412437717,-0.0060207478680608826,-1.3219113256811292
7864.8700680681977,-0.0059363436562876338,-1.3257163184121699
7869.7451148228129,-0.0062794863972355907,-1.3281128060637506
7874.6231833795237,-0.0057113529660576716,-1.3304381614696186
7879.504275611398,-0.0057829141492224938,-1.3342034107702816
7884.3883933926645,-0.0061037912922143282,-1.3373136068542943
7889.2755385987102,-0.0058377235346756453,-1.3413948656647479
7894.1657131060892,-0.0050653000495014897,-1.3441745215907175
7899.0589187925134,-0.0056765923124713034,-1.3462820444231705
7903.9551575368669,-0.0056211839088591131,-1.3499256137952824
7908.8544312191898,-0.0053484276712715837,-1.3526943116963086
7913.756741720691,-0.005509259845325516,-1.3561426661083695
7918.6620909237472,-0.006470395714959486,-1.3599740895690324
7923.5704807119,-0.0059176925200328271,-1.3636432123866875
7928.4819129698581,-0.0064373310446164868,-1.3661729417563631
7933.3963895834986,-0.0062423648049139699,-1.3695790839151278
7938.3139124398695,-0.0063961352190022676,-1.3729385357266786
7943.234483427188,-0.0063141069819121053,-1.3759289490354933
7948.1581044348377,-0.005649191524726517,-1.3794613410181975
7953.0847773533778,-0.0061641609480500709,-1.3826576722019097
7958.0145040745401,-0.0064969204828032538,-1.3862535687082249
7962.9472864912223,-0.006852548281337573,-1.3896281555988623
7967.8831264975051,-0.0074195995617931075,-1.3937203475490665
7972.8220259886348,-0.0077247051887850797,-1.3974883331373167
7977.7639868610368,-0.0078351184371957261,-1.4009692423895546
7982.7090110123108,-0.0075810087777838028,-1.4039265422687439
7987.6571003412328,-0.0091873866403301158,-1.4083504273673819
7992.6082567477588,-0.0090820134168727567,-1.4122941505203661
7997.5624821330148,-0.010246778891830965,-1.4163729747087581
8002.5197783993135,-0.010767015776881989,-1.4200707569127804
8007.4801474501401,-0.011368936877275327,-1.424873614740003
8012.4435911901674,-0.012615428313322819,-1.4290037047868995
8017.4101115252397,-0.012235116015956867,-1.4318359879818576
8022.3797103623911,-0.013971154086820431,-1.437551910345549
8027.3523896098304,-0.014226338840754436,-1.440869182070295
8032.3281511769537,-0.016073027035811725,-1.4466520338614903
8037.3069969743419,-0.016827834711373599,-1.451451047836275
8042.2889289137547,-0.01852090789941347,-1.4568819969522273
8047.2739489081432,-0.018826505424271403,-1.4602029876266911
8052.2620588716363,-0.020580826226892057,-1.4660060241836672
8057.253260719559,-0.022319840006206314,-1.4709625491686711
8062.2475563684166,-0.020128480177043037,-1.4711349833458809
8067.244947735905,-0.018859950510328762,-1.4751809004419818
8072.2454367409073,-0.017819135291755203,-1.475556609305704
8077.2490253034966,-0.016605430158397716,-1.4792994839501601
8082.2557153449379,-0.015944427697785805,-1.4824278752615927
8087.2655087876847,-0.013650185256641346,-1.4837101080483752
8092.2784075553827,-0.013488781175037136,-1.4870902846033851
8097.2944135728721,-0.0116507585788546,-1.4897153340535716
8102.3135287661808,-0.01235881153736776,-1.4932963016090821
8107.3357550625387,-0.011317055594611181,-1.4955552745823053
8112.3610943903632,-0.010769056076544469,-1.4991508567208718
8117.3895486792708,-0.0091042104488295843,-1.5008338505736298
8122.4211198600715,-0.0095129701639024757,-1.50511470195131
8127.4558098647731,-0.0089057336431845168,-1.5084433391412231
8132.4936206265847,-0.0077838855165535221,-1.5115372432132674
8137.5345540799071,-0.0073176949019890507,-1.5148412306221359
8142.578612160346,-0.0067899611415544224,-1.5181514393526363
8147.6257968047021,-0.0068079691381644431,-1.5220891921765014
8152.6761099509795,-0.0065301685383404836,-1.5257592358032253
8157.7295535383846,-0.0068016095725273729,-1.5297218515263924
8162.7861295073199,-0.0068041370956022466,-1.5332476981417429
8167.8458397994,-0.007064314414434893,-1.537290812989307
8172.9086863574348,-0.0062077996983991293,-1.5404774362100264
8177.9746711254429,-0.0076313368659252897,-1.5455125028096408
8183.0437960486443,-0.0069670202820237385,-1.5480904395090804
8188.1160630734703,-0.006710834636620042,-1.552995874835243
8193.1914741475539,-0.0057601267914399266,-1.5551439175548181
8198.2700312197358,-0.0068777725212838276,-1.56172426888467
8203.3517362400689,-0.0065761402351020406,-1.56446875474753
8208.436591159807,-0.0057894817125849667,-1.5682851140316143
8213.5245979314204,-0.0066103781229079591,-1.5733458866547991
8218.6157585085875,-0.006556523327764718,-1.5769834292585203
8223.7100748461999,-0.0061014131888027928,-1.5801027113711907
8228.8075489003531,-0.0064072736130679434,-1.5845905636741544
8233.9081826283655,-0.0065119605501034366,-1.5895339688900547
8239.0119779887609,-0.0061989394158360519,-1.5929161509092025
8244.1189369412823,-0.0057473234892773291,-1.5976003692666141
8249.229061446882,-0.0058244747510229631,-1.6010837295891203
8254.3423534677331,-0.006805309464343658,-1.6053345415466618
8259.4588149672236,-0.0066142110450003551,-1.6093207762743154
8264.578447909953,-0.0059667173565421689,-1.6134999223464495
8269.7012542617485,-0.0063342076426156548,-1.6175264276512833
8274.8272359896491,-0.00708743632063336,-1.6227625571653284
8279.9563950619122,-0.0070298845060857906,-1.6268996399668723
8285.0887334480212,-0.0067687848426321237,-1.6310127025383039
8290.2242531186748,-0.0068131651632123355,-1.63650750944131
8295.3629560457939,-0.0073434921486477444,-1.6415666053088818
8300.5048442025254,-0.0073317356443407724,-1.6452930379144723
8305.6499195632332,-0.0073288531339083859,-1.6492253318990902
8310.7981841035125,-0.0087112904630241988,-1.6547203673476609
8315.9496398001775,-0.008438827029008257,-1.6585313032792557
8321.104288631268,-0.0093279504444487675,-1.6642183242886934
8326.2621325760538,-0.0099397901149806366,-1.669980362313874
8331.4231736150268,-0.010179488742043856,-1.6739978913083435
8336.5874137299088,-0.011147146211236386,-1.6797612630109833
8341.754854903651,-0.012205636551194401,-1.6853213846088586
8346.9254991204325,-0.012464354572813028,-1.6898159119941769
8352.0993483656621,-0.012993420159855575,-1.6952131045747463
8357.2764046259781,-0.014327367429293799,-1.7010370753810775
8362.456669889254,-0.015307450387764985,-1.7071035188299002
8367.640146144593,-0.016335082815164631,-1.71227444993028
8372.8268353823296,-0.017829508824676769,-1.7187466507958913
8378.0167395940352,-0.01868056918872946,-1.7242629471745663
8383.2098607725147,-0.019809505259027017,-1.7296349288195911
8388.4062009118061,-0.020975104438502729,-1.7361907650484025
8393.6057620071861,-0.022419654221521004,-1.7421273041269636
8398.8085460551665,-0.021054323738995875,-1.7448172750572675
8404.0145550535017,-0.019243620748390207,-1.7487215388403232
8409.2237910011736,-0.018079049668893499,-1.7518894953651083
8414.4362558984121,-0.017003142964904648,-1.7552720010815681
8419.6519517466841,-0.015882031798964608,-1.7584162706424711
8424.8708805487022,-0.014576373801585159,-1.762200274101364
8430.0930443084071,-0.014291761353826937,-1.7664646944737914
8435.3184450309982,-0.012786788194146703,-1.7704911112836152
8440.5470847229044,-0.011423551095262783,-1.773344790225861
8445.778965391808,-0.011364860286327551,-1.7788669208061527
8451.0140890466282,-0.0097720077605868445,-1.7819925092364994
8456.252457697532,-0.010513962210431497,-1.7874724625699732
8461.4940733559361,-0.0097752801790258366,-1.7916689181052852
8466.738938034503,-0.0092223762992394431,-1.7964119329551362
8471.9870537471343,-0.0093082403990867122,-1.8011097016879487
8477.23842250899,-0.0085177306658159851,-1.8065707811020351
8482.4930463364763,-0.0081358091796032671,-1.8103260109421138
8487.7509272472471,-0.0075861609024668805,-1.8151908527545375
8493.0120672602097,-0.0078885223068364263,-1.8209442936088185
8498.2764683955174,-0.0071127725178463889,-1.8246324369878182
8503.5441326745859,-0.0083654158763456724,-1.8308486099226955
8508.8150621200748,-0.007074766961755706,-1.8358483065893076
8514.089258755901,-0.0072321367843542492,-1.8412936278028713
8519.3667246072328,-0.0072158807642920203,-1.8463558579351731
8524.6474617005006,-0.0076405194422266018,-1.8517394529034528
8529.9314720633829,-0.0071474654260550996,-1.8573833665008639
8535.2187577248205,-0.0071006136356148355,-1.862635113898309
8540.5093207150112,-0.0064018520160313416,-1.8664333999094427
8545.8031630654095,-0.0072576964635030165,-1.8727847395791741
8551.1002868087271,-0.0071214190128597622,-1.8772696200255934
8556.4006939789415,-0.0063128225909004406,-1.8832219420977416
8561.7043866112872,-0.0072891556838400214,-1.8893864488128107
8567.0113667422611,-0.007526139962198323,-1.8938349789971844
8572.3216364096206,-0.0066984447268765793,-1.8991915066963658
8577.6351976523893,-0.0067915264824437533,-1.9044423939510136
8582.952052510851,-0.0067199991958204457,-1.910799133216639
8588.2722030265595,-0.0061482824606687182,-1.9152613389447206
8593.595651242329,-0.0078522322018319025,-1.9232832052515427
8598.9223992022435,-0.0067401348930250116,-1.9269712151390461
