f,mag,pha
1.00000000000000e+003,-8.81403279234935e-002,1.78661364110022e+002
1.00230523807790e+003,-8.80988019911719e-002,1.78658201010386e+002
1.00461579027840e+003,-8.80570807202650e-002,1.78655030074456e+002
1.00693166885180e+003,-8.80151631748123e-002,1.78651851280285e+002
1.00925288607668e+003,-8.79730484141958e-002,1.78648664605844e+002
1.01157945425990e+003,-8.79307354931436e-002,1.78645470029027e+002
1.01391138573668e+003,-8.78882234616934e-002,1.78642267527647e+002
1.01624869287070e+003,-8.78455113651573e-002,1.78639057079438e+002
1.01859138805412e+003,-8.78025982441164e-002,1.78635838662052e+002
1.02093948370768e+003,-8.77594831343582e-002,1.78632612253063e+002
1.02329299228075e+003,-8.77161650669030e-002,1.78629377829962e+002
1.02565192625141e+003,-8.76726430679406e-002,1.78626135370158e+002
1.02801629812647e+003,-8.76289161588244e-002,1.78622884850978e+002
1.03038612044162e+003,-8.75849833560334e-002,1.78619626249668e+002
1.03276140576140e+003,-8.75408436711513e-002,1.78616359543390e+002
1.03514216667934e+003,-8.74964961108511e-002,1.78613084709223e+002
1.03752841581801e+003,-8.74519396768275e-002,1.78609801724162e+002
1.03992016582906e+003,-8.74071733658272e-002,1.78606510565118e+002
1.04231742939330e+003,-8.73621961696145e-002,1.78603211208918e+002
1.04472021922080e+003,-8.73170070748818e-002,1.78599903632303e+002
1.04712854805090e+003,-8.72716050632948e-002,1.78596587811930e+002
1.04954242865232e+003,-8.72259891114387e-002,1.78593263724369e+002
1.05196187382322e+003,-8.71801581907848e-002,1.78589931346103e+002
1.05438689639126e+003,-8.71341112676703e-002,1.78586590653531e+002
1.05681750921366e+003,-8.70878473032784e-002,1.78583241622962e+002
1.05925372517729e+003,-8.70413652535818e-002,1.78579884230619e+002
1.06169555719872e+003,-8.69946640693699e-002,1.78576518452636e+002
1.06414301822431e+003,-8.69477426961515e-002,1.78573144265058e+002
1.06659612123026e+003,-8.69006000741816e-002,1.78569761643844e+002
1.06905487922266e+003,-8.68532351384081e-002,1.78566370564861e+002
1.07151930523761e+003,-8.68056468184571e-002,1.78562971003885e+002
1.07398941234124e+003,-8.67578340385809e-002,1.78559562936604e+002
1.07646521362983e+003,-8.67097957176642e-002,1.78556146338615e+002
1.07894672222983e+003,-8.66615307691398e-002,1.78552721185422e+002
1.08143395129794e+003,-8.66130381010456e-002,1.78549287452438e+002
1.08392691402120e+003,-8.65643166159102e-002,1.78545845114985e+002
1.08642562361706e+003,-8.65153652107646e-002,1.78542394148291e+002
1.08893009333343e+003,-8.64661827771160e-002,1.78538934527491e+002
1.09144033644875e+003,-8.64167682009036e-002,1.78535466227625e+002
1.09395636627209e+003,-8.63671203624515e-002,1.78531989223642e+002
1.09647819614318e+003,-8.63172381365059e-002,1.78528503490392e+002
1.09900583943252e+003,-8.62671203921186e-002,1.78525009002634e+002
1.10153930954141e+003,-8.62167659926774e-002,1.78521505735029e+002
1.10407861990207e+003,-8.61661737958508e-002,1.78517993662141e+002
1.10662378397766e+003,-8.61153426535676e-002,1.78514472758440e+002
1.10917481526240e+003,-8.60642714119651e-002,1.78510942998296e+002
1.11173172728159e+003,-8.60129589113873e-002,1.78507404355983e+002
1.11429453359173e+003,-8.59614039863215e-002,1.78503856805676e+002
1.11686324778056e+003,-8.59096054654170e-002,1.78500300321451e+002
1.11943788346715e+003,-8.58575621713865e-002,1.78496734877286e+002
1.12201845430196e+003,-8.58052729210190e-002,1.78493160447057e+002
1.12460497396692e+003,-8.57527365251474e-002,1.78489577004542e+002
1.12719745617551e+003,-8.56999517885945e-002,1.78485984523416e+002
1.12979591467279e+003,-8.56469175101461e-002,1.78482382977254e+002
1.13240036323555e+003,-8.55936324825399e-002,1.78478772339528e+002
1.13501081567231e+003,-8.55400954924030e-002,1.78475152583608e+002
1.13762728582343e+003,-8.54863053202361e-002,1.78471523682761e+002
1.14024978756117e+003,-8.54322607403685e-002,1.78467885610150e+002
1.14287833478977e+003,-8.53779605209494e-002,1.78464238338834e+002
1.14551294144553e+003,-8.53234034238878e-002,1.78460581841766e+002
1.14815362149688e+003,-8.52685882048141e-002,1.78456916091796e+002
1.15080038894443e+003,-8.52135136130829e-002,1.78453241061667e+002
1.15345325782109e+003,-8.51581783916865e-002,1.78449556724014e+002
1.15611224219210e+003,-8.51025812772830e-002,1.78445863051367e+002
1.15877735615512e+003,-8.50467210000899e-002,1.78442160016148e+002
1.16144861384034e+003,-8.49905962839095e-002,1.78438447590669e+002
1.16412602941049e+003,-8.49342058460824e-002,1.78434725747136e+002
1.16680961706096e+003,-8.48775483974056e-002,1.78430994457643e+002
1.16949939101987e+003,-8.48206226421516e-002,1.78427253694176e+002
1.17219536554813e+003,-8.47634272780114e-002,1.78423503428608e+002
1.17489755493953e+003,-8.47059609960525e-002,1.78419743632704e+002
1.17760597352080e+003,-8.46482224807093e-002,1.78415974278113e+002
1.18032063565173e+003,-8.45902104096813e-002,1.78412195336376e+002
1.18304155572516e+003,-8.45319234539876e-002,1.78408406778917e+002
1.18576874816716e+003,-8.44733602778703e-002,1.78404608577048e+002
1.18850222743701e+003,-8.44145195387527e-002,1.78400800701968e+002
1.19124200802737e+003,-8.43553998872375e-002,1.78396983124758e+002
1.19398810446427e+003,-8.42959999670503e-002,1.78393155816387e+002
1.19674053130724e+003,-8.42363184149954e-002,1.78389318747704e+002
1.19949930314937e+003,-8.41763538609381e-002,1.78385471889443e+002
1.20226443461741e+003,-8.41161049277233e-002,1.78381615212221e+002
1.20503594037179e+003,-8.40555702311999e-002,1.78377748686535e+002
1.20781383510678e+003,-8.39947483801298e-002,1.78373872282765e+002
1.21059813355048e+003,-8.39336379761671e-002,1.78369985971171e+002
1.21338885046497e+003,-8.38722376138337e-002,1.78366089721891e+002
1.21618600064636e+003,-8.38105458804432e-002,1.78362183504944e+002
1.21898959892486e+003,-8.37485613560961e-002,1.78358267290227e+002
1.22179966016487e+003,-8.36862826136279e-002,1.78354341047515e+002
1.22461619926504e+003,-8.36237082185644e-002,1.78350404746458e+002
1.22743923115840e+003,-8.35608367290701e-002,1.78346458356586e+002
1.23026877081238e+003,-8.34976666959547e-002,1.78342501847302e+002
1.23310483322890e+003,-8.34341966625466e-002,1.78338535187884e+002
1.23594743344450e+003,-8.33704251647441e-002,1.78334558347485e+002
1.23879658653036e+003,-8.33063507309448e-002,1.78330571295131e+002
1.24165230759241e+003,-8.32419718819301e-002,1.78326573999722e+002
1.24451461177138e+003,-8.31772871309301e-002,1.78322566430028e+002
1.24738351424294e+003,-8.31122949835502e-002,1.78318548554693e+002
1.25025903021771e+003,-8.30469939376631e-002,1.78314520342229e+002
1.25314117494141e+003,-8.29813824834581e-002,1.78310481761019e+002
1.25602996369487e+003,-8.29154591033252e-002,1.78306432779315e+002
1.25892541179416e+003,-8.28492222718561e-002,1.78302373365238e+002
1.26182753459066e+003,-8.27826704558176e-002,1.78298303486776e+002
1.26473634747115e+003,-8.27158021140073e-002,1.78294223111784e+002
1.26765186585784e+003,-8.26486156973472e-002,1.78290132207982e+002
1.27057410520854e+003,-8.25811096487121e-002,1.78286030742956e+002
1.27350308101666e+003,-8.25132824029822e-002,1.78281918684158e+002
1.27643880881134e+003,-8.24451323869396e-002,1.78277795998903e+002
1.27938130415752e+003,-8.23766580192559e-002,1.78273662654366e+002
1.28233058265601e+003,-8.23078577104179e-002,1.78269518617588e+002
1.28528665994361e+003,-8.22387298627071e-002,1.78265363855470e+002
1.28824955169313e+003,-8.21692728701219e-002,1.78261198334773e+002
1.29121927361353e+003,-8.20994851183581e-002,1.78257022022118e+002
1.29419584144998e+003,-8.20293649847757e-002,1.78252834883985e+002
1.29717927098395e+003,-8.19589108383073e-002,1.78248636886713e+002
1.30016957803328e+003,-8.18881210394271e-002,1.78244427996495e+002
1.30316677845229e+003,-8.18169939401296e-002,1.78240208179385e+002
1.30617088813183e+003,-8.17455278838464e-002,1.78235977401290e+002
1.30918192299940e+003,-8.16737212054233e-002,1.78231735627970e+002
1.31219989901920e+003,-8.16015722310531e-002,1.78227482825042e+002
1.31522483219223e+003,-8.15290792782250e-002,1.78223218957975e+002
1.31825673855640e+003,-8.14562406556980e-002,1.78218943992089e+002
1.32129563418657e+003,-8.13830546634346e-002,1.78214657892556e+002
1.32434153519466e+003,-8.13095195925368e-002,1.78210360624399e+002
1.32739445772973e+003,-8.12356337252290e-002,1.78206052152489e+002
1.33045441797808e+003,-8.11613953347864e-002,1.78201732441547e+002
1.33352143216332e+003,-8.10868026854779e-002,1.78197401456141e+002
1.33659551654643e+003,-8.10118540325368e-002,1.78193059160684e+002
1.33967668742593e+003,-8.09365476220718e-002,1.78188705519439e+002
1.34276496113786e+003,-8.08608816910724e-002,1.78184340496509e+002
1.34586035405594e+003,-8.07848544672979e-002,1.78179964055845e+002
1.34896288259165e+003,-8.07084641692707e-002,1.78175576161239e+002
1.35207256319427e+003,-8.06317090061696e-002,1.78171176776325e+002
1.35518941235103e+003,-8.05545871778337e-002,1.78166765864579e+002
1.35831344658715e+003,-8.04770968746762e-002,1.78162343389316e+002
1.36144468246594e+003,-8.03992362776462e-002,1.78157909313692e+002
1.36458313658892e+003,-8.03210035581625e-002,1.78153463600699e+002
1.36772882559584e+003,-8.02423968780264e-002,1.78149006213167e+002
1.37088176616484e+003,-8.01634143894646e-002,1.78144537113764e+002
1.37404197501251e+003,-8.00840542349399e-002,1.78140056264991e+002
1.37720946889394e+003,-8.00043145472435e-002,1.78135563629185e+002
1.38038426460288e+003,-7.99241934492908e-002,1.78131059168514e+002
1.38356637897177e+003,-7.98436890541691e-002,1.78126542844980e+002
1.38675582887188e+003,-7.97627994650381e-002,1.78122014620416e+002
1.38995263121334e+003,-7.96815227750821e-002,1.78117474456485e+002
1.39315680294529e+003,-7.95998570674543e-002,1.78112922314679e+002
1.39636836105593e+003,-7.95178004151905e-002,1.78108358156317e+002
1.39958732257261e+003,-7.94353508812071e-002,1.78103781942548e+002
1.40281370456195e+003,-7.93525065181881e-002,1.78099193634343e+002
1.40604752412990e+003,-7.92692653685560e-002,1.78094593192500e+002
1.40928879842186e+003,-7.91856254643773e-002,1.78089980577642e+002
1.41253754462274e+003,-7.91015848273611e-002,1.78085355750213e+002
1.41579377995707e+003,-7.90171414687534e-002,1.78080718670478e+002
1.41905752168908e+003,-7.89322933892720e-002,1.78076069298523e+002
