f,mag,pha
1.00000000000000e+002,-5.82303840807640e-001,-6.42116086646983e-001
1.00115195553817e+002,-5.82303829739251e-001,-6.42855920105583e-001
1.00230523807790e+002,-5.82303818645274e-001,-6.43596606318657e-001
1.00345984914784e+002,-5.82303807525765e-001,-6.44338146270318e-001
1.00461579027840e+002,-5.82303796380568e-001,-6.45080540945728e-001
1.00577306300174e+002,-5.82303785209622e-001,-6.45823791331206e-001
1.00693166885180e+002,-5.82303774012920e-001,-6.46567898414313e-001
1.00809160936430e+002,-5.82303762790423e-001,-6.47312863183643e-001
1.00925288607668e+002,-5.82303751541988e-001,-6.48058686628956e-001
1.01041550052821e+002,-5.82303740267618e-001,-6.48805369741182e-001
1.01157945425990e+002,-5.82303728967229e-001,-6.49552913512390e-001
1.01274474881453e+002,-5.82303717640771e-001,-6.50301318935806e-001
1.01391138573668e+002,-5.82303706288184e-001,-6.51050587005787e-001
1.01507936657269e+002,-5.82303694909421e-001,-6.51800718717848e-001
1.01624869287070e+002,-5.82303683504395e-001,-6.52551715068688e-001
1.01741936618061e+002,-5.82303672073017e-001,-6.53303577056078e-001
1.01859138805412e+002,-5.82303660615303e-001,-6.54056305679069e-001
1.01976476004472e+002,-5.82303649131149e-001,-6.54809901937725e-001
1.02093948370768e+002,-5.82303637620498e-001,-6.55564366833411e-001
1.02211556060007e+002,-5.82303626083302e-001,-6.56319701368566e-001
1.02329299228076e+002,-5.82303614519456e-001,-6.57075906546782e-001
1.02447178031038e+002,-5.82303602928941e-001,-6.57832983372858e-001
1.02565192625141e+002,-5.82303591311701e-001,-6.58590932852753e-001
1.02683343166809e+002,-5.82303579667626e-001,-6.59349755993535e-001
1.02801629812648e+002,-5.82303567996715e-001,-6.60109453803537e-001
1.02920052719443e+002,-5.82303556298845e-001,-6.60870027292150e-001
1.03038612044162e+002,-5.82303544574015e-001,-6.61631477470022e-001
1.03157307943951e+002,-5.82303532822121e-001,-6.62393805348903e-001
1.03276140576140e+002,-5.82303521043127e-001,-6.63157011941818e-001
1.03395110098237e+002,-5.82303509236899e-001,-6.63921098262810e-001
1.03514216667935e+002,-5.82303497403497e-001,-6.64686065327221e-001
1.03633460443104e+002,-5.82303485542755e-001,-6.65451914151561e-001
1.03752841581801e+002,-5.82303473654646e-001,-6.66218645753448e-001
1.03872360242262e+002,-5.82303461739119e-001,-6.66986261151730e-001
1.03992016582906e+002,-5.82303449796097e-001,-6.67754761366424e-001
1.04111810762334e+002,-5.82303437825515e-001,-6.68524147418726e-001
1.04231742939331e+002,-5.82303425827326e-001,-6.69294420331041e-001
1.04351813272863e+002,-5.82303413801432e-001,-6.70065581126903e-001
1.04472021922080e+002,-5.82303401747803e-001,-6.70837630831094e-001
1.04592369046317e+002,-5.82303389666344e-001,-6.71610570469509e-001
1.04712854805090e+002,-5.82303377557057e-001,-6.72384401069345e-001
1.04833479358100e+002,-5.82303365419792e-001,-6.73159123658864e-001
1.04954242865233e+002,-5.82303353254538e-001,-6.73934739267579e-001
1.05075145486555e+002,-5.82303341061197e-001,-6.74711248926220e-001
1.05196187382323e+002,-5.82303328839742e-001,-6.75488653666671e-001
1.05317368712972e+002,-5.82303316590072e-001,-6.76266954522007e-001
1.05438689639126e+002,-5.82303304312129e-001,-6.77046152526534e-001
1.05560150321593e+002,-5.82303292005851e-001,-6.77826248715721e-001
1.05681750921366e+002,-5.82303279671214e-001,-6.78607244126299e-001
1.05803491599623e+002,-5.82303267308107e-001,-6.79389139796113e-001
1.05925372517729e+002,-5.82303254916448e-001,-6.80171936764271e-001
1.06047393837234e+002,-5.82303242496242e-001,-6.80955636071074e-001
1.06169555719873e+002,-5.82303230047321e-001,-6.81740238757993e-001
1.06291858327569e+002,-5.82303217569692e-001,-6.82525745867786e-001
1.06414301822432e+002,-5.82303205063284e-001,-6.83312158444323e-001
1.06536886366757e+002,-5.82303192528042e-001,-6.84099477532773e-001
1.06659612123026e+002,-5.82303179963824e-001,-6.84887704179405e-001
1.06782479253910e+002,-5.82303167370655e-001,-6.85676839431822e-001
1.06905487922266e+002,-5.82303154748396e-001,-6.86466884338784e-001
1.07028638291139e+002,-5.82303142097027e-001,-6.87257839950239e-001
1.07151930523761e+002,-5.82303129416491e-001,-6.88049707317423e-001
1.07275364783553e+002,-5.82303116706678e-001,-6.88842487492727e-001
1.07398941234125e+002,-5.82303103967493e-001,-6.89636181529762e-001
1.07522660039273e+002,-5.82303091198950e-001,-6.90430790483428e-001
1.07646521362984e+002,-5.82303078400952e-001,-6.91226315409756e-001
1.07770525369433e+002,-5.82303065573428e-001,-6.92022757366079e-001
1.07894672222983e+002,-5.82303052716273e-001,-6.92820117410887e-001
1.08018962088190e+002,-5.82303039829495e-001,-6.93618396603996e-001
1.08143395129794e+002,-5.82303026912936e-001,-6.94417596006325e-001
1.08267971512730e+002,-5.82303013966613e-001,-6.95217716680114e-001
1.08392691402121e+002,-5.82303000990399e-001,-6.96018759688804e-001
1.08517554963279e+002,-5.82302987984225e-001,-6.96820726097056e-001
1.08642562361707e+002,-5.82302974948067e-001,-6.97623616970779e-001
1.08767713763100e+002,-5.82302961881824e-001,-6.98427433377123e-001
1.08893009333344e+002,-5.82302948785380e-001,-6.99232176384463e-001
1.09018449238513e+002,-5.82302935658765e-001,-7.00037847062433e-001
1.09144033644876e+002,-5.82302922501873e-001,-7.00844446481877e-001
1.09269762718892e+002,-5.82302909314582e-001,-7.01651975714899e-001
1.09395636627210e+002,-5.82302896096895e-001,-7.02460435834846e-001
1.09521655536674e+002,-5.82302882848699e-001,-7.03269827916313e-001
1.09647819614319e+002,-5.82302869569919e-001,-7.04080153035097e-001
1.09774129027372e+002,-5.82302856260479e-001,-7.04891412268310e-001
1.09900583943253e+002,-5.82302842920332e-001,-7.05703606694275e-001
1.10027184529574e+002,-5.82302829549448e-001,-7.06516737392571e-001
1.10153930954142e+002,-5.82302816147694e-001,-7.07330805444011e-001
1.10280823384956e+002,-5.82302802714997e-001,-7.08145811930707e-001
1.10407861990208e+002,-5.82302789251303e-001,-7.08961757935966e-001
1.10535046938285e+002,-5.82302775756536e-001,-7.09778644544406e-001
1.10662378397767e+002,-5.82302762230628e-001,-7.10596472841847e-001
1.10789856537430e+002,-5.82302748673509e-001,-7.11415243915431e-001
1.10917481526241e+002,-5.82302735085123e-001,-7.12234958853537e-001
1.11045253533365e+002,-5.82302721465384e-001,-7.13055618745741e-001
1.11173172728160e+002,-5.82302707814203e-001,-7.13877224682990e-001
1.11301239280180e+002,-5.82302694131494e-001,-7.14699777757399e-001
1.11429453359174e+002,-5.82302680417242e-001,-7.15523279062454e-001
1.11557815135086e+002,-5.82302666671345e-001,-7.16347729692821e-001
1.11686324778057e+002,-5.82302652893712e-001,-7.17173130744423e-001
1.11814982458423e+002,-5.82302639084317e-001,-7.17999483314553e-001
1.11943788346716e+002,-5.82302625243003e-001,-7.18826788501685e-001
1.12072742613665e+002,-5.82302611369799e-001,-7.19655047405597e-001
1.12201845430197e+002,-5.82302597464556e-001,-7.20484261127364e-001
1.12331096967433e+002,-5.82302583527207e-001,-7.21314430769301e-001
1.12460497396693e+002,-5.82302569557717e-001,-7.22145557435019e-001
1.12590046889495e+002,-5.82302555556003e-001,-7.22977642229448e-001
1.12719745617552e+002,-5.82302541521935e-001,-7.23810686258678e-001
1.12849593752777e+002,-5.82302527455535e-001,-7.24644690630242e-001
1.12979591467281e+002,-5.82302513356617e-001,-7.25479656452828e-001
1.13109738933371e+002,-5.82302499225206e-001,-7.26315584836478e-001
1.13240036323557e+002,-5.82302485061141e-001,-7.27152476892476e-001
1.13370483810542e+002,-5.82302470864445e-001,-7.27990333733484e-001
1.13501081567232e+002,-5.82302456634954e-001,-7.28829156473345e-001
1.13631829766732e+002,-5.82302442372638e-001,-7.29668946227237e-001
1.13762728582344e+002,-5.82302428077407e-001,-7.30509704111676e-001
1.13893778187572e+002,-5.82302413749161e-001,-7.31351431244393e-001
1.14024978756118e+002,-5.82302399387846e-001,-7.32194128744445e-001
1.14156330461885e+002,-5.82302384993436e-001,-7.33037797732220e-001
1.14287833478978e+002,-5.82302370565763e-001,-7.33882439329392e-001
1.14419487981699e+002,-5.82302356104830e-001,-7.34728054658937e-001
1.14551294144554e+002,-5.82302341610515e-001,-7.35574644845050e-001
