Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1000,0.015211842334090585,-0.54597269976438156,-5.860531788041186
1047.6157527896646,0.015927934425675399,-0.54613806723022351,-6.1442711277010602
1097.4987654930562,0.015320565920336756,-0.54589832946540695,-6.4464629437387373
1149.7569953977356,0.015259827018081094,-0.54572160089138588,-6.7707477413073143
1204.5035402587823,0.014247492584425175,-0.54306357292484519,-7.0981641546472076
1261.8568830660204,0.01450627966044488,-0.54326513196423343,-7.4346996498960216
1321.9411484660288,0.014222915662349322,-0.54192630983432588,-7.8130209573313607
1384.8863713938733,0.014749046611443087,-0.54386064281707214,-8.1903654285653147
1450.8287784959393,0.013602050307797035,-0.5432765262596897,-8.6065249777163189
1519.9110829529338,0.01330530296656517,-0.54259425418318064,-9.0289615594720374
1592.2827933410922,0.012729693257445621,-0.54073441101201647,-9.4781508824130896
1668.1005372000593,0.01295796965140119,-0.538594711580894,-9.9522378035501706
1747.5284000076838,0.011801372328580431,-0.53821140947030077,-10.44632533428836
1830.738280295368,0.011996780276496645,-0.53749351643474497,-10.978655283032737
1917.9102616724886,0.011263368810495805,-0.53586691790843166,-11.535029633837905
2009.2330025650469,0.010979511508479228,-0.53519311055736463,-12.128892631017948
2104.904144512021,0.010550532613608969,-0.53497652692830333,-12.759315012738355
2205.1307399030457,0.0090147368985395715,-0.53218879683520415,-13.420297277078618
2310.1297000831605,0.0097920746561137549,-0.53148832680561586,-14.119440703271181
2420.1282647943822,0.0078820358589003232,-0.52972361628532194,-14.87010780800756
2535.3644939701112,0.0081645254507013536,-0.526581641687622,-15.661941237066188
2656.0877829466867,0.0062364272187274807,-0.52373541158302406,-16.517641456861739
2782.5594022071241,0.0072053132399401316,-0.52185979953864625,-17.422347049491293
2915.0530628251759,0.0051926795670263603,-0.51848214035246332,-18.388463286941175
3053.8555088334156,0.0037011736722618507,-0.51578225078784745,-19.429794409484273
3199.2671377973847,0.0036995433575139165,-0.51257767398062348,-20.551354388462215
3351.6026509388425,0.0033053692424895057,-0.50757362993586808,-21.746513323132291
3511.1917342151305,0.0016749504522403855,-0.50272936162667958,-23.049265644771236
3678.3797718286341,0.001751497680493464,-0.49766768795721567,-24.460361114869613
3853.5285937105291,-0.00089996324592357343,-0.49099642411815164,-25.996701222203683
4037.0172585965538,-0.0018382783082221126,-0.48344670777333737,-27.678832924640744
4229.2428743894989,-0.0025053380248722793,-0.47660899500706871,-29.530225418861164
4430.6214575838821,-0.004987477473202457,-0.46410479159969703,-31.56466884485268
4641.5888336127773,-0.0071208689539699367,-0.45347640062044314,-33.841446160996114
4862.6015800653531,-0.0072320120328628846,-0.44137024548127485,-36.396465906511722
5094.1380148163798,-0.0073913178256317068,-0.42384815741681037,-39.27793051370405
5336.6992312063103,-0.0086982885729036136,-0.40436847483394545,-42.575089753002672
5590.810182512223,-0.0095241800702148965,-0.38163413484239178,-46.397095885738608
5857.0208180566669,-0.012234290334729012,-0.35096868719216218,-50.871044223902842
6135.9072734131732,-0.012289451836617133,-0.31574971648397232,-56.222247650402522
6428.0731172843189,-0.013838049358992988,-0.27037383140801019,-62.762712632709999
6734.1506577508217,-0.023687646389435792,-0.21272882675599677,-70.98070463172246
7054.8023107186455,-0.013480340567568982,-0.13947625139858733,-81.716323054221746
7390.7220335257789,-0.018177436784597652,-0.043949772889613936,-96.504074155571374
7742.6368268112692,-0.031209886605834177,0.088186791350581106,-118.71703420344221
8111.3083078968721,-0.021602158937075767,0.35248645878223539,-160.16984727855061
8497.5343590864413,-0.018305902960274116,-6.591080942634429,88.008146587049254
8902.1508544503831,-0.019346148981507272,-44.684607094922988,124.98084200996551
9326.0334688322,-0.019791675562515331,-45.971559631178174,127.90507309606556
9770.0995729922561,-0.020950513802959647,-53.886020508480037,94.806572349304815
10235.310218990264,-0.021159615445019032,-37.871422410869599,70.494684454860533
10722.672220103232,-0.022183566492837585,-37.794829718097709,38.969421931502175
