Freq.	V(feedb)/V(inv)
1.00000000000000e-001	(4.94935020223678e+001dB,9.44400059263498e+001°)
1.00115195553817e-001	(4.94835618835105e+001dB,9.44349172742271e+001°)
1.00230523807790e-001	(4.94736216099666e+001dB,9.44298344065783e+001°)
1.00345984914784e-001	(4.94636811976514e+001dB,9.44247573121591e+001°)
1.00461579027840e-001	(4.94537406565569e+001dB,9.44196859889812e+001°)
1.00577306300174e-001	(4.94437999757153e+001dB,9.44146204363036e+001°)
1.00693166885180e-001	(4.94338591632503e+001dB,9.44095606399407e+001°)
1.00809160936430e-001	(4.94239182098571e+001dB,9.44045065966056e+001°)
1.00925288607668e-001	(4.94139771202286e+001dB,9.43994583022891e+001°)
1.01041550052821e-001	(4.94040358990413e+001dB,9.43944157471338e+001°)
1.01157945425990e-001	(4.93940945456174e+001dB,9.43893789216666e+001°)
1.01274474881453e-001	(4.93841530612131e+001dB,9.43843478269679e+001°)
1.01391138573668e-001	(4.93742114328391e+001dB,9.43793224530589e+001°)
1.01507936657269e-001	(4.93642696792796e+001dB,9.43743027941333e+001°)
1.01624869287070e-001	(4.93543277910433e+001dB,9.43692888418332e+001°)
1.01741936618061e-001	(4.93443857622478e+001dB,9.43642805960544e+001°)
1.01859138805412e-001	(4.93344436168526e+001dB,9.43592780379051e+001°)
1.01976476004472e-001	(4.93245013260169e+001dB,9.43542811742477e+001°)
1.02093948370768e-001	(4.93145589049371e+001dB,9.43492899940489e+001°)
1.02211556060007e-001	(4.93046163475814e+001dB,9.43443044902585e+001°)
1.02329299228076e-001	(4.92946736727883e+001dB,9.43393246527883e+001°)
1.02447178031038e-001	(4.92847308603873e+001dB,9.43343504851239e+001°)
1.02565192625141e-001	(4.92747879148958e+001dB,9.43293819738493e+001°)
1.02683343166809e-001	(4.92648448409440e+001dB,9.43244191112835e+001°)
1.02801629812648e-001	(4.92549016378348e+001dB,9.43194618967058e+001°)
1.02920052719443e-001	(4.92449582958783e+001dB,9.43145103242039e+001°)
1.03038612044162e-001	(4.92350148374301e+001dB,9.43095643754652e+001°)
1.03157307943951e-001	(4.92250712422092e+001dB,9.43046240592276e+001°)
1.03276140576140e-001	(4.92151275182866e+001dB,9.42996893618653e+001°)
1.03395110098237e-001	(4.92051836613514e+001dB,9.42947602839524e+001°)
1.03514216667935e-001	(4.91952396866051e+001dB,9.42898368029418e+001°)
1.03633460443104e-001	(4.91852955790148e+001dB,9.42849189289532e+001°)
1.03752841581801e-001	(4.91753513431199e+001dB,9.42800066511948e+001°)
1.03872360242262e-001	(4.91654069798675e+001dB,9.42750999620171e+001°)
1.03992016582906e-001	(4.91554624901764e+001dB,9.42701988529225e+001°)
